"","ix","condition","input_a","label_a","input_b","label_b","feedback"
"13",40,"construct","one stripe does not change the stick in any way 2 or 3 stripes both added 2 sticks.","add_2","the dots take away a stick so he first example shows that one line makes no difference however the 3 dots then take away 3 sticks. example 5 ad 6 both add 2 sticks but take away 2 or 1 stick because of the dots","add_2","quite interesting to try and figure out so therefore it is engaging"
"14",41,"decon","The egg with 3 dots and 1 stripe makes the stick disappear.  The egg with 2 stripes and 2 dots didnt alter the stick. The egg with 3 stripes and 1 dot increased the size of the stick by 1.   As the stripes increase after 2 on the egg the stick should grow.","complex","egg with 1 line will not multiply the stick size. egg with 2 lines will multiply by 2. egg with 3 lines will multiply by 3.","mult","NA"
"15",42,"construct","1 stripe does nothing 2 stripes adds two blocks and 3 stripes adds 1 block","add_2","3 dots removes 3 blocks 2 dots does nothing 1 dot does nothing","uncertain","no"
"16",43,"combine","The length of the sticks is multiplied by the number of lines on the egg.","mult","The length is multiplied by the number of lines and then the number of dots is subtracted.","ground_truth","It was annoying that in the first half of the task I didnt actually have enough information to answer the question."
"17",44,"construct","a single strip means the stick will not change the double strip egg means it will add 2 bars and the triple strip egg means it will change the bar to 3","complex","strips and black dots on the magical eggs must add or subtract something about the bar i am not really sure","uncertain","I was very confused"
"18",45,"construct","i think the number of stripes on a magic egg causes the number of stick segments to multiply by the number of stripes on the magic egg","mult","i think the number of stripes on a magic egg causes the stick segments to multiply by that number and then reduce by 1 segment for every dot on the magic egg","ground_truth","none"
"19",46,"combine","One stripe has no effect on the stick. Two stripes and three uneven stripes increase the length of the stick by two blocks","add_2","The number of dots is the number of blocks that must be removed from the stick","subtraction","I do not have any comments"
"20",47,"combine","Having extra lines adds extra length to the stick","complex","Dots take away the same number of lines","subtraction","It was quite interesting. Will be interested to know the answers"
"21",48,"construct","The number of stripes seem to matter  seems like if the number of stripes is greater than or equal to the number of segments on the stick it adds otherwise it doesnt","complex","So the dots seems to cancel out the number of segments added if there are 3 segments and 3 dots and the stripes is less then it is 0 so you have to subtract stripes from dots and then you can figure out how many to add","complex","None"
"22",49,"decon","The amount of dots on the eggs equates to the amount of segments on the stick. The more lines on an egg the less segments on the stick there is.","uncertain","The odd amount of lines on the egg doubles the amount of segments on the stick. If it is an odd number of lines on the egg the segment amount stays the same","complex","Was a little confusing."
"23",50,"combine","i think if an egg has one strip inside the it is not enough to cause any change in he ticks it gets in contact with","uncertain","the number of black dots on the strip inside the egg determines how many segments decreases from the stick","subtraction","it was an interesting challenge."
"24",51,"construct","You times the number of sticks by the number of segments. For the second one there are 2 sticks and 2 segments so 2 x 2 = 4. This means there are 4 segments.","mult","You still do sticks time segments but then you minus the number of dots to get the end number of segments.","ground_truth","No"
"25",52,"decon","The relation is where the dots are placed within the egg and its relation to the lines","complex","The stick multiplies based on how many lines are within the egg","mult","No"
"26",53,"combine","The number if stripes is multiplise by the number of sticks","mult","The number of stripes is multiplied by the number of sticks and the each dot removes one stick","ground_truth","none"
"27",54,"combine","The number of stripes on the magic egg multiplies with the number of segments on the stick to increase the number.","mult","The stripes multiply with the segments whereas the spots on the magic egg indicate minus 1.","ground_truth","I found the experiment pretty engaging and felt that by the end of the study I was quite sure of my answers"
"28",55,"combine","1 line no change - 2 lines 2 change 3 lines 2 change","add_2","The dots take lines away whereas the lines add some on.","complex","NA"
"29",56,"construct","If the number of stripes on the egg is higher than the length of the stick then the length of the stick will increase. If the number of stripes on the egg is lower than the length of the stick then no change will occur.","complex","If the number of stripes on the egg is higher than the stick then the stick will increase by the number of spots on the egg. If the number of stripes on the egg is lower than the stick then the stick will decrease by the number of spots on the egg.","complex","No"
"30",57,"construct","Any more than 1 line causing the stick to increase by 2","add_2","i dont have a clue!","uncertain","NA"
"31",58,"construct","More than one line on the egg means 2 lines are added","add_2","Each dot removes a stick. 2+ lines on the egg add 2sticks","add_2","Would be interested to know if I got it right!"
"32",59,"construct","The number of stripes multiplies the number of segments","mult","The lines multiply the original amount but each dot on the egg removes a segment","ground_truth","No comments...it was fun"
"33",60,"construct","The lines matter. One line doesnt make a difference. Two lines double the number of segments. Three lines doubles the segments then takes away one.","mult","The number of lines multiplies the number of segments. Each dot takes away one segment.","ground_truth","no"
"34",61,"decon","if the stripes are more numerous than the stick then the stick will increase.  if the stripes are less then it will disappear.  if stripes the same then no change.","complex","Some interaction of stripes and spots dont know what. More stripes will increase stick if stick is smaller","complex","Im rubbish at this"
"35",62,"construct","I think stripes from magic eggs increase the number of sticks","complex","I think the dots do something other than stripes Im not sure but they probably reduce the number of sticks","uncertain","A rather tough experiment Im not good at this type of task."
"36",63,"combine","The number of segments added to the stick depends on how many stripes the egg has","complex","It seems like the stripes add segments but if theres is spots it takes away","complex","Im still not sure of the answers!"
"37",64,"decon","1 line is - how many dots is -3 lines. 2 lines is = (nothing changes is dot number is equal to lines) 3 lines is + how many dots","complex","1 line makes no changes. 2 lines doubles amount of lines. 3 lines","complex","no."
"38",65,"decon","If there are more spots than stripes the stick will get shorter","complex","Multiply the stripes by the sticks and that gives the end length of the stick","mult","It would have been good to go back  correct the first guess after doing more tests"
"39",66,"construct","If the number of lines is greater than 1 the stick will increase in length by 2","add_2","If the number of lines on the egg is greater than 1 the stick will increase in length by 2. However for each black dot on the egg the stick will decrease in length by 1.","add_2","You promised fun it was!"
"40",67,"construct","You multiply the number of number of lines in the egg by the amount of sticks. The result is the length of the stick.","mult","By the end I believe I figured it out. What happens is you first multiply the amount of lines in the egg by the amount of stick segments. Once you do that you then subtract the number of dots within the magic egg. The result is your final stick segment length","ground_truth","Everything seemed to work well thank you!"
"41",68,"decon","if the egg has one stripe and 3 dots the stick gets shorter if it has two stripes and two dots the stick stayed the same and if it has three stripes and only 1 dot the stick browns longer.","complex","the dots change the length of the stick negatively in the way that they make it shorter. For each dot one unit of the stick is taken away.  However the stripes make the sticks longer. If there is one stripe only then the stick will stay the same length. If there are more than one stripe however then the stick will increase in length by two units.  When thinking how the egg effects the stick overall you must first take into account the stripes and add on any units that need to be added on if any. Then you must take into account the dots and take away the amount of units that there are dots. For example if the egg had five stripes and 1 dot then the stick would overall increase by 1 unit as 2-1=1.","complex","no."
"42",69,"decon","If the spot touches a stripe on the magic egg then it will decrease the length of the stick when the egg touches the stick. If the spots dont touch any stripes then there is no effect on the stick when the egg touches it.","complex","An egg with only stripes and no spots increases the length of the stick to be equal to the number of stripes in the egg. 1 stripe in an egg has no effect on the length of the stick.","uncertain","Interesting study. Very mind provoking. Requires a person to read carefully and try hard to understand the given tasks."
"43",70,"construct","The number of sticks in the egg correlates to how much the sticks multiply in length. For example test 2 starts with 2 spaces and doubles in size matching the 2 sticks in the egg. Test 3 begins with one and becomes 3 being multiplied by 3.","mult","The addition of spots in the egg introduces a divisible action - in some cases depending on where they are positioned some blocks are removed. However in some cases there is no change  additional blocks are added. The positioning of the spots is what affects the type of effect on the blocks.","complex","NA"
"44",71,"construct","more lines in the eggs add to the length of the stick","complex","if there are more dots than lines then the stick decreases in length if there are more lines than dots then the stick increases in length and if the dots and lines are equal then theres no change","complex","no comments"
"45",72,"combine","One stripe makes no change.  Two stripes doubles the sticks. Three stripes triples.","mult","One spot takes one stick away.  Two spots take two sticks away. Three spots take three sticks away.","subtraction","I found the experiment quiet difficult to understand although I am certain I guessed how each egg worked but I had to concentrate very hard to come up with the answers."
"46",73,"combine","I think it’s a multiplication system - 1 stripe means it is multiplying the 3 blocks by 1 therefore leaving it with three. 2 stripes is multiplying the blocks by 2 = 4. 3 stripe multiplying 1 block = 3.","mult","The magic eggs with one stick - the black dots are subtractor the amount eggs is subtracted from the blocks","subtraction","Na"
"47",74,"combine","1 line means it will stay the same 2 line multiplies the stick by 2 and 3 lines multiplies it by 3.","mult","The dots take away from the sticks. 1 dot takes away 1 2 dots take away 2 etc.","subtraction","thanks"
"48",75,"combine","There was no change with the first egg. The second and third eggs have an increase of two bars after the tests.The difference between the second and the third egg is the increase in the number of bars for the third egg and the length of the bars.","add_2","The number of dots on the magic eggs reduces the number of bars available.","complex","None."
"49",76,"construct","Each egg with more than 1 stripe adds 2 blocks.","add_2","I think the odd number of dots either reduce or add blocks","uncertain","None"
"50",77,"combine","The length of the sticks is multiplied by the number of stripes in the egg.","mult","Multiply number of sticks by number of stripes then subtract number of dots","ground_truth","Would love to know the answers and if I was right."
"51",78,"decon","if the number of spots and stripes on an egg match then there is no change. if there is more spots than stripes then the stick gets shorter. if there are more stripes than dots the stick gets longer","complex","if there is more than one stripe the stick gets longer by two","add_2","no comments"
"52",79,"construct","The stick length multiplies by the number of stripes on the magic egg when the magic egg and stick come into contact","mult","The stick multiplies by the number of stripes minus the number of spots.","ground_truth","Im really curious to see if I got it right!"
"53",80,"construct","end length = original length x number of lines on egg","mult","balls touching the lines cancel them out","complex","no"
"54",81,"combine","one stick does nothing two sticks adds length and three sticks adds length","add_2","the spots remove the same number of stick segments","subtraction","This was an extremely baffling test and I just guessed the answers for most of them i think!"
"55",82,"combine","However many lines on the egg is how much the stick gets multiplied by.  1. 1 line so 3x1 =3 2. 2 lines so 2x2 =4 3. 3 lines so 1x3 = 3","mult","Line is still times Dots take away one of each stick length each time.","ground_truth","No."
"56",83,"decon","The number of stripes and dots ratio of one to the other or maybe the position of the dots has some relation to long the stick grows.","complex","I honestly dont know at this point in the test. The combinations of dots and stripes seem to have random effect on the stick lengths","uncertain","No"
"57",84,"combine","Only one stick adds nothing anything above that adds 2 on","add_2","The number of dots on the sticks take away the number of eggs","subtraction","None"
"58",85,"combine","If the number of stripes on the egg is less than the existing number of segments on the stick it touches it adds the difference","complex","I believe now that the dots are subtract and that the stripes are multipliers.  So I believe it multiplies by number of stripes and then subtracts the dots","ground_truth","It was quite hard to initially guess without having seen any spots in the examples first. I hope I ended up on the right page!"
"59",86,"combine","The number of stripes on the egg is multiplied with the number of segments on the stick to make the answer which is expressed with the final number of segments on the stick.","mult","The stripes are multiplied by the number of segments on the stick then the number of dots are subtracted from the total to give the final answer which is expressed by the number of segments on the stick.","ground_truth","na"
"60",87,"construct","The egg multiplies the amount of segments of the stick by the number of stripes on the egg","mult","The stripes multiply the number of segments and the dots subtract one segment","ground_truth","none"
"61",88,"decon","I think the stripes indicate what happens to the stick segments (addedremoved) and the dots indicate how many segments are addedremoved. For the stripes I think that 1 stripe will remove segments 2 stripes will not removeadd any segments and 3 stripes will add segments. I think the number of dots indicate how many segments are removed so in trial 1: 3 segments are removed because 1 line = remove segments 3 dots = remove 3 segments. Trial 2 = nothing changes because 2 lines = no segments removedadded regardless of dot number. Trial 3 = 1 segment added because 3 lines = add segments 1 dot = add 1 segment.","complex","I think one stripe means nothing changes two stripes mean that segments are added (number of segments added = number of stripes) and three stripes mean that the number of segments will equal the number of lines regardless of whether that means adding or removing segments.","complex","NA"
"62",89,"construct","One stripe does nothing. Two or three stripes on the egg both increase the sticks by two segments.","add_2","One dot on the egg cancels out one stripe but not sure.","uncertain","I could not work out a pattern between the appearance of the eggs and the effect they were having on the sticks. It seemed quite random."
"63",90,"combine","the number of stipes multiplys the length of the stick","mult","if there is balls on the eggs depending how many there is it reduces the length of the stick that amount.","subtraction","it was very difficult but fun."
"64",91,"combine","Eggs with one stripe have no effect on a stick with 3 segments. Eggs with 2 stripes add 2 segments to a stick of 2 segments. Eggs with 3 stripes add 2 segments to a stick of 1 segment","complex","one dot removes one segment therefore 2 dots remove 2 segments and so on","subtraction","I enjoyed the experiment thank you I found it very engaging which is difficult in the times we live in to completely focus on one task."
"65",92,"combine","The eggs with multiple stripes (i.e. more than 1) increase the length of the stick by the multiple of the stripes so for 2 stripes...the original length is doubled for 3 stripes the original length is tripled.","mult","How ever many dots there are...dictates the amount of length taken from the stick. So 1 dot steals 1 length of stick 2 dots 2 lengths","subtraction","I found it really interesting but I have no idea if I was doing it right or not!"
"66",93,"decon","1 stripe = remove the number of segments that match the number of dots. 2 stripes = do not change the length of the stick 3 stripes = add the number of segments based on number of dots","complex","Im really confused!  I think if there are no dots it is simple multiplication - so the number of stripe * the number of existing segments. I am unsure what the dots do though now.","mult","It was really hard - I hope there is a debrief now that tells me the answer otherwise this is going to annoy me all day!"
"67",94,"construct","If the egg has more or an equal number of stripes than the stick does segments then the number of segments of the stick increases by 2. If the egg has fewer stripes than the stick has segments it will have no affect.","add_2","If no. of stripes are more than or equal to number of segments the number of segments increases by two. If there are fewer stripes than segments then there is no change. If any dots are present the number of segments is reduced by the number of the dots.","complex","na"
"68",95,"decon","Three dots and one stripe does not increase the pieces what matters is the dots more than the sticks","complex","The number of sticks increase the boxes","complex","The experiment requires attention and reading the instructions carefully"
"69",96,"construct","The number of stripes on the egg is the multiplier against the number of sticks. so 1 x 3=3 (no change) 2x2=4 3 x 1=3","mult","I think the same causal relationship as before stripes on the egg are a multiplier for the sticks. I think you then subtract the number of dots on the egg from the stick total.","ground_truth","I wanted to add minus one for one of the answers but wasnt able to (probably because it was incorrect!)"
"70",97,"decon","less stripes shorten the stick same stripes keep stick the same length and more stripes make stick longer","complex","If stripes are less than the stick then nothing happens but if stripes are same or more than the stick then increase length of stick by 2","add_2","no comments to make."
"71",98,"decon","The dots tell you how many blocks in the stick there will be","uncertain","no idea my previous guess was incorrect","uncertain","I thought I had the right idea about the dots at least but the practice made me realise that I was incorrect on that part so it didnt make sense to me at all. I couldnt spot a pattern in the behaviours so I applied my own rules to the game to provide an answer structure to participate in the game with. I clicked that it was difficult to complete the learning task but the instructions were simple I just couldnt work out what the pattern was. The money element wasnt a big enough of a motivator so I didnt really feel that it was important for me to try harder than I already was. Perhaps if you were to run the task again you could put in a piece about how important the results are for your research to see if that changes the results."
"72",99,"decon","Stripes make the sticks grow. Dots make them shrink. An equal number of both cancels the effect. Not sure of the effect of unbalanced ratios yet.","complex","If there are more dots than stripes this destroys the stick. Otherwise the ratio of stripes to dots controls how much the stick grows by. Stripes are positive dots are negative. My limited maths cant work out the numerical details.","complex","Ow my brain hurts."
"73",100,"combine","the number of stripes on the egg multiplies the sticks. 1 stripe = x1 2 stripe = x2 3 stripe = x3","mult","each spot on the egg takes away one stick","subtraction","no"
"74",101,"decon","All spots on the eggs need to be touching the sticks to have any effect on the outcome.","complex","The number of blocks are multiplied by the amount of sticks on the eggs","mult","I have no additional comments."
"75",102,"decon","The magic egg with one stripe and three dots caused the stick to disappear. The magic egg with two stripes and two dots didnt affect the stick at all and the magic egg with three stripes and one dot caused the stick to become shorter.","complex","The egg with one stripe didnt affect the length of the stick. The egg with two stripes made the stick longer by two segments and the egg with three stripes made the stick longer by three segments.","uncertain","It was interesting to try and guess."
"76",103,"combine","the stick segments are multiplied by the number of lines in each egg. e.g. 3 (egg) x 1 (stick) = 3 stick segments","mult","for every dot in the magic egg it takes away one stick segment e.g. 3 dots in the magic egg would take away 3 stick segments","subtraction","I have no comments regarding the experiment other than it uses algebra and abstract thinking to figure out x and they apply it to other equations.     the task wasnt that difficult but thats because I didnt find mathematics hard at school. I imagine this would be hard for someone who isnt gifted numerically."
"77",104,"decon","I cannot see a pattern currently.","uncertain","That you multiple the sticks versus the lines in the eggs","mult","I would love to know if I was correct or not!"
"78",105,"combine","Stick length is multiplied by the number of lines on the egg.","mult","The stick length is multiplied by the number of stripes but reduced by the number of spots.","ground_truth",NA
"79",106,"decon","I really cannot get my head around it.  Something to do with the sticks without dots makes and increase but the dot touching a stick cancels it out.","uncertain","The sticks have a positive affect and the dots have a negative affect.  I think the sticks multiply by how many sticks.  The dots perhaps divid or minus?","mult","No comment"
"80",107,"construct","Two lines in the magic egg means that the stick grows two more sections.","add_2","when there are 3 lines patterns on the egg one extra block is added to the stick.","uncertain","Everything was clear and easy to follow the instructions given"
"81",108,"combine","Having more than one diagonal line adds two length units to the stick.","add_2","Having 2 or more lines adds two length units to the stick. Remove one length unit of the stick for each dot that is on the egg.","add_2","The truefalse knowledge check has some questions worded in a way that it makes it difficult to figure out what exactly is being asked."
"82",109,"construct","The number of lines are a multiplier for the number of sticks.  1 line will not change number of sticks 2 lines will double number of sticks and 3 lines will triple number of sticks.","mult","(Number of lines x number of sticks) - number of dots","ground_truth","Interesting"
"83",110,"combine","The stripes effect the length of the sticks. 1 stripe is no change 2 stripes is +2 and 3 stripes is +1.","complex","The stripes make the sticks longer and the dots make them shorter again. It does not matter where the dots sit on the egg they always make the stick shorter.","complex","na"
"84",111,"combine","two boxes are added if there are more than one stripe","add_2","The more dots in the circle the more sticks disappear so if there is one dot only one stick disappears but if there are three then three disappear","subtraction","None"
"85",112,"construct","its the number of stripes in the eggs x the number of segments = equals the new length of stick","mult","The segments increase by the number of dots in the egg","uncertain","None"
"86",113,"construct","single-line does nothing two lines double the length of the stick and three lines triples the length of the stick","mult","same rule for the lines apply except now you take away the number of dots","ground_truth","na"
"87",114,"combine","The stick length after the magic egg has touched them becomes multiplied by the number of stripes on the egg. Eg: 3 stripes on egg touches stick 1 square long it will become 3 squares long (1x3)","mult","Length of stick is multiplied by number of lines on egg then number of spots is subtracted","ground_truth","na"
"88",115,"construct","The number of stripes is a scalar value that is multiplied with the number of segments","mult","The stripes are a scalar that multiples against the number of segments The number of dots are then subtracted from the multiplication of the stripes and segments","ground_truth","Na"
"89",116,"construct","The number of stripes on the egg determines the number the stick will multiply by. For example 3 stripes mean the stick will multiply thrice its size","mult","Stripes multiple the stick by the amount of stripes in the egg. Dots deduct the length of the stick by the amount of dots in the egg","ground_truth","I was not 100 what an empty egg would equate to. Sure it would be zero? But mathematically some sticks would be in the minuses!"
"90",117,"construct","The number of segments in the stick is multiplied by the number of stripes on the egg.  For example if the stick starts off with 2 segments and the egg has 2 stripes once the egg touches the stick the stick will increase to 4 segments (2 x 2 = 4)","mult","The effect on the number of segments in the stick is determined by first multiplying the number of segments by the number of stripes on the egg then secondly subtracting the number of spots.","ground_truth",NA
"91",118,"decon","The number of stripes denotes the type of action - 1 stripe reduces segments 2 stripes changes nothing and 3 stripes adds segments. Then the number of dots denotes how much this is done by - e.g. 1 stripe and 3 dots removes 3 segments","complex","As said before stripes denote action - assumed below 2 removes above 2 adds on and 2 does nothing - dots denote value of action - e.g. how many to add. If not dots present them number of stripes multiplies number of segments","mult","na"
"92",119,"construct","The stick segments are multiplied by the number of stripes.","mult","The segments are multiplied by the number of stripes before subtracting the number of dots.","ground_truth","That was fun!"
"93",120,"construct","the number of segments in the stick is multiplied by the number of lines in the egg","mult","the number of segments in the stick is multiplied by the number of lines in the egg and then the number of dots in the egg is subtracted","ground_truth","na"
"94",121,"decon","eggs with more dots than stripes make the stick shorter eggs with the same amount of each do nothing and eggs with more stripes than dots make the stick bigger.","complex","having 1 stripe will keep it the same unless theres a dot on that stripe then itll shorten the stick the stick will get bigger by 1 for every stripe above 1 on the egg but not if theres a dot on that stripe","complex","nope"
"95",122,"combine","Eggs with 2 stripes make sticks 2 times bigger but the ones with 3 stripes make them only bigger by 1 whereas 1 stripe egg doesnt change anything. This means eggs with 3 stripes always change lenght of the stick the most","complex","The more there are dots in the egg the smaller is the stick","complex","No"
"96",123,"decon","the dots seem to match the number of blocks in the original stick length. the lines seem to match with a unique action. 1 line = remove 2 lines = keep 3 lines = add. The number of blocks to do this action on could be indicated by the number of dots.  e.g. 1line+3dots = remove 3 blocks.  2lines+2dots= keep 2 blocks.  3lines+1 dot = add 1 block.","complex","the lines seem to indicate the multiplication factor of the blocks. i.e. 3 lines = 3x the original blocks. The number of dots seems to indicate the number of blocks to remove after multiplying. e.g. 3lines+1dot applied to a 1-length block = (3x1) -1 = 3-1 = 2","mult","no comments"
"97",124,"combine","The number of stick segments multiply by the number of stripes on the egg","mult","the number of stick sections are multiplied by the number of stripes on the egg; then the same number of sections are removed as there are dots on the egg.","ground_truth","Enjoyed this thank you."
"98",125,"construct","additional sticks make the blocks 2 longer","add_2","3 dots takes 3 away 2 did nothing and 1 added so the less dots the more added","complex","nope just interested in how it did and what the causal link was"
"99",126,"construct","two stripes on the egg doubled the number of segments in the line three stripes trebled the number of segments.","mult","The dots reduce the number of sections on the lines and the lines seem to increase the number of sections.","complex","It was rather difficult to work out the connection."
"100",127,"construct","1 stripe = x 1  2 stripe = x2  3 stripe = x3","mult","I dont think the dots make a difference 1 stripe = no blocks  2 stripe = stay the same 3 stripe = + 1","complex","just wondered if we find out if we got it right or wrong"
"101",128,"decon","more spots there are the smaller the sticks","complex","one stripe stayed the same. 2 strips doubled. 3 stripes added 1more","complex","Didnt make much sense"
"102",129,"combine","Multiplying the number of stripes in the egg with the number of segments that the stick has to begin with equals the final number of segments in the stick after the egg affects it.","mult","The number of stripes in the egg is multiplied by the original number of segments in the stick and then the number of dots is subtracted from that answer to give the total number of segments in the stick at the end. So  of stripes x original number of segments - number of dots = Final number of segments.","ground_truth","I really enjoyed doing this experiment it was a lot of fun!"
"103",130,"decon","If there are more dots on the line you decrease the section of stick by the overall number of dots. If they are the same (on and off the line) it stays the same. If there are more dots off the line you add by that many dots","complex","You multiply the lines in the eggs by how many sections there are in the stick","mult","The quiz at the start needs to be rethought. Some of the questions are not worded nicely and the answers are assumed on common sense rather than obvious in the text."
"104",131,"construct","The more lines the less boxes are added .","complex","The more eggs in the circle the less boxes appear","complex","No"
"105",132,"decon","I believe that the difference in the three is caused by the amount of lines the first was 3 dots to one line so it was over powered and they were gone. the second was equal so they stayed the same and the third had two more lines than the one dot so they gained a green block","complex","i believe the value of the first line is makes no difference to the starting length of the green blocks. its when more are added in that it increases  up to the value of two extra blocks. there could be twenty stripes and it would only increase the value by two","add_2","Thank you"
"106",133,"combine","When the eggs have one strip it stays the same when it has two strips it will be two more when it has 3 strips it goes up two .","add_2","When thy have dots they loss bars .If it has two dots two bars a lost .","complex","It was a fun and different survey and I liked it a lot."
"107",134,"decon","if there are more lines than dots it will increase in size. if there are more dots than lines it will decrease in size. an equal number of dots and lines will results in no change","complex","the lines are multiplicative","mult","no thank you"
"108",135,"construct","middle line means no change and the two on the outside add 2 extra bars","complex","middle dot adds one the left dot minus one and the right down minus 3","complex","na"
"109",136,"combine","1 strip on an egg will not produce any result more than 1 stripe always adds two segments to the stick length","add_2","The balls decrease the length of the stick as per the number of balls present on the eggs. For stripes>1 the length of the stick is increased by two segments","subtraction","None"
"110",137,"decon","spots reduce length by one and stripes adds by one","uncertain","spots make the length shorter by 1-1 and each srtipe over 1 adds one eg 2 stripes adds 1 3 adds 2","complex","none"
"111",138,"construct","At least 2 stripes seen on a magic egg will lengthen the sticks by 2.","add_2","Each dot on the magic eggs gets rid of a section of the stick but 2 or more stripes still adds two sections as before.","add_2","No questions."
"112",139,"combine","Magic eggs with more than one stripe can have an effect on the length of the sticks.","uncertain","The number of spots on a magic egg determines by how many components a stick will shrink. The number of stripes determines by how many components of a length the stick will elongate. If there are spots and stripes on a given egg the effect of the spots takes precedence over the stripes.","subtraction","No."
"113",140,"construct","the number of lines is the number of time the segment number is multiplied e.g 1 line=x1 2 linesx2 3 lines=x3","mult","same as before. except the number of dots reduces the multiplication factor.","ground_truth","Id be interested to know what the actual rule was."
"114",141,"construct","The number of lines in the egg is the factor by which the number of stick segments multiplies. for example 2 egg lines the stick segments multiplies by 2.","mult","The egg lines are the multiplying factor and the egg dots are a subtraction factor. So if you start with an egg with 3 lines and 1 dot you multiply the sticks by 3 and subtract 1.","ground_truth","no"
"115",142,"construct","The number of segments (i.e. total length) correlates with the number of sticks. If you have an odd numer your segments will be added such that there are odd segments. This is why when an egg with three sticks only increased the length by two sticks to keep the length odd","complex","I think the number of spots and stripes matter for the overall length. If the are more spots than stripes the length of the stick diminishess if there is an equal number no change detected.","complex","This is a really tricky task. The contrast in colours hurt my eyes a bit too."
"116",143,"decon","I think if the dots are contained in a line then it means you dont lose segments. if a dot appears outside a line then you lose the amount value of the dots in segments. if dots and segments match and dots are on lines and theres no difference in value then no change","complex","the red line multiplies it?  and the dots either add or subtract them?","mult","really interesting! was fascinated trying to figure it out!"
"117",144,"construct","It multiplies the stick length by the number of lines in the egg","mult","Multiply by the number of lines and then subtract the number of dots","ground_truth","It was a really different type of experiment which I enjoyed. I am interested in the results of this to see if I am right!"
"118",145,"combine","It multiplies by the number of lines on the egg and the original stick","mult","The number of dots indicate how many sticks will be taken away.","subtraction","Interesting survey"
"119",146,"decon","The stripes may matter more than the dots .","uncertain","more than 1 stripe causes the length to increase.","complex","No."
"120",147,"decon","some of these magic eggs are magnetic","uncertain","the stripes mean how many boxes will remain.","complex","no"
