trial,agent,recipient,result
39,"Stone(S3,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L1)"
40,"Stone(S3,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L4)"
41,"Stone(S3,O2,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L7)"
42,"Stone(S3,O2,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L10)"
43,"Stone(S3,O3,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L0)"
44,"Stone(S3,O3,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L3)"
45,"Stone(S3,O3,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L6)"
46,"Stone(S3,O3,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L9)"
47,"Stone(S3,O4,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L2)"
48,"Stone(S3,O4,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L5)"
49,"Stone(S3,O4,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L8)"
50,"Stone(S4,O0,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L4)"
51,"Stone(S4,O0,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L8)"
52,"Stone(S4,O1,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L3)"
53,"Stone(S4,O1,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L7)"
54,"Stone(S4,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L2)"
55,"Stone(S4,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L6)"
56,"Stone(S4,O2,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L10)"
57,"Stone(S4,O3,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L1)"
58,"Stone(S4,O3,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L5)"
59,"Stone(S4,O3,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L9)"
60,"Stone(S4,O4,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L0)"
61,"Stone(S4,O4,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L4)"
62,"Stone(S4,O4,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L8)"
