"","ix","prolific_id","condition","task.input.a_input","task.input.b_input","feedback","correct"
"15",526,"5f5eec89adff681a180f6aa4","sub","the three lines in the egg indicates how many segments will be removed from the stick ","you multiply the squares by the dots ","no    ",6
"16",527,"614701128b75dbcd8eb1e5d2","mult","even number of spots increase the stick length","deduct blocks by number of stripes","na",2
"17",528,"5a53d68aacc75b000179e508","sub","The amount of lines reduces the length of the stick as long as one of the lines has a spot on it.","If there are magic eggs with a line on and one spot then it will reduce the sticks by the amount of lines. If there are magic eggs with no lines and more than one spot then it will increase the sticks by two. ","I have no idea what the actual was!!",7
"18",529,"6005331b282af2704b3e9854","mult","the more the eggs the more the stripes","the number of stripes does not affect the stripes","It was an amazing study about magic eggs.",0
"19",530,"5b0d0beed282ff00015b9972","sub","At this point I think it relates to the number of red stripes on the egg. Each stripe removed one segment of stick.","Stripes remove pieces of stick depending on how many stripes are present. Dots add segments of stick as long as there is more than 1 dot.","Nothing to add!",8
"20",531,"5f203ef1f055ba0b51cdbd9f","sub","Depending on the number of sticks within the circle this amount will be knocked off from the blocks. For example if there is 3 sticks within the circle and 3 blocks all blocks will be removed. ","I am not sure.","Na",7
"21",532,"5f5db79ce610d96177840daf","sub","A magic egg reduces the sticks length by the number of stripoes it has.","The number of dots on the egg increases the stick length by mutiplication. So dot will increase the length by a multiple of 1","None.",7
"22",533,"6149e1bae660fab6da4808f5","mult","1 spot has no change in the stick however 2 and 3 spots add 2 segments to the stick more than one spot adds 2 to the stick?","one spot no affect more than one adds 2 segments. The sticks take away their corresponding number so 2 sticks removes 2 segments.","No.",6
"23",534,"613b94b83b5cb4c72904f8b3
","sub","The number of sticks determines the number of tiles that disappear. So if an egg is with one stick one tile disappears etc.","The number of eggs multiplies the number of tiles. For example two  eggs on two tiles means will have 4 tiles as the eggs have multiplied the tiles by the number of eggs (2x2=4)","NA",6
"24",535,"5f05cf1309b0de08fd3bd4cf","sub","The number of stripes indicates how much they will change the stick by. The position of the dot determines whether the egg will shorten or lengthen the stick","Dots make the sticks longer Stripes make the sticks shorter","All good thank you.",4
"25",536,"5e1c672bba65e74589e63dfd","mult","the eggs dots add on the same amount of stripes","more stripes on an egg take away that amount from the other stripes","experiment is very well done and easy to read.",4
"26",537,"60a69d04e5534b81417680ce","mult","The length of the stick is determined by the number of spots on the egg.","The more lines there are on the egg the shorter the stick gets ","none",1
"27",538,"5b55f0867c0c5e0001635ee3","mult","The dots are a multiplier to the number of sticks. So if there is one dot the sticks will be multiplied by one and two dots will multiply the sticks by two etc. The placement of the dots makes no difference.","The dots multiply the number of sticks and then the red stripes remove sticks equal to the number of stripes.  So one dot and three stripes multiplies the sticks by one and then removes 3.","No",9
"28",539,"5fcd834970a25cca470880ae","mult","a group of two dots adds two segments to the stick odd dots left out do nothing.","Each stripe removes a segment from the stick while groups of two dots add two segments to the stick.","The first test didnt let me replay it.",4
"29",540,"5f35ea51f0cfd606d35d01e5","mult","The number of dots on the eggs are like times tables. eg. 2 dots means stick times 2 dots. so 3 dot eggs are like 3 dot eggs x 1 stick. ","each strip acts like a -1 number to the number of stick segments. This is my quess. ","All good. ",9
"30",541,"5eeca646c673fd04bba4d409","mult","the length of stick is multiplied by the number of dots.","The dot multiplies the length of stick by the number of dots. The amount of lines are then subtracted from the total.","NA",11
"31",542,"5f61ba7cfdaccd165da6985b","sub","With only one spot the number of lines removed are equal to the stripes on the magic egg. The position of the spot does not matter","stripes act as a deductor. in the absence of stripes. spots are a multiplier of the original . e.g 4 1 spot x 3 bars 5 2 spots x 2 bars 6 3 x 1","Very good - will the results be made available?",9
"32",543,"6101e16e46ab830d098f1436","sub","The number of sticks is the same as the number of segments removed","The dots add segments based on a rounded down even number. i.e. the 1 dot rounds down to 0 while the 3 rounds down to 2 and 2 stays at 2","no",8
"33",544,"615c44319038b065b4cb5a21","sub","A dot in the egg makes the squares decrease","the dot makes the squares multiply","I dont think that I was able to correctly predict any of them I found it quite confusing and no logical patterns.",5
"34",545,"60ae0cc5a466016050f1082d","sub","my best guess who be the amount of sticks that are in place","i think the amount of eggs in the ball determines the amount of blocks ","the experiment was quite difficult - the explanation as to how to do this seemed to me that it was not clear enough",3
"35",546,"5eb9697b651aca0436adfe9d","mult","Higher up the spots are the more they increase the size of the stick","Under the line takes one away. above the line takes two away. Middle line takes away three.","none",3
"36",547,"60abe9ac376bad521bd9b3d0","mult","The number of dots is multiplied against the number of sticks. Son oen dot one stick three dots three sticks","Dots multiply the lines and lines inside the egg reduce the lines by one per line inside the egg","It was fun",12
"37",548,"5c3dfd3e415e77000112b4b3","mult","i think one dot in the egg keeps the stick the same length  i think 2 eggs adds two and i think 3 dots increases or decreases the stick to 3","that the black dot does nothing and you take away the amount of lines from the stick you have","i found it very difficult to make sense of the instructions",5
"38",549,"60aba3c47537a02576e5f09d","sub","the number of sticks determines the segments","dots x segments","no",3
"39",550,"611675906999c2e9533a272a","mult","Any number after 1 add 2 squares ","Boxes are removed for the amount of strips there are ","Some were harder then others ",2
"40",551,"5d270f5b1f68140019729a94","mult","2","less sticks more blocks","it was quite difficult",4
"41",552,"607826462aaaafd8801142ba","sub","The number of stripes equates to the pieces of stick removed.  Though as the number of spots was identical on all 3 this is hard to summise.","Number of dots multiplies the number of sections of the stick.","NA.  Thank you.",6
"42",553,"5ba83c3e48f4400001e201dd","mult","The eggs multiply the length of the stick by the number of dots on the egg.","The length of the stick is multiplied by the number of dots on the egg. The length of the stick is decreased by the number of stripes on the egg. Since we have only seen eggs with no stripes and eggs with one dot and some stripes it is impossible to tell whether the multiplication or subtraction is performed first.","No",11
"43",554,"602ef06cc29fb1b6de051e11","mult","The number of spots on the egg increases the length of the stick (e.g. example 1 there was only 1 spot so it did not change egg 2 had 2 spots which added 2 segments and egg 3 had 3 spots and added 3 segments) ","The number of stripes on the egg remove the corresponding number of segments from the stick.","It was interesting thank you!",2
"44",555,"6005acd51e4c4b82bf23ba93","sub","the strips  on the egg determine how many segments of the stick is redued when the egg touches the stick","the dots in the egg are like an addition they add to the segments of the stick when they touch ","only that i enjoyed the task",2
"45",556,"61587ef7a7a1af1c9d8690d3","sub","the number of stripes on the egg indicates how many blocks it will take off of the stick length","the spots indicate how many times the blocks are multiplied by- eg x2 or x3 etc","I have no comments",11
"46",557,"56ffd10b18705800099d0416","sub","The number of stripes on the egg is the same as the number of segments that are removed.","You times the segments by the number of spots present on the egg.","Na",10
"47",558,"5efb6d8e8257350c76f807cc","sub","more lines less green boxes","the number of black dots effects the green blocks","no",3
"48",559,"5ee64556587c7300097a3b85","mult","The amount of spots that are on the egg is times the amount of sticks after they meet so 1 spot with three sticks (1x3) stays as 3 2 spots with 2 sticks (2x2) changes to 4 sticks and 3 spots with 1 stick (1x3) changes to 3 sticks","The amount of sticks on the egg is the amount of blocks taken away when they meet","None",7
"49",560,"5c561712f9120f0001d29c4d","sub","The stripes on the eggs correspond to how many segments disappear on the stick","I would of guessed that the dots equate to how many segments are added onto the stick but not all of them follow this theory","no",4
"50",561,"5e5a4840b07a782433c97bd5","mult","Number of dots is a multiplier e.g. for 3 dots multiple no of segments by 3","The number of lines are subtracted from the number of segments e.g. for 3 lines 3 segments will be subtracted","No comments",10
"51",562,"5f34625f68dec936969152b0","sub","The number of stripes on the eggs indicate how many sectors of length from the sticks will be consumed.","The number of spots indicate the multiple of sectors whereas the sticks eliminate the sectors of stick. These coincide for example: if there is 3 sections of stick originally and this comes into contact with the egg with 1 spot that is 1x3. However if there is a line on the egg this indicates how many sections will be eliminated. Going back to the aforementioned example if there was 2 lines it would consume 2 sections and there would be 1 section of the stick length left","",10
"52",563,"6038699f5cdecc243c343024","mult","The stick may grow dependant upon how many dots are in the circle. Also depends if one of the circles in the dot makes contact with the stick if it does it seems to grow if it doesnt then no growth.","The amount of lines in the egg once it makes contact with the stick is how many blocks the stick decreases by.","no",3
"53",564,"5d7a3c1a5d9ec20001bfbdc9","mult","The stick multiplies in length by the amount of dots that are on the egg. ","I believe that the length of stick is multiplied by the amount of dots in the egg first and then the number of lines in the egg is taken off the length of the stick. ","I found this task interesting and would be interested to know if my predictions were correct. ",9
"54",565,"5d48603c07677400018e05fc","sub","the stripes match the amount of sticks that disappear when hit","the eggs make the sticks multiply by the amount of eggs inside circle","no",4
"55",566,"5ece4756967c2c1e444723ed","sub","The number of lines in the egg determines how many segments are reduced in the stick.  There was one line and the stick reduced by 1 segment with two lines the stick reduced by 2 segments and when there were three lines the stick reduced by 3 segments.  ","there are no lines in the eggs so logic suggests that the stick is influenced by the dots.  In the first egg with one dot the stick size remained the same with the second the stick increased by 2 and  there were two dots.  In the final egg the stick increased by 2 and there were three dots.  The position of the dots may be significant and in the second and third eggs each has a dot touching the edge of the egg which suggest that this is what causes the stick to increase by 2 segments.  ","I have no comments.  ",6
"56",567,"5f30a3aafe3e9550d0b8333d","sub","The number of lines inside the egg determine how many segments are removed.","one spot changes nothing 2 or more spots adds two segments.","no no comments to suggest.",8
"57",568,"5f1b109b518f780ec8f6289f","sub","The amount of red lines determines how many segments of the stick disappear. ","I believe that the number of dots is multiplied by the number of segments. ","Interesting experiment t ",4
"58",569,"613c7e6c99b8914185dc9934","sub","The number of stripes determines how many blocks the length of the stick shortens by. So 1 stripe = 1 block reduction 2 stripes = 2 block reduction and so on","The length of the stick multiplies by the number of dots on the egg so 1 spot has no impact 2 spots double the length 3 spots treble the length and so on","No comments",11
"59",570,"601a6c49e466342812c5bb2f","mult","My best guess is that the more spots are in the magic eggs the more chances there are of them changing the length of the sticks. The first one only had one and the stick remained the same length. The second and third ones had more in them resulting in an extension to the length of the stick.","With these sets of magic eggs from what I picked up is that when they have the orange sticks in them they kind of deduct from the length of the outside blocks. So if there are no blocks and no spots in the eggs the blocks remain the same. The more orange sticks there are the less the blocks become according to the number of the orange sticks.","Not at the moment. All I can say is I enjoyed the task.",5
"60",571,"59e7362fe75b450001a69349","mult","The additional segments do not seem to be correlated with the number of spots on the eggs","One stripe equals minus one. Dots are not relevant.","Not sure of the objective",1
"61",572,"609816af06a82ee11ced664a","mult","black dots not touching the sides of the egg determine how many rectangles will be added.","plus the number of black balls in the square not touching sides minus red sticks","Thanks",4
"62",573,"60662064c4e2b814215e6890","sub","The magic egg remove the number of segments as its number of stripes.","If the magic egg has more than one dot it add two in regardless of the number and if is number is one there is no effect.","All went well",7
"63",574,"6124d3c85b6ea8a350177dcc","sub","I think it is just random whether sticks elongate or not therefore it doesnt matter how many spots or stripes there are. These are magic eggs after all","it has nothing to do with the spots or stripes there is no logical pattern to the magic","this was different and quite a fun challenge.  ",3
"64",575,"60740ef98a46b9cf7ac0fb30","sub","Almost all these sticks decrease when tested","The properties that matter the most is the changing of sticks. Most sticks increased in the study.","no comments",2
"65",576,"61a74f50a9217c6f76a4d0c8","mult","I am sorry but I really dont have a guess for these. I cant see any pattern whatsoever at the moment. Ive looked over them a number of times.","These are all minus blocks depending on the number of stripes! The dots seem to be irrelevant ","I enjoyed it and am eager to know how much I failed. Which is probably all of them oops.",4
"66",577,"603e559cf582d0e95e1466a0","sub","each ball is (*-1) and each stick describes number (1 stick 1 block)","Id need to think about this a while longer.  One ball could be a negative while higher numbers of balls add more balls but in tiers (e.g. 2 balls or three balls is +2) Or perhaps the positions of the balls (touching the sticks or not touching sticks) affects the cumulative effect.","I changed what I thought a lot even while answering the questions. It was interesting though. Generally I like to think about things over a long time before deciding what I think about them. And a lot more test scenarios. Being able to create my own test scenarios would have been much easier.",4
"67",578,"5a7094c4f660ae0001a98bd5","sub","One segment is knocked off for each stick that the egg contains.","Now Im not at all confident. One dot did not add or subtract any segments two or three dots added two. So I would guess that two segments get added if there are more than one dot.","   ",1
"68",579,"5f622354d1464421128b7aa0","sub","The more orange stripes there are the shorter the length of the stick (inverse relationship between stripes and segments of stick). The number of spots dont seem to matter in this case as there are only one spot in the three instances.","With a spot there is a minimum of 3 segments in the stick. As such the spots add segments to the stick while the orange stripe decreases the segments in the stick. Eg. 1 spot would have 3 segments in the stick and 1 spot with 2 stripe would have 1 segment (3 - 2) in the stick.","NA",7
"69",580,"60b793f907f9fcd4b5c28cca
","sub","my best guess is that one black dot and one red line on a magic egg   will lead to a decrease in the length of the segment by one block  and that one black dot and two red lines on the magic egg   will lead to a decrease in the length of the segment by two blocks  and that one black dot and three red lines on a magic egg  will lead to a decrease in the length of the segment by three blocks.","one black ball on an egg will lead to the segment being multiplied by 1 2 black ballsdots on a egg will lead to the segment being doubled multiplied by two3 black ballsdots on a egg will lead to the segment being tripled or multiplied by 3","Thank you ",5
"70",581,"60f30cd3b09a237bc5f6cde5","mult","The number of dots is a multiplier.  Starting length of stick * Number of dots = Final length of stick","Both stripes and dots matter. The number of dots is a multiplier. The number of stripes is subtracted.  Either: (Starting length of stick * Number of dots) - Number of stripes = New length of stick OR (Starting length of stick - Number of stripes) * Number of dots = New length of stick","NA",10
"71",582,"60d7d0d99b3a5d61233620d8","mult","An even number will increase the length of the stripes.","The dots predict the length of the sticks but the stripes reduce that number.","Sorry totally confused! ",5
"72",583,"5ba8e6989533420001c4622a","sub","The number of stripes on the egg relate to how many segments are removed. However its only activated if there is a dot","1 dot does nothing but every subsequent dot adds a segment","no ",4
"73",584,"6087eac11a41abe05d59f8cf","sub","Each stripe on the egg reduces the stick length by 1. Hence 2 stripes means the stick reduces in length by 2.","Ok so the number of dots also matters. You need to multiply the stick length by the number of dots and THEN subtract the number of stripes.","Im intrigued to know what the rule really was? I dont think my second guess was correct either. Were there sufficient examples to be able to work out the rule correctly? The first three examples only changed the number of stripes and the second three only changed the number of dots so we could never really see how the number of dots and stripes interacted?         ",12
"74",585,"6057de937ba80e82f018e7c1","sub","The sticks inside the eggs matters the most. For each stick inside the egg it costs the stripes 1 stripe","The magic egg can only perform magic when the length of stripes is 2 or less than 2","The task was fun and interacting.",5
"75",586,"60a50457d02bfc23c02d4717","sub","The number of stripes on the magic eggs determines how much the stick will be reduced. The stick lengths do not increase at all and the spots on the eggs do not have any effect on the stick lengths.","When there is only one spot on the magic egg the length of the stick doesnt change but when the egg has two or three spots the stick length changes (it increases by 2). ","",8
"76",587,"5ede792f5c27ee0e428edd0e","mult","The dots on the eggs are multiplied by how many segments are on the stick. The answer is then reflected on the sticks. For example one dot on the first egg multiplied by three segments on the stick (1x3) and the answer is three. The segments remain the same as there were already three.  However three dots on the third egg multiplied by one segment on the stick (3x1) the answer is still three though the stick changes to three segments because the answer to the equation is reflected on the stick segments.","The lines in the eggs represent how many pieces of the segment they will subtract. So in the last example there were three lines and three parts of the segment were taken away.","It was very interesting thanks for allowing me to participate!",10
"77",588,"5bb1387f27fb5000013b9cd4","sub","I feel the sticks and eggs are both important. As long as the eggs are within the inside of the red sticks it will decrease the green blocks by however many red sticks are present within the circle. For example 1 egg and 1 red stick decreases the green blocks by 1. 2 sticks and 1 circle within the sticks decreases it by two etc. ","If there is 1 egg touching the right side there is no movement or change in blocks. So If there is 1 egg that is touching the right side but 2 not touching and floating anywhere else then the blocks will increase by 2 eggs + the original amount of blocks that were there in the beginning.","no",2
"78",589,"","mult","Two dots create two extra sticks. Three dots create one extra stick","The similarities are when theyre is lines in the magic eggs they remove a stick. When there is just the magic egg they add sticks.","na",4
"79",590,"603ec800a82afdf93b6a050f","sub","For each stripe that is on the egg the length of the block decreases by one.","When there is an even number the amount of blocks are added however if there is an odd number you add the amount of block of the even number beforehand.","No",8
"80",591,"615f57a9df5eb12f149f370d","sub","the more stripes in the egg the more the stick decreases","the stick increases with more than one ball inside","I would like to find out if my answers were correct and what the casual relationships are. Thanks",6
"81",592,"606b5632b44fc8c52a0d7eca","sub","There is always four objects so the top one has one strip one dot on the egg and the two stick segments making four objects. Same with the other two cases. ","The amount of strips on an egg determines how many stick segments get removed. One dot on an egg has not effect on the number of stick segments but 2 dots on an egg will add another 2 stick segments.","no",6
"82",593,"5a7622caf49c9a0001f2f7a8","mult","Dots on the egg when linked with a stick add new segments to the stick.  The number of new segments added depends on the number of spots in multiples of 2.  (i.e 4 dots would increase the length by 4 3 by 2 2 by 2 and 1 by 0).","Lines on the egg take away a segment of the stick when they touch.  Dots will increase the length of the stick but the addition corresponds with multiples of 2 so 3 dots will only lead to an increase of 2 segments 4 by 4 etc).   ","None really would be interested to find out what the relationship really was between eggs and sticks.  ",4
"83",594,"5d138b1707a97100156c2ace","sub","The lines on the egg correspond to how many segments will be removed from the sticks. E.g one line through the egg means 1 segment will be taken away","One dot no change Two dots the segments double  3 dots is one more segment","No I dont  ",3
"84",595,"607d30af8440153a603528b3","mult","The more amount of eggs the length of stick increases. For example 3 eggs equals three blocks of stick.","Stripes in the eggs decreases the size of the stick.","Thank you )",4
"85",596,"61bb36eb40db417c1a13895a","mult","That the number of spots on the egg multiplies the number of segments upon the stick that it touches. Ergo one spot changes nothing. Two spots multiplies segments by two...etc","The spots multiply the number of segments by the corresponding figure (one spot equals x1 two spots equal x2 and so on) and the stripes subtract the corresponding figure from the stick segments (two stripes equals minus two segments on the stick)","Whilst having no real clue as to what your study must pertain to - I am glad I chanced upon it at and I thought that was a very enjoyable ten minutes thank you. Id have been more than happy for it to be longer or extended into further similar but more complex relationships.  Kind regards and good luck with your study.",14
"86",597,"613a45fe3cca9f364d241061","mult","1. 1 ball = times the sticks by 1 2. 2 balls = times the sticks by 2 3. 3 balls = times the sticks by 3","from checks 4-6 the balls do not matter for the effect the number of orange sticks in the egg determines the removal of length in stick. i.e three orange sticks in the egg means removing 3 off the stick. ","No comments - interesting to see relationship on two variables. ",8
"87",598,"5dfe40d5deea2badfe632db5","mult","The number of dots on the egg multiplied by the current number of segments in the stick equals the resulting number of segments in the stick when the egg is applied.","The dots indicate that you first multiply the number of dots by the segments in the stick. Then you subtract the number of lines from the current length of the stick to get the final length of the stick.","It might have been helpful to know whether negative lengths of the stick are allowed but perhaps my solution was just incorrect and such results shouldnt be possible. :)",11
"88",599,"602539c6fe366c0008c815cb","sub","The amount of stripes on the egg with one dot indicates how much shorter the stick will become. E.g. Egg with 1 stripe and 1 dot decreases the length of the stick by one notch. Egg with 2 stripes and 1 dot decreases the length of the stick by 2 notches. Egg with 3 stripes and 1 dot decreases the stick by 3 notches.","The dots on the eggs indicates the multiplication of the growth.","I am interested to know how the sequences work.",4
"89",600,"6053bf6fde6781a894aa3fdf","mult","I think its the position of the dots and also a mathematical sum","Ok so the dots add and the lines minus","Had to take some time to get it but overall it was not too bad. I hope I did it correctly   ",10
"90",601,"604bd3edaa0b8dbd53dfbec4","sub","when the egg has one stripe and dot it only removes one stick and if it has 2 stripes and a  dot it removes 2 sticks and if it has 3 and a dot it removes all 3 sticks","it matters according to how the dots are placed when placed in the middle is doesnt affect the sticks when placed on the side that hits the  sticks it increases the sticks like number 5","interesting",5
"91",602,"5ef352ac6182fb0853b532c7","sub","I think that the number of sticks in the egg will reduce the number of segments by the same number . I do not think that the dots have any effect at all.","I think that the number of dots is the amount that you multiply the number of segments by 1 dot so multiply by 1","It was fun while getting you thinking and then kicking yourself when you had that Oh yes moment.",8
"92",603,"6097c0f1b17aabadc9369fc5","sub","The number of stripes in the eggs corresponds to how many segments are removed from the stick","The number dots in the egg is the multiplication factor of the segments in the original stick","It was very interesting",11
"93",604,"60c8eb96a3f6b07df96d2d6e","sub","Known impact - the higher the number of sticks in the egg causes a three length stick to reduce its size. i.e more sticks in circle = less length in the stick.  I am not sure about the position of the circle in the egg or the impact to a longer  shorter stick. ","the number of circles in the egg multiples the lenghth of the stick i.e. 1 circle * the existing length = the existing length 2 circles * the existing length = twice the size of the stick etc ...","no",8
"94",605,"5ef512f59a0686144b8e6263","mult","If the number of spots on the egg is smaller than the number of segments the stick stays the same length. If the number of spots is the same as the number of segments it doubles the stick length.  If the number of spots is more than the segments then the stick grows to the same number of segments as there are spots.  This happens when the egg moves next to the stick","The number of stripes on the egg reduces the number of segments in the stick by how many stripes there are on the egg if the number of spots is less than the segment length.","I found it hard to differentiate between the influence of the spots and the stripes on the egg and how the relationship between them worked in terms of segments.",5
"95",606,"5e5fa18acf9c042ddcb82a8a","sub","number of stripes etermines shortening of length"," spot adds 1 23 spots add 2","nope",5
"96",607,"5abcda0cfa3b4e0001731e03","mult","the more dots on the egg the higher the probability the stick will increase in length","stripes take away length spots add them. stipes have more wieght on the result than sticks ","no",4
"97",608,"60a8f878f146d080f72b670d","mult","The magic eggs that have more than one spot on them add two segments of sticks to the already existing ones. However their lenth remains the same. When the magic egg has only 1 spot it has no effect on the sticks but as soon as there is more than 1 spot on the egg then two sticks are added to the segment increasing their length.","When the magic egg has a single spot no sticks are added to the segment. And once there is more than one two sticks are added. When the egg has both spot and a stripes the number of stripes that are shown on the egg are then subtracted from the segment of sticks. So anytime there was a single spot it has no effect on the segment at all. However stripes on the egg indicate the number of sticks that must be subtracted from the segment.","NA",5
"98",609,"60b9f1fe58782eeab6372f1c","sub","I think each line within the egg removes a segment of the stick","The dot in the egg is multiplied by the number of segments in the stick","None",3
"99",610,"615586b009f801c3f2d4af8d","sub","Egg with one stripe reduces the three module stick size by one module egg with two stripes reduces the three module stick size by two modules egg with three sticks reduces the three module stick size by three modules.","Eggs with one dot have no effect eggs with two dots double the  modules eggs with three dots triple the modules.","No I do not.",2
"100",611,"60b8f286e9ca8acabdddc02f","mult","the length of the sticks will increase","More eggs are closer to the lines. The lines will be longer.","no",5
"101",612,"604822031f4666160f00b04a","sub","The number of lines inside each egg dictates the number of sticks that will DECREASE the number of lines also dictates how the sticks will INCREASE and the position of the dot I am not quite sure about yet but it may be an affirmative that the early things will happen depending on its position.","The number of dots inside each egg equals the x factor - ie one dot will say same 2 dots will double sticks and 3 will triple sticks","I tried to work out how the dots were affecting the internal lines but Im not sure I ever really got on top of this.  I did my best it was very interesting - thank you.",6
"102",613,"60377564edd48263e3130a88","sub","Stick numbers seem to match the segment number.  At the moment it doesnt seem that the spots in the eggs affect the number of segments or the stick length.","Now I am entirely unsure about the casual relationship between the two. There doesnt seem to be any logic that is immediately jumping out at me with regards to the numbers spots and the number of segments after the egg has moved. I am currently struggling to figure out the relationship.  My previous observation was based on the number of sticks and then the number of segments. So without any sticks whatsoever and different numbers of dots I am officially confused.","None",2
"103",614,"603f5a050ff5a80e5d1ca9df","sub","I think one dot means the number of segments decrease and the number of lines show by how many. i.e. 2 lines means the stick decreases by 2 segments. ","The number of segments of stick that exist are multiplied by the spots on the egg. So in the first example 1 is multiplied by 3therefore the stick will have three segments after being touched. In the second example 2 is multiplied by 2 making 4 segments of the stick after being touched. ","na",3
"104",615,"60892fe702789a871ccd8913","sub","The number of bars on the magical egg decrease the stick length each bare decrease the length by 1","Each pair of dots increase the length by 2 but it only works by pair so if we add a dot nothing happen until we add another one","Hi I tried my best doing the task good luck with the study !",8
"105",616,"5af2c69986e4d20001a024e1","sub","the amount of lines on the egg takes away the same amount of lines on the sticks  for example one line magic egg takes away one square off the line  ","1 spot on the egg does not do anything  two dots on the egg adds two blocks  3 dots on the egg adds two blocks ","good experiment i found it quite hard ",8
"106",617,"601129f77e0c21000b0c408a","sub","An increase of the stripes by one on the eggs results in a decrease in the size of the stick by one bar.","The number of dots on the eggs multiplied by the number of bars making up the original stick equals the number of bars making up the stick after the egg touches it.","No comments",11
"107",618,"6136590bcf60824380197771","sub","The more stripes it has it makes the length of the stick shorter.","Some dots increase the length of the stick while others stay the same length. ","No",7
"108",619,"60f5917414ac7d222d22db64","mult","the first with one spot does not change anything the other 2 add 2 lengths extra to each stick","the amount of lines on the egg are how many lengths the stick reduces by","na",2
"109",620,"5efcf3be07207311b09d14ab","mult","if the eggs have an even number of spots they can make the sticks longer by 2 units; if they contain an odd number they lengthen by 0 0r 1 unit only","The lines on the eggs corresponds to the number of units the sticks decrease in length by","Id love to know the answer!",1
