"","ix","condition","task.input.a_input","task.input.b_input","feedback","correct"
"12",394,"sub","Based on the number of dots it decreases the length of the stick. It does not matter where the dots are located or how far apart the dots are from one another. ","It seems based on where the lines are located it changes the length of the stick. The middle line is like a zero while the outer lines or the lines closer to the outside circle mean how many bars or how much longer the stick needs to be. ","None",7
"13",395,"mult","one stripe make no difference  more stipes makes the stick lengthen by 2 segments","the sticks length reduces by the number of dots used accordingly","great thanks i found it very interesting",3
"14",396,"mult","Having more than line adds 2 blocks to the sequence","That the number of blocks are removed according to the number of spots on the egg. Ie 1 dot 1 blocked removed 2 block 2 removed etc","no",2
"15",397,"mult","Each line is how much the sticks will multiply. First egg had 1 line and stick length didnt change. Second egg had two lines and stick doubled. Third egg had three lines and stick length tripled. ","Ok so the lines are multipliers and the dots are -1. ","This was really interesting. I think I got the first predictions wrong as I was not able to account for how the dots affected the calculations. But I am fairly certain I got the last lot of predictions correct.",11
"16",398,"mult","These magic eggs without the spots only stripes can increase the size of the stick. They have a multiplication effect. If an egg has to strips then it multiplies by 2 if it has 3 it multiplies by 3 etc. ","These eggs with the dots on them cause a subtraction effect. If an egg has 1 dot then it decreases the length of the stick by 1 if 2 it decreases by 2 etc. ","This is experiment is easy to understand.  The rules are clear.  The researcher can maybe add more practice rounds to make people become familiar with how it works.",5
"17",399,"mult","for any eggs with more than one stripe inside it increased the number of sticks by two regardless of the number of stripes","the number of sticks decreased by the number of dots on the magic eggs e.g. if 3 dots then 3 sticks were removed","very interesting",4
"18",400,"sub","1 dot = -1 stick","1 stripe doesnt affect the sticks 2 and 3 stripes add 2 sticks","no",7
"19",401,"mult","I think the stripes represent the number and as well as the blocks","Stipes is the number times the blocks subtracted by the number of circles","No comments",11
"20",402,"mult","The number of stripes is what multiplies the number of segments of the stick e.g. 2 stripes would double the segments.","The number of stripes is what multiplies the length of the stick and then the number of dots is the number of segments subtracted from the length of the stick at the end.","Thank you for the study it worked fine.",15
"21",403,"mult","The number of stripes times the number of green squares results in amount of green squares","Red stripes = times green squares minus the number of black spots","Was fun hope we get results. ",10
"22",404,"mult","That the stripes are the multipliers to the amount of segments. So the egg with 1 stripe multiplied by the 3 segments yields 3 segments. The egg with 2 stripes multiplied by 2 segments yields 4 segments. ","The stripe is the multiplier while the dots correspond to the amount of segments substracted.","NA",11
"23",405,"sub","Each dot will make a line segment disappear. ","Each additional line adds an extra segment","It was fun",5
"24",406,"mult","An increase in the amount of sticks greater than 1 but less than or equal to 3 increases the sticks length by 2.","An increase in the amount of dots decreases the stick length by the amount of dots present the line has no impact on the stick length.","NA",5
"25",407,"sub","It appears that the more dots present on the eggs the shorter the stick length is.","When no dots are present and more stripes are added the length is increased by 2.","None available ",5
"26",408,"sub","The dots are co-related to the missing sticks. Each dot removes 1 stick. But the effect from the stripe on the egg is unknown at this time. Is the stripe and the dots required for missing sticks?","1 dot (and any number of sticks) = -1 stick 1 stripe = x1 stick (no change) 2 stripes = x2 sticks 3 stripes = x3 sticks But what about 1 dot without any sticks?","A few unknowns still: Does 1 dot without stripes have any effect? Assumption was maths for dots first then the stripes - but unsure of this. Thanks it was fun.",8
"27",409,"sub","The more dots on the magic eggs the shorter the stick gets ","The more lines on the magic egg the longer the stick gets ","na",7
"28",410,"sub","The number of spots an egg has is the number of segments that decrease the length of the stick","If the number of stripes on an egg has more than one it decreases two segments of length from the sticks ","It was confusing",8
"29",411,"sub","the dots indicate the number of sticks that are minused","the lines either add remove or keep the number of sticks the same","I thought i understood it but then it seemed to get really complicated",5
"30",412,"mult","The number of stripes equals how many times the stick segments are multiplied. Two stripes = x 2 3 stripes = x 3 etc.","The number of stripes equals how much the stick segments will be multiplied by. The number of spots equal how many stick segments are subtracted. (Stripes x Segments) - spots = number of segments.","Nope",10
"31",413,"sub","I think that the number of dots in the magic egg reduces the number of segments by an equal amount. The stick remains the same in all three cases and doesnt seem to have an effect.","Dots reduce the number of segments and lines increase them. Two lines double the number of segments and three treble it etc.","I think I figured it out after the second set of information about the lines multiplying the number of segments. Before that there wasnt enough information to make an accurate guess.",7
"32",414,"sub","The black dots on the egg indicate how many segments of the stick will be taken away. For example 1 black dot on an egg equals 1 segment taken away from the stick.","If there are two lines on an egg then it adds two segments to the stick. If there is a large diagonal line in the centre of the egg it means at least three segments are present on the stick plus whatever other lines are there. ","None.",7
"33",415,"mult","the number of stripes multiplies the number of segments. 1x3=3 so the number of segments didnt change 2x2=4 so the segments beame 4 and lastly 3x1=3.","my guess is that for each black dot on the egg it removes one segment.","none.",8
"34",416,"sub","The number of spots on the egg and perhaps the positions of the spots vis-a-vis the stripe(s) seems to affect how much the sticks are shortened and do so proportionally too - i.e. three spots on the egg shorten the stick by three units.","Each extra stripe on the eggs after the first increases the length of the sticks by that factor - i.e. two stripes doubles the stick length; three stripes triples the stick length. Each spot reduces the stick length by one unit.","The most frustrating part was the questions in the pre-test - due to the wording of the questions it took me longer to do that before Id even moved on to the experiment than the experiment itself took. ",8
"35",417,"sub","Presuming the eggs can both add AND subtract segments from sticks:  - Dots determine the amount of change. - Sticks determine the direction of change with one stick resulting in subtractionshortening.  No information of stick numbers other than 1 so information is highly limited.","Lines multiply the original amount of segments in the stick after which the quantity of dots is subtracted. This may happen in the reverse order as well but given the length options in the guessing set this seems unlikely.","This was fascinating I hope to be able to participate in more tests like this.",10
"36",418,"sub","I believe the single stripe is not playing a part (the stripe is neutral) and the black dots indicate the number of segments it will remove (the stripes addno nothing nothing in this case and the dots remove)","the middle line is neutral. ","No.",9
"37",419,"mult","I think magic eggs with no dots  only 1 stripe causes no change of length to sticks. Any magic eggs with no dots  2+ stripes causes an increase of 2 segments to the sticks. This is only based on the tests shown so far.","I think that the dots with 1 stripe only of magic eggs influence the decrease the segments of the sticks. For example when 1 dot appears with 1 line 1 segment decreases. When 2 dots appear with 1 line 2 segments decrease. When 3 dots appear with 1 line 3 segments decrease. However I think the stripes on their own with no eggs have different properties vs eggs with dots so any dots matter for different effects.","na",6
"38",420,"mult","The eggs act as a multiplier so however many red stripes are in the egg multiply the green stripes by that amount.","The eggs are made of two parts red stripeslines and dots. The red stripes act as a multiplication tool and the dots act as a subtraction tool.","No comments",10
"39",421,"sub","The number of magic eggs removes the same amount of lines.","The length of the lines has to do with the number of blocks you add or remove","it was challenging and I had to focus hopefully I have full marks.",6
"40",422,"sub","I think how many black dots each egg has will cause the stick to go down by that much. The first egg has 1 dot and the stick shrinks by 1. The second egg has 2 dots and the stick shrinks by 2. The third egg has 3 dots and the stick shrinks by 3.","The black dots on the first 3 magic eggs caused lines to subtract from the stick but the orange lines cause the stick to multiply. The fourth egg only had 1 line so 1 times 3 equals 3. The fifth egg had 2 lines so 2 times 2 equals 4. The sixth egg had 3 lines so 3 times 1 equals 3. ","I think it was an interesting experiment.  ",11
"41",423,"mult","I believe that the lines within the eggs are in indication of what the line shall be x by a line length of 1 and a magic egg with 3 lines equal 1 x 3 = 3 as the new length ","I believe that the line accounts still for x eg. egg with 1 line will be ? x 1 however the number of dots within the egg have to be subtracted. ","NA",14
"42",424,"mult","The stripes inside the magic eggs determine the shape and length of the rectangle. When there are two stripes inside the eggs the rectangles become four and when the stripes the eggs are three the rectangles become three. ","The number of the dots in the eggs determine the number of the bricks and the length. When the dot inside the egg is 1 the bricks reduced by 1 brick and when the dots are 2 the brick reduced by 2. And when the dots are 3 the bricks reduced by 3 also. ","No. ",5
"43",425,"sub","The amount of dots on the eggs indicate how many sticks will be removedshrink.","Even number of sticks on the eggs will multiple by 2 odd numbers will show 3 sticks only.","I found this challenge difficult I hope it was randomised!",6
"44",426,"mult","the bigger amount of lines in the eggs make the line longer","the line decreases depending on the amount of spots","no",2
"45",427,"mult","The number of stripes on the magic eggs corresponds to a multiplier. If there is one stripe the number of sticks is multiplied by one. If there are two stripes the number of sticks is multiplied by two and if there are three stripes the number of sticks is multiplied by three.","Here while the stripes on the eggs continue to have the same multiplier effect as previously (i.e one stripe multiplies the number of sticks by one two stripes multiplies the number of sticks by two and three multiplies the number of sticks by three) the number of dots has a subtraction effect: one dot will subtract one segment of the length two dots will subtract two segments etc.) So both elements of the eggs will have an effect on the number or length of segments if the egg touches the sticks.","This was fun and interesting to do. I realized that in my reasoning I had not factored in what might happen if a magic egg had neither stripes nor dots and I wondered if I had been paying enough attention to the initial trials in case that had come up. ",7
"46",428,"sub","If one spot touches the stick then 2 segments are lost if 2 spots touch the stick then all 3 segments are lost.","One full length stick = 3 segments if another full length stick is added then this adds an extra segment.  If there are different length sticks then these gain one segment per stick.","NA",3
"47",429,"sub","The number of spots decreased the same length of the sticks equally. One spot equaled one less stick length two spots equaled two less stick lengths. However the sticks in the eggs had no effect on the length of the stick.","The two or three sticks inside the magic eggs added two blocks.","No",5
"48",430,"sub","The number of segments in the stick is reduced by the number of spots on the egg.","The number of segments in the block are multiplied bythe number of stripes on the egg","No.",9
"49",431,"sub","The dots seem to be the key here. The amount of dots determines how much the sticks reduce","The amount of sticks present determines how much the sticks will increase","It was very fun and made me have to think really hard",5
"50",432,"sub","Each egg takes away one square","The sticks increase the number of blocks by 2","NA",7
"51",433,"sub","The magic eggs cause the length of the stick to decrease. One egg reduces one segment of the stick. ","A magic egg with one linestick will cause the blocks to stay the same. A magic egg with 2 or more linessticks (e.g. 2 sticks 3 sticks etc) will add two more blocks to the length.","I wasnt too sure what words to use when writing my predictions. ",6
"52",434,"sub","I think that the number of dots in the egg determines how many segments the stick is reduced by it appears that it doesnt matter how many lines there are or where the dots are located on the line","I think the dots reduce the stick segments and the lines increase the stick segments","no ",6
"53",435,"mult","Depending on the number of sticks the boxes either increase or remain the same.","The number of blocks appear at random. It is not necessarily dependent on the number of eggs.","It was a great and engaging experiment. ",1
"54",436,"mult","The segments are multiplied by the amount of stripes on the egg to give the end result (e.g 1*3=3 2*2=4 3*1=3)","The segments are multiplied by the stripes then the amount of dots are subtracted.","none ",9
"55",437,"sub","The number of circles around the stick determines how many squares go away ","You multiply the number of stripes in the magic egg by the number of squares and you subtract I think after Im not sure but my guess is based on the order of operations by the number of circles in the egg ","No I do not",11
"56",438,"sub","The number of dots tells us how many segments will be removed. So one dot removes one segment and 3 dots remove 3 segments. ","The segments are multiplied by the number of stripes on the eggs when there are no dots on them.  So if there is one stripe on an egg and 2 segments there will be 2 segments as 2 x 1 = 2 and if there is 1 segment but 3 stripes on the egg then the stripes will change to being 3 stripes as 1 x 3 = 3. ","No I really enjoyed participating in this. ",9
"57",439,"mult","I think that having more than one stripe results in the egg increasing the length (number of segments) on the stick. One stripe has no effect but 2 or 3 stripes increases the segment by 2. ","The number of stripes on the eggs are the number by which the number of segments on the stick must be multiplied example if there are 2 stripes multiply the number of segments by 2. Then you subtract the number of the dots on the eggs from the segment length.  The stripes generally increase the length of the sticks whereas the dots decrease the length. ","This was quite an interesting and challenging task.    ",13
"58",440,"sub","The spots on the eggs correspond to the number of segments of the stick that will disappear if the egg touches the stick.","The stripes on the eggs add segments up to a maximum of three","no",8
"59",441,"mult","The lines inside the circle represent the multiple of the length of the stick","Inside the egg the number of lines multiples the length of the stick then you subtract the number of eggs from the stick","No comments Thanks. It was good fun. ",11
"60",442,"sub","Regardless of the number of stripes on the magic egg each dot on the magic egg (regardless of location on the magic egg) will reduce the length of the stick by one segment. ","The number of stripes on the magic egg now appears to be a multiplier; ie if there are 2 stripes the number of segments in the stick multiplies by a factor of 2. For 3 stripes the number of segments in the stick multiplies by a factor of 3. ","It was an interesting experiment. I feel that not enough information was given at first although after the second round of 3 tests the effect of the stripe seemed more obvious to me even if I was wrong in my guess.",10
"61",443,"sub","The slanting line means that they deduct from the length of the stick and each spot denotes a deduction of 1 block","The stick length is multiplied by the number of lines in the egg","no",9
"62",444,"sub","All three eggs had the same number of stripes so there is no information to compare there. However the number of stick segments reduced by the number of dots that the magic egg had so perhaps it is directly proportional to dot number.","This time the number of stick segments was multiplied by the number of stripes in the egg. This is also consistent with the first round of testing. Perhaps the formula is stick segments x stripes - spots.","No.",11
"63",445,"mult","The number of stripes determines the length to which the stick increases in size","The number of stripes will determine the extent to which the size of the stick increases in length compared to its original size while the number of spots decreases its length by single amounts","No",9
"64",446,"mult","If magic egg has 1 stripe inside it nothing changes (multiplies by one). If magic egg has 2 stripes it doubles the amount of sticks (multiples by two). If magic egg has 3 stripes it triples the sticks (multiplies by three)","stripes multiples spots subtracts (first I predicted that they divide - I was wrong)","none",12
"65",447,"sub","I think that the amount of dots on the egg determine how many stick blocks are lost when they are combined. I think stripes may also play a part but have not seen any evidence thus far","Each dot on an egg will remove one block. Before this second set of tests I was quite certain that each stripe adds 3 blocks but now I am utterly confused!","No real comments - this was a well thought out experiment and was engaging and equally challenging!",10
"66",448,"sub","The number of dots determine the number of segements the stick is reduced by and the line on the egg seems to have no effect.","The number of lines on the egg determines the factor by which the stick segment is multipled to determine the length.","No.",5
"67",449,"mult","The magic egg multiplies the sticks length by a factor corresponding to the number of lines in the egg.  The 1st egg has 1 line the stick has 3 segments so a multiplication factor of 1 therefore no change to stick length.  The 2nd egg has 2 lines the stick has 2 segments so a multiplication factor of 2 therefore stick length increases to 4 segments.  The 3rd egg has 3 lines the stick has 1 segment therefore a multiplication factor of 3 and stick length increases to 3 segments.","So where the stripes were a multiplication factor in the 1st test each of the dots in the egg reduces the stick length by 1 segment.  Test 1 a single stripe and a single dot. The stripe represents a multiplication factor of 1 so no change but the dot represents the removal of 1 segment from the stick.  Test 2 same for the stripe but 2 dots therefore 2 segments removed.  Test 3 again same for the stripe but 3 dots so all 3 segments of the stick are removed","None",10
"68",450,"sub","The amount of dots affect how short the length of the stick is.  One dot removes a segment another dot removes another and a third dot removes another.  As we see here 3 dots removes all three segments.","Every stick beyond one will always add two segments.  So one stick will never add any length.  But 2+ sticks will always add two segments every time.","I was not a fan of the instructions.  I felt like they were not worded well and left out important information.",8
"69",451,"sub","The number of dots indicate how many segments disappear.","The lines multiply the segments and the dots subtract the segments.","no",10
"70",452,"mult","Maybe the length of the stick becomes the number of segments it was originally multiplied by the number of stripes on the egg?","The number of dots on the egg should be subtracted from the length of the stick. So the length = (number of initial segments x number of stripes) - number of dots","Good luck with your research :)",10
"71",453,"sub","They seem to be changing into a face shape.","The more the strips the more the blocks will be used.","It was a pleasent challange to figure out how the eggs function.",2
"72",454,"sub","The dots on the magic eggs determine how many blocks will fall over once the magic egg strikes the blocks.","The number of lines on the magic egg determines how many times the blocks will be multiplied by","na",5
"73",455,"sub","The number of dots on the eggs corresponds with the number of segments lost on the stick.  For the time being the number of stripes has been constant at 1 and does not appear to have an effect.","OK the dots are the number of segments subtracted from the sticks and the stripes are the segment multiplier ... but which way around?! - multiply first using stripes and then subtract the number of dots.","Very interesting I enjoyed this task and Id like to know what the answer is please!",13
"74",456,"sub","the number of spots on the egg take away the same number of sections on the stick","the stripes on the egg multiply the stick sections","unusual experiment  ",9
"75",457,"sub","if there is a egg in the blank space then it looses the lines","This one is not easy to figure out as there are no dots in them. test 4 gives 3 blocks there it is as if it is counting the open spaces and the line but in Test 5 it is different. ","No I dont was very interesting and challenging on the mind.",3
"76",458,"sub","Stick and dot = 2; dot right of stick minus one dots above adds one with total of 3 maximum","1 is 3 2 is 2 3 is 1","Seems very random",1
"77",459,"mult","When the egg touches the stick the number of lines on the egg indicates by what amount the stick multiplies. Ex. If an egg has two lines it will multiply the segments on the stick by 2.","I think the same properties apply to the stripes in this case but now the black spots subtract from the stick segments.","It was kind of confusing and makes me feel incapable of understanding simple situations.",10
"78",460,"mult","The number of stripes in a magic egg determines the number of sticks at the end.","For each spot in the magic egg you subtract one stick.","It was an interesting mind-exercising experiment.",2
"79",461,"sub","reduces the number of segments based on the number of dots","the dots subtract from the segments by their number. and the number of lines is multiplied by the amount of segments","No. If possible i would like to learn the results of the study.",12
"80",462,"mult","1 stripe on a magic egg has no effect on the segments of the sticks but when the egg has more than on stripe i.e 2 or 3 stripes it increases the sticks by 2 segments ","1 stripe has no effect on the sticks while one dot removes one segment 2 dots remove 2 segments and 3 dots remove 3 segments ","I dont have any comments ",6
"81",463,"mult","1-1 seemingly had no effect. 2-2 added 2 possibly doubling the size of the stick 3-1 added 2","Each black dot seems to decrease the size by one. The stick seemingly had no effect. Or has a value of 1 but is set to negative by the dots.","Thank you for this opportunity! I am very curious as to the specific results of how they were effected by each other.",8
"82",464,"sub","Number of dots define the lenght of the stick.","It is effecting like a binary digit system. Odd numbers adds 1 from the 3 even numbers are doubled the stick length.","Thank you.",8
"83",465,"sub","I think each dot on an egg will decrease the stick length by 1 segment. Stripes may or may not do something but there is not enough to learn from here.","I believe the stripes on the eggs will multiply the stick segments and then the dots reduce the segments.","I do not other than I feel like a doof because for just a moment at the start I suspected that maybe stripes worked how they did but immediately threw the idea out.",12
"84",466,"sub","The more features the eggs has i.e.mor spots and stripes the higher the effect the eggs have on the length (number of segments) of the stick they touch. The properties that matter are the spots and stripes on the eggs and the properties that do not matter is the speed at which the eggs travel. ","The stripes have more importance than the spots. The more stripes are visible the more the blocks are added. What matters the most is the contents of the eggs and not the speed of the egg. ","None. ",3
"85",467,"mult","An egg with one stick on it does nothing. An egg with two sticks on it will doube the length. An egg with three sticks on it will add 2 to the length.","Eggs with a single stick on them do nothing. Eggs with two ticks on them double thw length. Eggs with three sticks add two. Eggs with one stick and one ball subtract one. Eggs with one sticks and two ball subtract two. Eggs with one stick and three ball subtract 3.","No.",5
"86",468,"mult","The number of stripes on the eggs indicate by how much you should multiply the segments of the sticks.","The stripes on the eggs indicate by how much you should multiply the segments of the sticks and the dots indicate by how much you should subtract from the eggs.","It was a fun experiment and I was engaged all the time.",11
"87",469,"mult","Starting with one stripe you have three boxes  remains the same after. Starting with two stripes  two boxes you end up with two added boxes. Starting with three stripes  one box you end up with three boxes which is equal to stripes.","The more eggs added on the stripes the less boxes in the end.","I was very confused.",2
"88",470,"sub","one stripe on the egg indicates a decrease in the length of the stick the number of dots on the egg indicates the number of segments to be removed from the stick.","stripes on the egg indicate an increase in segments on the stick. if the number of segments on the stick is greater than the number of stripes on the egg nothing happens. if the number of stripes on the egg is greater than the number of segments on the stick segments are added so the total number of segments match the number of stripes. if the number of segments and number of stripes match the number of segments on the stick is doubled.","none",3
"89",471,"sub","The black dots inside the magic eggs take away one segment from the stick the orange line is not an important property at this point.","Inside a magic egg are beams that are effective and ineffective one beam does not affect the stick more than one beam increases the length of the stick. The dots decrease the length of the stick depending on their number.","Fun experiment. Enjoyed it",8
"90",472,"sub","The number of stripes is reduced by the number of dots that the magic egg contains.","The number of squares is multiplied by the number of lines and then the number of dots is subtracted.","Very interesting and challenging study.",12
"91",473,"sub","The number of spots a magic egg has determines how many columns of the stick are removed. (1 spot removes 1 column 2 spots removes 2 columns 3 spots removes 3 columns.) ","The number of red lines on the magic egg determines the number that the columns will be multiplied by. (1 red line columns multiplied by 1; 2 red lines columns multiplied by 2; 3 red lines columns multiplied by 3.)","NA",10
"92",474,"sub","Each egg knocks out a block. So 2 eggs will knock out 2 blocks and so on.","1 stick doesnt effect the number of blocks. 2 sticks adds 2 blocks and 3 sticks creates a total of 3 blocks.","no comments",7
"93",475,"mult","The lines on the eggs determine how the sticks will increase in size.  Two lines means it will double three lines mean it will triple.","Each circle decreases the egg by one segment.","none",14
"94",476,"sub","The the amount of dot and and stripes","depending on the amount of stripes it will either stay the same or increase","na",2
"95",477,"mult","If an egg contains a single stripe the blocks in the stick remain the same. If the egg has double stripes the blocks in the stick double. when there are three stripes on the egg the number of blocks triples.","The dots decrease the number of blocks in a stick depending on its position.","No comments",6
"96",478,"sub","If the dot is fully on the line you double it if the bottom right segment has a dot not touching anything you count it.  if neither no sticks","no idea now cant seem to see the linkage","No comment except it was rather difficult.",3
"97",479,"sub","each dot gets rid of an extra length - so 1 dot removes one lengthsegment - 2 dots on a magic egg gets rid of 2 lengthssegments and so on ","One stripe is neutral and if there is more than one stripe it adds 2 additional segments regardless of how many stripes there are. Each dot removes 1 segment.","It was difficult to identify the pattern when only the dots were demonstrated at the beginning i had to guess the impact of the stripes.",7
"98",480,"mult","The magical eggs multiply the original number of stick segments by the number of stripes on each magical egg. Eg. a magical egg with 3 stripes on will multiply a stick with 1 segment by 3 (3*1=3 segmented-stick).","The original number of segments is multiplied by the number of stripes on each egg then the number of dots on each egg is subtracted from the answer to the multiplication giving the number of segments. ","Interesting experiment!",15
"99",481,"mult","If there are more than two stripes on the egg when egg touches the stick it makes it longer by two parts.","If there are 2 stripes on the egg or more the length of the stick is increased by 2 parts but if there is a dot that touches the stripe then the length of the stick is decreased by number of all dots on the egg","no",2
"100",482,"sub","the more spots the longer in length the stick is ","the magic eggs need spots to make longer length sticks.","no  ",6
"101",483,"sub","Each spot reduces the length of the stick by 1 part.","The number of sticks multiplies the by number of stripes","No",10
"102",484,"mult","More than two strips on the eggs affect the length of the stick. If there is more than one stripe an extra two is added to the length of the stick.","For every dot there is a segment of the stick taken away. ","NA",5
"103",485,"mult","Multiply the number of stripes by the number of squares in the before state to get to the after state","Number of squares at the start minus the number of dots at the start","None",7
"104",486,"mult","Eggs with two or three lines seem to add two additional stick segments.","The black dots remove stick segments while only one line does not add any segments.","na",6
"105",487,"sub","(The number of dots that touch stripes) and (the number of loose floating dots) are maybe 2 calculators? Where the amount of floating dots marks an amount to be removed as well as the amount touching the stripe marking an amount to be removed?","The stripes indicate the multiplier of the amount of sticks there were before","A very interesting study!! Im sorry I wasnt clever enough to figure things out. Thank you so much. Good luck with your research!",11
"106",488,"sub","When there is one line on the egg (like in this test) the amount of dots on the egg determines how many segments of the stick are lost (so how much it is shortened)","The stick segments (length) are multiplied by the amount of lines on the egg. This seems to be the case as long as no dots are present","That was very interesting. Thank you!",9
"107",489,"sub","The number of dots on each egg determines how many segments the sticks decrease by. For example one dot decreases by one segment two dots decreases by two segments and three dots decreases the stick by three segments","If there is one stripe then the number of segments remains the same. If there are two stripes then the length of the stick is doubled. If there are three stripes then the length is tripled on the stick.","It was an interesting experiment and made me think about possible outcomes.       ",4
"108",490,"sub","I think the number of spots in the egg is related to the number of segments removed from the sticks.  An egg with 1 spot removes 1 segment of stickan egg with 2 spots removes 2 segments of the stick etc.  I cant see that the stripe has an effect at the moment. ","It appears as I said above that the number spots in the egg directly corresponds to the number of segments removed from the stick.  However it now appears that the number of stripes present in the egg provides a multiplication factor so if there is 1 stripe the number of segments is multiplied by 1 (hence no change in the first set of magic eggs shown before my first prediction) but 2 stripes multiplies the number of segments by 2 as shown in test 5 and 3 stripes multiplies the number of segments by 3 as shown in test 6.","none",11
"109",491,"mult","The more lines inside the egg seem to increase length","each dot decreases the length by 1","fun thankyou ",4
"110",492,"sub","its the number of sticks minus (-) the number of dots in the magic egg. So if the number of sticks is 3 and the number of dots in the magic egg is 2 the remaining segments of the stick will be = 3-2 = 1 segment.","Its the number of segments in the stick multiplied by the number of stripes in the magic egg minus the number of dots in the magic egg. So if : stripes = 3 dots = 2 stick segments = 1  it will be 1 x 3 - 2 = 1 segment.  ","No",15
