"","ix","prolific_id","condition","task.input.a_input","task.input.b_input","feedback","correct"
"19",213,"5f37f8fc06b3212ba2df15df","comp_mult_reverse","If there are more lines than dots the line segments all go away. If the number of lines is the same as the number of dots the number of line segments stays the same. If there are more dots than lines the number of line segments is reduced by one. But its obviously underspecified. There could be several explanations.","Multiply by number of dots; subtract number of lines. But its still underspecified. There could be multiple explanations; this is just a more obvious one.","I think I made a mistake in my first explanation. I think I wrote reduced when I meant increased.",8
"20",214,"5a455e951ba496000102a6c5","comp_mult_reverse","The number of lines affects how many of the blocks either added subtracted or remain as is. The number of dots affects whether any blocks are added or subtracted or whether they remain as is.","Whether any blocks are added or not depends upon whether the dots in the magic egg are touching the edge or not. Dots touching the edge add extra blocks.","This was much more difficult than I thought it was going to be. I was over-confident about my initial assessment of the affect of the magic eggs which I realised when I had to put my theory into practice - I was stumped.",2
"21",215,"5caf8c101c3f060015d261d5","comp_mult_reverse","I have 2 hypotheses - one focused on lines on the egg and the other on dots on the egg. 3 lines or one dot = the stick shortensdisappears 2 lines or 2 dots = no change to the stick 1 line or 3 dots = the stick lengthens","Okay so now Im guessing that its the dots on the egg which are important not the lines but I really dont know what the causal relationship is. I cant see a pattern at all.","I found the instructions quite confusing and now I feel rather unintelligent!",2
"22",216,"5b9fe3ba299d180001c00a67","comp_mult_reverse","If the number of dots is higher than the sticks it increases the amount of sticks. If equal nothing happens if less all sticks are lost.","No sticks means nothing is taken away more dots add.","None",2
"23",217,"5f998c90b5576a000b042efd","comp_const","The length of the stick is multiplied by the number of dots i.e. 2 dots and the stick doubles in length 3 dots and the stick triples in length.","Dots multiple the length of the stick by the number of dots i.e. 1 dot = 1 times 2 dots doubles the length of the stick etc. The stripes minus a block form the stick i.e. 3 stripes minus three blocks from the length of the stick. Calculate effect of dots first then the stripes.","",11
"24",218,"5d89de3c8c14fc0016d1004d","comp_mult","The number of spots on the egg determines how much the stick will multiply by. 1 spot = x1 2 spots= x2 3 spots= x3","I have absolutely no idea baffled","I now think ive realised the answer I said I wasnt sure about but cant change it! You multiply the sticks by the number of spots and then subtract the number of red lines from the answer then that gives you the total number of sticks.",6
"25",219,"603ddae8a0efddcdc8780603","comp_mult_reverse","the amount of egg and sticks show that another block will be added ","it seems it only doubles even amounts off eggs while an odd number of eggs is multiplied by one ","none",3
"26",220,"5c9a1d27d033a200175213bb","comp_mult_reverse","The number of lines and placement of the spot within the eggs determine what happens to the sticks","the spots in the egg determine the number of times you should multiply the stick so one dot means one stick because 1x1=1","I thought it was very odd but interesting",3
"27",221,"59d4bfd1719adb0001235bcc","comp_const","final length of the stick is the number of dots on the egg multiplied by the number of sections in the original stick","The number of blocks in the stick is multiplied by the number of dots on the egg then the total number of stripes is taken away from that to give the final length.","na",10
"28",222,"5f7de5a004dc7d02a7e0030b","comp_mult","multiply number of dots by number of stick segments.  so if 2 stick segments meet 3 dots becomes 6 stick segments","Again number of dots multiplies number of stick segments.  But number of lines within the egg decreases numerically number of stick segments","no comments really.  Thanks ",11
"29",223,"5fd6303361f8c14cb485a447","comp_mult_reverse","When there are more dots the length of the lines increase. When dots are equal to lines the boxes do not change","The amount of dots in the egg determine how the boxes change. It doesnt matter how many dots but as long as they are more than 1 the length changes","No",5
"30",224,"5cc73bee30113f00161658b1","comp_mult","new number of stripes = number of dots * number of stripes","new line stripes = number of line stripes * number of dots in ball - number of stripes in ball","No it was pretty straightforward",11
"31",225,"5dd5fe643558225b7c9f2857","comp_mult","More dots mean longer sticks","Lines shorten sticks","The instructions at the beginning were bizarre. ",2
"32",226,"5b3226efc6d7d20001146b67","comp_const","The number of stick segments is multiplied by the number of spots on the egg.","The number of stick segments is multiplied by the number of spots on the egg. Then a segment is deducted for each stripe on the egg.","Well constructed and quite fun :)",10
"33",227,"5c4482688bb6fd000164149c","comp_mult","The first egg with the one small dot added one block. The second egg with two dots doubled in blocks and the third egg with three dots added one block to two to make three.","On number four the egg with three stripes removed the number of blocks the egg has because theres one dot making it an odd number. Number 5 there are two stripes which leaves the two blocks remaining. On number six the three dots the red stripe through the one dot indicates only two dots remaining meaning only two blocks.","I understood the rules but once the game started playing it was rather difficult but it was fun at the same time trying to figure out the game. I dont think I got any right but it was fun to play. Itll be interesting to see if I got any of them correct but I doubt it haha!",0
"34",228,"58b6f98eb4f88f00014e89e6","comp_mult","If the number of dots is even or more than the number of sticks +2 are added ","If the dots in the egg are even or more than the sticks then +2 is added. The number of stripes in the egg you subtract from the number of sticks (after adding for the dots)","Quite enjoyed it  ",3
"35",229,"5da5974f7e506a0015c1f2f2","comp_mult_reverse","the number of lines in the egg equates to the length of the stick however when there is only one line the spots have some mathematical benefit not sure what yet though","1 spot=3 2 spots = 4 3 spots =3","no",0
"36",230,"5ecbd3c26b732a077a667477","comp_mult_reverse","If there are more stripes than dots the stick disappears.  If the dots  stripes are equal there is no change. If there are more dots than stripes the stick grows by 1","If the dots are more than the segments of the stick the stick increases by the difference","There want enough consistency in the experiment to be certain of the relationship. I do not have any further comments.",2
"37",231,"5fe290a80f62f4e47cc3f3c0","comp_mult_reverse","I think the number of spots determine whether or not to increase the length of not. if there are more spots than bars then it increases if its the same than it stays the same if there are less spots than bars it all the bars disappear.","I think the number of eggs still determine whether or not the bars increase but I think the bars only decrease somehow if there are bars on the screen","Very fun ",3
"38",232,"5b2cf6a10ec82d0001d2b860","comp_const","One dot has no effect but 2+ dots increases the length of the stick by 2 segments","The stripes act as a subtractor. The number of segments decreases by the number of stripes (1 stripe = 1 segment lost 2 stripes = 2 segments lost etc.).","No :)",2
"39",233,"595e33a3558c93000171cd21","comp_mult_reverse","If a egg is not touching a stick it gains a bar","each extra egg get a now block but not counting the first one ","I found it hard to see a relationship between the eggs ",4
"40",234,"5c33d4cb7ef9b300016704d1","comp_const","The amount of dots increases the length to the number of dots multiplied by the original length","The egg changes the length by multiplying the original length by the number of dots and then subtracting the number of lines.","easy to understand would be good to see if idea is right at the end",8
"41",235,"5e6c5e6c24959934271ef7a11ec724959934271ef7a11ec7","comp_mult","Its completely random. ","I believe that there is no significance in the lines or dots.  I think it is random.","It felt like the instructions were written to intentionally throw you off.",1
"42",236,"5ef2f1708ebcdf173189ac01","comp_const","The number of dots multplies the number of blocks in the stick. Eg 2 dots caused the number of the blocks in the stick to be multiplied by 2.","The effect of the stripe overrides the effect of the dot. Therefore if there is a stripe and a dot only the stripe will affect the length of the stick. Each stripe reduces the number of blocks in a stick by 1.","",2
"43",237,"61715a650f37cb10ac77144a","comp_const","odd and even matter","dots multiplied by number of sticks then take away number of red bars","none",11
"44",238,"5c470c2cab550c0001a73ae7","comp_mult","The number of spots correlates with how many times the segments increase in size. So 1 spot is the same (x1) 2 spots double the segments (or x2) and 3 spots triple the segments (or x3)","So the number of spots is the number you multiply the before segment by and the stripes are minus so the amount of segments you take off So 3 (before segments) x 2 (number of spots) - 1 (number of stripes) = 5","No",8
"45",239,"5a5a3f2276d1c60001ab2992","comp_mult_reverse","It seems to be the difference in the amount of eggs versus sticks that changes the amount of segments","Now I am starting to think that the placement of the eggs has an affect on the amount of segments","I found it very hard I dont feel like I got a good result. ",0
"46",240,"5ae59bec7edeb000014a828c","comp_mult","Greater than 2 dots has an effect on the length of the sticks.","stripes and dots matching result in the same amount being taken away. Stripes overrule dots so if more stripes are present then that amount if taken away. More dots on the egg and the number is added. ","There was definitely a pattern which I dont think is possible to determine in the amount of examples given. ",2
"47",241,"5f7760940b8f6227fccdf115","comp_mult_reverse","when dots outnumber the lines the sticks grow and vice-versa","if the number of dots is less than size of the stick nothing happens. if its equal or greater it grows by 2","no",2
"48",242,"5b258c9ba7cee100011d8aad","comp_mult_reverse","Three lines and one dot removes stick Two lines and two dots keeps the same One line and three balls increases by one","One keeps the sticks the same and each ball added from that point increases the stick","No.",2
"49",243,"5f7f16488b6839035da0f321","comp_mult_reverse","More stripes and less dots equal decrease in stick segments. Less stripes and more dots equal increase in segments. Equal dots and stripes equal no change in segments.","The number of dots is multiplied by number of segments and gives the change in segments (ie. 1x3=3 2x2=4 etc.)","NA",9
"50",244,"60214feec65df50cd6837a48","comp_mult","The magic eggs increase or decrease the number of sticks.","Eggs that touch the stick dont have an effect on the outcome.","No",2
"51",245,"5f156caeb6e2341953436437
","comp_mult","if there are less spots than the number of segments in the tick nothing happens if there are equal it doubles if there are more spots than stick segments it increases the stick length to have the same number of segments as the number of spots.","the number of spots is multiplied by the number of stick segments e.g. 1 spot x 3 segments = 3 segments 2 spots x 2 segments = 4 segments but each stripe removes a segment from the stick so 3 stripes = lose 3 segments from stick","no it was just tricky to try figure out the rules. ",9
"52",246,"5c92f797803bff0017fef8dd","comp_mult_reverse","Lines remove sticks balls add sticks and they cancel each other out if they are both the same value.","The amount of balls is the multiplication of the original stick","I dont have any comments.",9
"53",247,"5ec7a025ad0c7602cba22e59","comp_mult_reverse","the number of lines equates to the number of segments removed from the stick and a dot that is only touching one line will equate to the number of segments added but if a dot is touching two lines or fully on one then it will do nothing ","The number of lines equates to the number of stick segments removed the dots add segments to the stick unless there is only one dot then it does nothing. if there are two or more dots it adds two segments to the stick  ","no",2
"54",248,"5fe30a8c2fcdc9eeb52c7e02","comp_const","if the dot is on the top right corner (as in the first example and the third) it doesnt affect the stick length. if the dot is elsewhere the number of dots in the egg is added to the stick in length. ","the number of lines = how many blocks of the stick are removed. the dots do not matter when there are lines. ","i found it really hard to see a pattern in the task.",4
"55",249,"5bb0b7d56322c50001585223","comp_mult_reverse","MORE SPOTS ON THE EGG MAKES THE STICK LONGER","IT TAKES 2 OR MORE SPOTS FOR THE STICK TO GROW","NOTHING",2
"56",250,"5dadad7c7a347b001554b136","comp_const","The number of dots on the egg is the multiplier and will multiply the number of segements by itself for example one egg dot hitting three sticks is 1x3=3 ","The spots perform a multiplication as previously described then the stripes subtract their value from that total. For example 3 dots and 2 stripes hitting 3 sitcks would be 3x3=9-2=7. I cannot be 100 certain that the multiplication effect still happens or if it is overridden by the stripes as all the test examples only had a multiplication factor of 1 which makes the value stay the same and then the stripe effect happens.","Very fun and interesting experiment ",9
"57",251,"60142f86044b153d7de0423e","comp_mult","The number of spots in the upper half of the egg (the egg is split from left to right) are added","Still the same theory that upper half of the egg (split left to right) spots in the upper half that are not touching a line will increase the stick length","na",2
"58",252,"5a031341728b1b0001ad8bee","comp_const","it adds 2 sticks each time even if there are more than 2 eggs","it takes it away depending where the egg is placed","it was quite complicated to work out i am hopeful i got it but im not fully certain",0
"59",253,"5a7335bfefd3a700012128c9","comp_const","Two dots equal double. Three dots equal triple. Both lengthen the sticks","Each dot equals multiply each stripe equals minus","Good fun. Thank you ",9
"60",254,"61152db43835cb2dc638f96a","comp_const","1 dot no change 2 dots up by 2 3 dots up by 2","Lines in the egges make segments in the stick disappear ","No",1
"61",255,"5d3af155255c1f0001b750b0","comp_const","That the number of segments before the test is multiplied by the number of dots on the egg. ","I think the number of segments before are multiplied by the number of dots on the egg. I think the number of lines on the egg is then subtracted. ","none",11
"62",256,"6165467eb6321c819c2edb0a","comp_const","I think it is only capable of adding an additional 2 spaces onto the stick given there are 2 or more dots present on the egg. ","The number of lines on the egg will subtract that amount of spaces from the stick.","NA",2
"63",257,"5ecae73505a9076404b20862","comp_mult_reverse","If there is one dot all pieces are removed. If there are two dots they stay the same. If there are three dots there is one extra piece.","Multiplies the existing pieces by the number of dots.","No thanks",2
"64",258,"5d8a389701cba60001addee2","comp_mult","The more eggs the greater the impact on the length.","The eggs increase the length the sticks reduce the length","No",4
"65",259,"60685e076d4de15647070e2e","comp_const","Dots more than one add a length of two to the stick.","Dots more than one add two length. Lines take away 1 length per line.","No.",2
"66",260,"607ea4caa8927b9ec56da4dd","comp_mult","Its a multiplier e.g. 3 x 1 = 3 and 2 x 2 = 4","Not sure.","No.",3
"67",261,"609b8c4e595571189c40f9cc","comp_mult_reverse","If the egg has a line on the outside this removes the stick  If it has a spot on the line nothing will happen  If its a spot on the outline this increases the stick","The location of the spots changes how many segments are added or not","Its definitely made me think hard ",3
"68",262,"5981b3289bf4fe0001070aea","comp_const","If ther is more than one spot the length of the stick increases by 2","If there is more than one spot the sticks increase by 2 segments if there are stripes on an egg the sticks decrease by the number of stripes","I would be interested to know what the true relationship was",2
"69",263,"5c86ba493e93bf0001e15380","comp_mult_reverse","1 dot removes all lines  2 dots keeps the lines theh same 3 dots doubles the lines","1 dot the lines stay the same 2 dots doubles 3 dots triples","interesting and hard to figure out",4
"70",264,"5c43501db00b3300018f44ed","comp_const","An egg with more than 1 dot increases the stick by 2","The 1 dot doesnt make a difference but the red line decreases the stick by 1 2 red lines decreses the stick by 2 and 3 red lines decreases the stick by 3.","no",2
"71",265,"5a0ca905844c7a00015e4ffd","comp_mult_reverse","I think that the more stripes make the stick decrease in size and more spots make it increase","You multiply the dots by the sticks and the stick grows to that length","I would like to know the answers - it was very interesting.",3
"72",266,"5cd726aab1fa62001a8de584","comp_mult_reverse","the more dots the bigger the lines","dots show how big the lone is","no comments. ",2
"73",267,"5fed04158929f0f4faead134","comp_mult","the number of dots equals to number of sticks added ","one line takes away one stick ","na",2
"74",268,"5dea603cbc8f63179c5334ea","comp_const","Having a spot which touches the edge of the circleegg seems to matter for adding segments to the stick. The total number of spots does not necessarily correspond to the number of segments added. It might be that the number of spots touching the edge plus the number of spots in the centre of the egg is the number of added segments (it appears in the 3rd test that only one spot is touching the edge).","Having a spot touching the edge seems to matter for adding segments. The number of stripes on the egg seems to subtract that same number of segments regardless of whether a spot is touching a stripe.","None",3
"75",269,"60e82765bb9a177ed3c0f192","comp_mult_reverse","How many sticks","Multiplication of dots","I thought I had it but then no. Wasnt taking both the sticks and dots into account at the same time.",3
"76",270,"6011d2b8b124c219f57c707e","comp_mult","So the dots equal numbers and the segments are numbers and the circles dots are multiplies by the first about of segmentsnumbers which results in the lengthening or shortening. Basically multiply the amount of dots by the amount of segments.","The dots are multiplies by the amount of segments then minused by the amount of stripes","It was fun I wish I knew what the last answer was though.",13
"77",271,"5d39bb499f4f3f00158298f2","comp_mult_reverse","No idea","Number of segments multiplies by number of dots.","no",2
"78",272,"605c50fa0540bdc71d40f002","comp_mult","the magic eggs multiply","sticks arent important","it was quite difficult",4
"79",273,"602fa684fc65e0cb663c1970","comp_mult","The number of spots on the egg is the multiplier for the stick length. For example 1 spot changes nothing 2 spots doubles the length 3 spots triple the length etc.","The number of spots is a multiplier and the number of stripes is a subtractor. If l is the length of the stick p is  of spots and t is  of stripes the new length of the stick = lp-t","-",15
"80",274,"5ed12a5eec9433042524d6ee","comp_mult_reverse","Stumped. Doesnt matter if the dot is touching the line.","Multiply the green blocks by the number of dots to get the new number of blocks","My brain doesnt seem to be working today.",5
"81",275,"5fad0a601ab00734f83bf339","comp_mult_reverse","the  number of stripes relates to the the number of segments that will change. the number of dots controls if segments are added or removed depending on the number of dots reletive to the already existing segments so if theres more dots than segments at the start segments equal to the number of stripes will be added and if theres less than the existing segments you remove segments equal to the number of stripes. if equal there is no change.","i dont think theres an actual rule i think the segment assignments are random.","I think its quite engaging i couldnt figure out the relation ship at the end thats kind of annoying but i enjoyed the survey it was fun and challenging. I widh i was a bit longer to allow for more time to figure out the actual relation ship and also i wish i could change my answers after figuring it out. ",0
"82",276,"614b2ae5644dcd015db6fc7f","comp_mult","eggs with 2 or more spots increased the number of sticks - if the pattern is uniform i.e. the spots were in a straight line it produced more sticks","when the eggs have two or more dots the numbers of sticks changes otherwise it stays the same ","it was interesting ",0
"83",277,"6000546f918aa208e124b66a","comp_const","odd balls equal 3 lines and even 4 lines","balls the right of the line is 2 left of the lines are 1 and middle are 0","no",0
"84",278,"5f7f0b388155470262ade7f0","comp_mult_reverse","The bars in the egg match the number of segments. A dot near the lower bar will make all segments disappear. Dots in the middle of bars do nothing. When dots below the bars outnumber the dots above the bars then segments increase by the difference.","Dots in the top half do nothing dots in the lower half add same number of segments","Tough",1
"85",279,"60196a81bd21cd05b43d4e9a","comp_mult_reverse","they increase the velocity","there doesnt seem to be a connecting factor","the task was challenging that it set out to be a little misleading ",3
"86",280,"56fc1245f37e08000cbea351","comp_const","I have no idea.","The number of sticks reduces the length by the corresponding amount.","none",2
"87",281,"6055a820cdde5706e4456ed8","comp_mult_reverse","The spots adds number of segments on the stick while the stripes subtracts the number of segments. ","The dot determines the number of segments in the stick","NA",1
"88",282,"612930922d83e519cfa875d7","comp_mult_reverse","minimum two dots needed to have to sticks.","if more than one dot- then increases number of blocks","found this really difficult and im usually quite good at looking for patternslogical reasoning",6
"89",283,"5cea9b7c41b4310018eb1c3c","comp_const","The number of spots on the egg is multiplied by the number of segments in the stick. The result is the new length of the stick","The number of spots on the egg is multiplied by the number of segments in the stick. The new length of the stick is this minus the number of lines on the egg.","na",10
"90",284,"5f365f9597c1a96c30a587d0","comp_mult","one spot causes no change. two spots adds two segments but if the spot is touching the side of the egg it has no effect.","Only the lines have value.Where there are two lines connected by a dot the line disappears. A line only touched by a dot - the segments stay the same but when the dots are directly on top of a line regardless of how many dots are on it the segments are increased by one.","no",1
"91",285,"5ede96d4334831121745dcd6","comp_const","If there are more than one dot the stick gains 2 segments","The lines reduce the twig segments by 1 so I was completely wrong in my guesses earlier","Very fun ",1
"92",286,"60548613590cf5ac52d1a410","comp_mult","Odd amounts of eggs when touching the sticks increase to an odd number of sticks. Even no. of eggs increase to an even amount of sticks.","the number of sticks within the egg affect the number of blocks remaining.","no",0
"93",287,"61157a054da6132f55aba8fb","comp_mult","the number of dots on the eggs is how much the number of blocks change by","The number of blocks must be the same as the number of stripes in the magic egg","very brain stimulating task. ",2
"94",288,"609fb5c2b9d8060b484ec028","comp_mult","The relationship is x*y where X is the number of eggs and y is the number of segments initially there. Test 1= 1x3=3 Test 2= 2x2=4 Test 3 3x1=3","(x*y)-z where z must not be less than 1. x= dots y = segments z= lines. ","Enjoyed it a lot.",10
"95",289,"61758303480ae0a50fb357aa","comp_mult","With a  single dot the sticks stay the same.  With 2 dots the sticks double With 3 dots the sticks treble","If a dot is on a line then it takes away one stick from the previous equation","Still not sure what happens when the eggs are clear as there is no test to experiment with these.",4
"96",290,"5f8e05ca90bf7f1be9e2b40d","comp_const","The first egg neither decrease nor increase the size of the stick. The second egg adds 2 segments to the sticks if the segments are even and the third egg adds 2 segments if the segments are odd. ","If there is a red line it means that the magic egg decreases the lenght of the stick by the amount of how many red lines are in the magic egg.","I dont have any comments.",3
"97",291,"5e0520a49a993ff78e54fdc9","comp_mult","2 dots equals two lengths added on.","I have no idea.","None ",2
"98",292,"5e2db30547a18739fc13a2d1","comp_mult_reverse","stripes mean number of segments and dots mean longer or shorter segments","the dots equal the number of segments","none",1
"99",293,"5f6ee1e71b1cd7433ce58864","comp_mult_reverse","Stripes are responsible for addingremoving segments of sticks depending on where the dot is on the stripe. If the dot is at the centre of a stripe it has no effect. If the dot is at the positive end of a stripe it adds a segment to a stick. If a dot is at the negative end of a stripe it removes a segment. Stripes with no spots at all on them also remove a segment of the stick.  In example 1 there are three stripes which remove segments of the stick. One dot is in the centre of a stripe so it has no effect on the stripe.  In example 2 there are two stripes with dots on different ends. The dots on either end of the stripes cancel each other out and there are no segments added or removed.  In example 3 two of the dots dont touch the stripe so they have no effect. One dot touches the stripe at the positive end so the stick gains a segment.","Dots at the bottom of an egg have no effect on a stick as in example 1.  Dots near the top of an egg add segments as in example 2 so the stick gains two segments.  Dots in the middle have no effect as in example 3 sot the stick gains two segments.","Difficult experiment.",3
"100",294,"6122a2ff7ab38e8c3f7e1588","comp_mult","The number of sticks is multiplied by the number of dots when attached","The length of the green is multipled by the number of dots and then minus the number of red sticks","it was interesting and harder than i was expecting it to be. ",8
"101",295,"603e1fe6849f5c63a9997cf5","comp_const","The number of spots present in the eggs determines the number length of the sticks which in this case is determined by multiplying number of spots in magic egg by number of sticks present before","As before the number of dots present in a magic egg is multiplied by the number of sticks however now if theres a stripe present the number of sticks is subtracted by each stripe present","none",10
"102",296,"5aeaaa279bebfc0001cd6656","comp_mult","At least two dots will increase the stick length by 2 and less than 2 dots will do nothing.","The number of stripes indicates the number of lengths the stick will change by and the number of dots indicates whether it will increase or decrease during the change. 1 = minus 2 = no change 3 = addition","Nil I do not have any comments regarding the experiment",2
"103",297,"615aa08d1a0ab4eb57d08af2","comp_mult_reverse","The lines and spots differ on each egg the number of spots indicates the number of squares disappear.","More than one dot adds 2 squares","No comments",2
"104",298,"5da59a5264995200110bef1a","comp_mult_reverse","if an egg touches a stick it doubles (doesnt matter how many eggs). if an egg is in the middle of the stick it triples. ","if the egg is touching the rim nothing happens. if they are floating it makes the number of blocks multiply by the number of floating eggs. ","challenging",0
"105",299,"5d5d6252654cb0001b1e4fc2","comp_mult_reverse","The ratio of spots to stripes on the egg determines whether the stick length will change and the number of stripes determines how many sections the length of the stick will change by. If there are more spots than stripes the stick length with increase by the number of stripes. If there are less spots than stripes the stick length will decrease by the number of stripes on the egg. If the number of spots and stripes are equal the stick length will no change.","Each stripe decreases the length of the stick by 1. For every 2 spots the stick length increases by 2; so an odd number of spots will only increase the stick length by how many complete pairs of spots there are. For example 3 spots = 2 increase in length 5 spots = 4 increase in length but 4 spots would also increase by 4.","No",2
"106",300,"5a55c8d276d1c60001aadcb0","comp_mult_reverse","They stay the same regardless of how many sticks there are","One egg is added each time","none",2
"107",301,"5fa5818b4a7c41076f4a9941","comp_const","The more dots the eggs have the longer the sticks become.","The stripes on the magic eggs make the sticks shorter","no",0
"108",302,"60ff3e5e7fe55695d0a48d7f","comp_const","1 spot adds no length. 2 spots at the top of the egg adds 2 lengths to the sticks. a spot at the bottom of the egg has no effect.","Each red stick in the egg takes away a segment","The spots really confused me the red bars were much more straightforward",3
"109",303,"58f240e692ac81000154f827","comp_mult","If the dot is in the middle and singular it does nothing if there are two dots in the middle it doubles the number and a dot at the top and bottom are extra","The lines get rid of the sticks and the position of the spots indicating how many sticks should be","It was fun trying to work out the relationship between them.",1
"110",304,"6046333099c3d0090e4b6893","comp_mult_reverse","if the egg is touching the circle there will be two sticks","for every egg that is close to the circle one stick is added","no",4
"111",305,"55b770e3fdf99b0416ce53da","comp_mult","An egg with 1 dot doesnt change anything about the stick. An egg with 2 dots either adds 2 segments or doubles the number of segments. An egg with 3 dots adds 2 segments. ","An egg with 1 dot does nothing unless there are stripes too in which case you would subtract the number of stripes.  An egg with 2 dots would double the length but subtract the number of stripes so with 2 stripes it would minus 2 segments. An egg with 3 dots and a number of stripes you would add the number of stripes?","I dont think I did very well!",4
"112",306,"60ea069194b8ca39ec77938d","comp_const","1 dot wont change length but after 1 dot 2 parts will be added to every stick no matter what the amount of dots are","The stick will decrease in length equal to the amount of stripes on the egg as long as there is 1 dot also on the egg","None",4
