ix,condition,a_input,a_coded,a_rule,b_input,b_coded,b_rule
425,sub,The amount of dots on the eggs indicate how many sticks will be removedshrink.,subtract,subtraction,Even number of sticks on the eggs will multiple by 2 odd numbers will show 3 sticks only.,complex,mix
426,mult,the bigger amount of lines in the eggs make the line longer,complex,increase,the line decreases depending on the amount of spots,complex,decrease
427,mult,The number of stripes on the magic eggs corresponds to a multiplier. If there is one stripe the number of sticks is multiplied by one. If there are two stripes the number of sticks is multiplied by two and if there are three stripes the number of sticks is multiplied by three.,mult,mult,Here while the stripes on the eggs continue to have the same multiplier effect as previously (i.e one stripe multiplies the number of sticks by one two stripes multiplies the number of sticks by two and three multiplies the number of sticks by three) the number of dots has a subtraction effect: one dot will subtract one segment of the length two dots will subtract two segments etc.) So both elements of the eggs will have an effect on the number or length of segments if the egg touches the sticks.,comp,comp
428,sub,If one spot touches the stick then 2 segments are lost if 2 spots touch the stick then all 3 segments are lost.,complex,subtraction,One full length stick = 3 segments if another full length stick is added then this adds an extra segment.  If there are different length sticks then these gain one segment per stick.,complex,mix
429,sub,The number of spots decreased the same length of the sticks equally. One spot equaled one less stick length two spots equaled two less stick lengths. However the sticks in the eggs had no effect on the length of the stick.,subtract,subtraction,The two or three sticks inside the magic eggs added two blocks.,add_2,add_2
430,sub,The number of segments in the stick is reduced by the number of spots on the egg.,subtract,subtraction,The number of segments in the block are multiplied bythe number of stripes on the egg,mult,mult
431,sub,The dots seem to be the key here. The amount of dots determines how much the sticks reduce,subtract,subtraction,The amount of sticks present determines how much the sticks will increase,complex,increase
432,sub,Each egg takes away one square,subtract,subtraction,The sticks increase the number of blocks by 2,add_2,add_2
433,sub,The magic eggs cause the length of the stick to decrease. One egg reduces one segment of the stick. ,subtract,subtraction,A magic egg with one linestick will cause the blocks to stay the same. A magic egg with 2 or more linessticks (e.g. 2 sticks 3 sticks etc) will add two more blocks to the length.,add_2,add_2
434,sub,I think that the number of dots in the egg determines how many segments the stick is reduced by it appears that it doesnt matter how many lines there are or where the dots are located on the line,subtract,subtraction,I think the dots reduce the stick segments and the lines increase the stick segments,complex,mix
435,mult,Depending on the number of sticks the boxes either increase or remain the same.,complex,mix,The number of blocks appear at random. It is not necessarily dependent on the number of eggs.,complex,random
495,mult,The number of sticks in the egg cause the original number of segments to multiple by this number eg. 3 sticks in the egg x 1 segment = 3 segments,mult,mult,The stick in the egg multiples the segment by its value and the dots in the egg remove one segment,gt,model
437,sub,The number of circles around the stick determines how many squares go away ,subtract,subtraction,You multiply the number of stripes in the magic egg by the number of squares and you subtract I think after Im not sure but my guess is based on the order of operations by the number of circles in the egg ,gt,alt
438,sub,The number of dots tells us how many segments will be removed. So one dot removes one segment and 3 dots remove 3 segments. ,subtract,subtraction,The segments are multiplied by the number of stripes on the eggs when there are no dots on them.  So if there is one stripe on an egg and 2 segments there will be 2 segments as 2 x 1 = 2 and if there is 1 segment but 3 stripes on the egg then the stripes will change to being 3 stripes as 1 x 3 = 3. ,mult,comp
499,mult,each egg multiplies the stick segments by the amount of lines on it. for example on number 3 the egg had 3 lines and the stick was one segment. 3 times the one segment resulted in a stick with 3 segments.,mult,mult,The lines on the egg multiply the amount of stick segments then the dots in the egg are subtracted from that number. for example on number 6 the 3 stick segments are multiplied by one (one red line) which equals 3 the 3 (3 dots) are subtracted which equals zero.,gt,model
440,sub,The spots on the eggs correspond to the number of segments of the stick that will disappear if the egg touches the stick.,subtract,subtraction,The stripes on the eggs add segments up to a maximum of three,complex,increase
503,mult,Number of stripes x number of segments. e.g. 2x2=4 3x1=3 and so on.,mult,mult,Same as before but the spots reduce one unity from the segments. So (n stripes x n segments) - n spots.,gt,model
442,sub,Regardless of the number of stripes on the magic egg each dot on the magic egg (regardless of location on the magic egg) will reduce the length of the stick by one segment. ,subtract,subtraction,The number of stripes on the magic egg now appears to be a multiplier; ie if there are 2 stripes the number of segments in the stick multiplies by a factor of 2. For 3 stripes the number of segments in the stick multiplies by a factor of 3. ,mult,mult
443,sub,The slanting line means that they deduct from the length of the stick and each spot denotes a deduction of 1 block,subtract,subtraction,The stick length is multiplied by the number of lines in the egg,mult,mult
444,sub,All three eggs had the same number of stripes so there is no information to compare there. However the number of stick segments reduced by the number of dots that the magic egg had so perhaps it is directly proportional to dot number.,subtract,subtraction,This time the number of stick segments was multiplied by the number of stripes in the egg. This is also consistent with the first round of testing. Perhaps the formula is stick segments x stripes - spots.,gt,alt
445,mult,The number of stripes determines the length to which the stick increases in size,uncertain,increase,The number of stripes will determine the extent to which the size of the stick increases in length compared to its original size while the number of spots decreases its length by single amounts,complex,mix
446,mult,If magic egg has 1 stripe inside it nothing changes (multiplies by one). If magic egg has 2 stripes it doubles the amount of sticks (multiples by two). If magic egg has 3 stripes it triples the sticks (multiplies by three),mult,mult,stripes multiples spots subtracts (first I predicted that they divide - I was wrong),comp,comp
447,sub,I think that the amount of dots on the egg determine how many stick blocks are lost when they are combined. I think stripes may also play a part but have not seen any evidence thus far,subtract,subtraction,Each dot on an egg will remove one block. Before this second set of tests I was quite certain that each stripe adds 3 blocks but now I am utterly confused!,uncertain,uncertain
448,sub,The number of dots determine the number of segements the stick is reduced by and the line on the egg seems to have no effect.,subtract,subtraction,The number of lines on the egg determines the factor by which the stick segment is multipled to determine the length.,mult,mult
384,mult,Each line indicates what to multiply the number of segments by. Three lines x one segment = 3 segments.,mult,mult,The number of lines indicates how many times to multiply the original number of segments; the black dots indicate when to subtract one (FOLLOWS PEMDAS so the multiplication is done first as per the rules of the stripes then the subtraction based on the dots comes second),gt,model
450,sub,The amount of dots affect how short the length of the stick is.  One dot removes a segment another dot removes another and a third dot removes another.  As we see here 3 dots removes all three segments.,subtract,subtraction,Every stick beyond one will always add two segments.  So one stick will never add any length.  But 2+ sticks will always add two segments every time.,add_2,add_2
451,sub,The number of dots indicate how many segments disappear.,subtract,subtraction,The lines multiply the segments and the dots subtract the segments.,gt,comp
387,mult,if the egg has one stripe in it and touches the sticks the sticks are multiplied by the amount of lines in egg.  ,mult,mult,When the egg with spots touches the sticks the sticks are multiplied by the amount of stripes in the egg but then subtracted by the amount of spots. ,gt,model
453,sub,They seem to be changing into a face shape.,uncertain,uncertain,The more the strips the more the blocks will be used.,complex,increase
454,sub,The dots on the magic eggs determine how many blocks will fall over once the magic egg strikes the blocks.,subtract,subtraction,The number of lines on the magic egg determines how many times the blocks will be multiplied by,mult,mult
455,sub,The number of dots on the eggs corresponds with the number of segments lost on the stick.  For the time being the number of stripes has been constant at 1 and does not appear to have an effect.,subtract,subtraction,OK the dots are the number of segments subtracted from the sticks and the stripes are the segment multiplier ... but which way around?! - multiply first using stripes and then subtract the number of dots.,gt,alt
456,sub,the number of spots on the egg take away the same number of sections on the stick,subtract,subtraction,the stripes on the egg multiply the stick sections,mult,mult
457,sub,if there is a egg in the blank space then it looses the lines,subtract,decrease,This one is not easy to figure out as there are no dots in them. test 4 gives 3 blocks there it is as if it is counting the open spaces and the line but in Test 5 it is different. ,complex,uncertain
458,sub,Stick and dot = 2; dot right of stick minus one dots above adds one with total of 3 maximum,complex,position,1 is 3 2 is 2 3 is 1,complex,description
459,mult,When the egg touches the stick the number of lines on the egg indicates by what amount the stick multiplies. Ex. If an egg has two lines it will multiply the segments on the stick by 2.,mult,mult,I think the same properties apply to the stripes in this case but now the black spots subtract from the stick segments.,gt,comp
460,mult,The number of stripes in a magic egg determines the number of sticks at the end.,uncertain,uncertain,For each spot in the magic egg you subtract one stick.,subtract,subtraction
412,mult,The number of stripes equals how many times the stick segments are multiplied. Two stripes = x 2 3 stripes = x 3 etc.,mult,mult,The number of stripes equals how much the stick segments will be multiplied by. The number of spots equal how many stick segments are subtracted. (Stripes x Segments) - spots = number of segments.,gt,model
462,mult,1 stripe on a magic egg has no effect on the segments of the sticks but when the egg has more than on stripe i.e 2 or 3 stripes it increases the sticks by 2 segments ,add_2,add_2,1 stripe has no effect on the sticks while one dot removes one segment 2 dots remove 2 segments and 3 dots remove 3 segments ,subtract,subtraction
463,mult,1-1 seemingly had no effect. 2-2 added 2 possibly doubling the size of the stick 3-1 added 2,add_2,add_2,Each black dot seems to decrease the size by one. The stick seemingly had no effect. Or has a value of 1 but is set to negative by the dots.,subtract,subtraction
464,sub,Number of dots define the lenght of the stick.,uncertain,uncertain,It is effecting like a binary digit system. Odd numbers adds 1 from the 3 even numbers are doubled the stick length.,complex,parity
465,sub,I think each dot on an egg will decrease the stick length by 1 segment. Stripes may or may not do something but there is not enough to learn from here.,subtract,subtraction,I believe the stripes on the eggs will multiply the stick segments and then the dots reduce the segments.,gt,alt
466,sub,The more features the eggs has i.e.mor spots and stripes the higher the effect the eggs have on the length (number of segments) of the stick they touch. The properties that matter are the spots and stripes on the eggs and the properties that do not matter is the speed at which the eggs travel. ,uncertain,uncertain,The stripes have more importance than the spots. The more stripes are visible the more the blocks are added. What matters the most is the contents of the eggs and not the speed of the egg. ,complex,increase
467,mult,An egg with one stick on it does nothing. An egg with two sticks on it will doube the length. An egg with three sticks on it will add 2 to the length.,complex,mix,Eggs with a single stick on them do nothing. Eggs with two ticks on them double thw length. Eggs with three sticks add two. Eggs with one stick and one ball subtract one. Eggs with one sticks and two ball subtract two. Eggs with one stick and three ball subtract 3.,complex,description
468,mult,The number of stripes on the eggs indicate by how much you should multiply the segments of the sticks.,mult,mult,The stripes on the eggs indicate by how much you should multiply the segments of the sticks and the dots indicate by how much you should subtract from the eggs.,comp,comp
469,mult,Starting with one stripe you have three boxes  remains the same after. Starting with two stripes  two boxes you end up with two added boxes. Starting with three stripes  one box you end up with three boxes which is equal to stripes.,complex,description,The more eggs added on the stripes the less boxes in the end.,complex,decrease
470,sub,one stripe on the egg indicates a decrease in the length of the stick the number of dots on the egg indicates the number of segments to be removed from the stick.,subtract,subtraction,stripes on the egg indicate an increase in segments on the stick. if the number of segments on the stick is greater than the number of stripes on the egg nothing happens. if the number of stripes on the egg is greater than the number of segments on the stick segments are added so the total number of segments match the number of stripes. if the number of segments and number of stripes match the number of segments on the stick is doubled.,complex,increase
471,sub,The black dots inside the magic eggs take away one segment from the stick the orange line is not an important property at this point.,subtract,subtraction,Inside a magic egg are beams that are effective and ineffective one beam does not affect the stick more than one beam increases the length of the stick. The dots decrease the length of the stick depending on their number.,complex,mix
472,sub,The number of stripes is reduced by the number of dots that the magic egg contains.,subtract,subtraction,The number of squares is multiplied by the number of lines and then the number of dots is subtracted.,gt,alt
473,sub,The number of spots a magic egg has determines how many columns of the stick are removed. (1 spot removes 1 column 2 spots removes 2 columns 3 spots removes 3 columns.) ,subtract,subtraction,The number of red lines on the magic egg determines the number that the columns will be multiplied by. (1 red line columns multiplied by 1; 2 red lines columns multiplied by 2; 3 red lines columns multiplied by 3.),mult,mult
474,sub,Each egg knocks out a block. So 2 eggs will knock out 2 blocks and so on.,subtract,subtraction,1 stick doesnt effect the number of blocks. 2 sticks adds 2 blocks and 3 sticks creates a total of 3 blocks.,complex,add_2
475,mult,The lines on the eggs determine how the sticks will increase in size.  Two lines means it will double three lines mean it will triple.,mult,mult,Each circle decreases the egg by one segment.,subtract,subtraction
476,sub,The the amount of dot and and stripes,uncertain,uncertain,depending on the amount of stripes it will either stay the same or increase,uncertain,increase
477,mult,If an egg contains a single stripe the blocks in the stick remain the same. If the egg has double stripes the blocks in the stick double. when there are three stripes on the egg the number of blocks triples.,mult,mult,The dots decrease the number of blocks in a stick depending on its position.,complex,position
478,sub,If the dot is fully on the line you double it if the bottom right segment has a dot not touching anything you count it.  if neither no sticks,complex,position,no idea now cant seem to see the linkage,uncertain,uncertain
479,sub,each dot gets rid of an extra length - so 1 dot removes one lengthsegment - 2 dots on a magic egg gets rid of 2 lengthssegments and so on ,subtract,subtraction,One stripe is neutral and if there is more than one stripe it adds 2 additional segments regardless of how many stripes there are. Each dot removes 1 segment.,add_2,add_2
449,mult,The magic egg multiplies the sticks length by a factor corresponding to the number of lines in the egg.  The 1st egg has 1 line the stick has 3 segments so a multiplication factor of 1 therefore no change to stick length.  The 2nd egg has 2 lines the stick has 2 segments so a multiplication factor of 2 therefore stick length increases to 4 segments.  The 3rd egg has 3 lines the stick has 1 segment therefore a multiplication factor of 3 and stick length increases to 3 segments.,mult,mult,So where the stripes were a multiplication factor in the 1st test each of the dots in the egg reduces the stick length by 1 segment.  Test 1 a single stripe and a single dot. The stripe represents a multiplication factor of 1 so no change but the dot represents the removal of 1 segment from the stick.  Test 2 same for the stripe but 2 dots therefore 2 segments removed.  Test 3 again same for the stripe but 3 dots so all 3 segments of the stick are removed,gt,model
481,mult,If there are more than two stripes on the egg when egg touches the stick it makes it longer by two parts.,add_2,add_2,If there are 2 stripes on the egg or more the length of the stick is increased by 2 parts but if there is a dot that touches the stripe then the length of the stick is decreased by number of all dots on the egg,complex,position
482,sub,the more spots the longer in length the stick is ,complex,uncertain,the magic eggs need spots to make longer length sticks.,uncertain,increase
483,sub,Each spot reduces the length of the stick by 1 part.,subtract,subtraction,The number of sticks multiplies the by number of stripes,mult,mult
484,mult,More than two strips on the eggs affect the length of the stick. If there is more than one stripe an extra two is added to the length of the stick.,add_2,add_2,For every dot there is a segment of the stick taken away. ,subtract,subtraction
485,mult,Multiply the number of stripes by the number of squares in the before state to get to the after state,mult,mult,Number of squares at the start minus the number of dots at the start,subtract,subtraction
486,mult,Eggs with two or three lines seem to add two additional stick segments.,add_2,add_2,The black dots remove stick segments while only one line does not add any segments.,complex,subtraction
487,sub,(The number of dots that touch stripes) and (the number of loose floating dots) are maybe 2 calculators? Where the amount of floating dots marks an amount to be removed as well as the amount touching the stripe marking an amount to be removed?,complex,position,The stripes indicate the multiplier of the amount of sticks there were before,mult,comp
488,sub,When there is one line on the egg (like in this test) the amount of dots on the egg determines how many segments of the stick are lost (so how much it is shortened),complex,subtraction,The stick segments (length) are multiplied by the amount of lines on the egg. This seems to be the case as long as no dots are present,mult,mult
489,sub,The number of dots on each egg determines how many segments the sticks decrease by. For example one dot decreases by one segment two dots decreases by two segments and three dots decreases the stick by three segments,subtract,subtraction,If there is one stripe then the number of segments remains the same. If there are two stripes then the length of the stick is doubled. If there are three stripes then the length is tripled on the stick.,mult,mult
490,sub,I think the number of spots in the egg is related to the number of segments removed from the sticks.  An egg with 1 spot removes 1 segment of stickan egg with 2 spots removes 2 segments of the stick etc.  I cant see that the stripe has an effect at the moment. ,subtract,subtraction,It appears as I said above that the number spots in the egg directly corresponds to the number of segments removed from the stick.  However it now appears that the number of stripes present in the egg provides a multiplication factor so if there is 1 stripe the number of segments is multiplied by 1 (hence no change in the first set of magic eggs shown before my first prediction) but 2 stripes multiplies the number of segments by 2 as shown in test 5 and 3 stripes multiplies the number of segments by 3 as shown in test 6.,alt,comp
491,mult,The more lines inside the egg seem to increase length,complex,increase,each dot decreases the length by 1,subtract,subtraction
492,sub,its the number of sticks minus (-) the number of dots in the magic egg. So if the number of sticks is 3 and the number of dots in the magic egg is 2 the remaining segments of the stick will be = 3-2 = 1 segment.,subtract,subtraction,Its the number of segments in the stick multiplied by the number of stripes in the magic egg minus the number of dots in the magic egg. So if : stripes = 3 dots = 2 stick segments = 1  it will be 1 x 3 - 2 = 1 segment.  ,gt,alt
494,mult,long lines (eg. on test 1 and in the centre of test 3) do nothing to the sticks. short lines (eg. on test 2 and on the outer edges of test 3) add +1 to the stick - so for test 2 and test 3 which both have 2 short lines 2 sections were added to the sticks,complex,add_2,I still think that short lines add +1 to the sticks. Now I think that each dot removes a section regardless of where it is placed within the egg,subtract,subtraction
452,mult,Maybe the length of the stick becomes the number of segments it was originally multiplied by the number of stripes on the egg?,mult,mult,The number of dots on the egg should be subtracted from the length of the stick. So the length = (number of initial segments x number of stripes) - number of dots,gt,model
496,mult,The number of stripes on the egg is a multiplier.,mult,mult,The number of spots indicates a subtraction.,subtract,subtraction
497,mult,Number of lines increases power beyond having just one,complex,increase,Spots are minuses to the effect,subtract,subtraction
498,mult,1 stripe equals no change or zero 2 stripes adds 2 to the length and 3 stripes brings the total length to 3,complex,add_2,This time the dot will reduce the length by 1 overriding the stripe. 1 dot equals minus 1 of the length 2 dots minus 2 of the length and so on,subtract,subtraction
436,mult,The segments are multiplied by the amount of stripes on the egg to give the end result (e.g 1*3=3 2*2=4 3*1=3),mult,mult,The segments are multiplied by the stripes then the amount of dots are subtracted.,gt,model
500,mult,The number of stripes change the length of the stick - one stripe does not change the length whereas 2 and 3 stripes both make the stick 2 segments longer.,add_2,add_2,2 or 3 stripes on the eggs make the sticks 2 segments longer whilst 1 stripe on the egg keeps the stick the same length.  Spots on the egg cause the stick to become shorter by the same number of segments as there are spots.,complex,add_2
501,mult,egg with one line has no effect. egg with two lines will double stick length. egg with three lines will triple the stick length.,mult,mult,eggs with lines multiply the stick length by the number of lines in the egg. eggs with lines and dots multiply the stick length by the number of lines and then remove a stick length per dot according to the number of dots in the egg.,gt,model
502,mult,The egg with two stripes doubles the length of the stick. The egg with three stripes equates to the same length of the stick. The first egg has no bearing on the stick length.,complex,description,Depending on the number of dots in the egg the sticks are reduced respectively ie the egg with one dot reduces the stick by one segment. The egg with two dots reduces the stick by two segments and the third removes the stick altogether. The dots are the main property that matter.,subtract,subtraction
439,mult,I think that having more than one stripe results in the egg increasing the length (number of segments) on the stick. One stripe has no effect but 2 or 3 stripes increases the segment by 2. ,add_2,add_2,The number of stripes on the eggs are the number by which the number of segments on the stick must be multiplied example if there are 2 stripes multiply the number of segments by 2. Then you subtract the number of the dots on the eggs from the segment length.  The stripes generally increase the length of the sticks whereas the dots decrease the length. ,gt,model
