nat,condition,a_input,a_coded,a_rule,b_input,b_coded,b_rule
612,sub,The number of lines inside each egg dictates the number of sticks that will DECREASE the number of lines also dictates how the sticks will INCREASE and the position of the dot I am not quite sure about yet but it may be an affirmative that the early things will happen depending on its position.,complex,mix,The number of dots inside each egg equals the x factor - ie one dot will say same 2 dots will double sticks and 3 will triple sticks,mult,mult
544,sub,A dot in the egg makes the squares decrease,complex,decrease,the dot makes the squares multiply,mult,mult
580,sub,my best guess is that one black dot and one red line on a magic egg   will lead to a decrease in the length of the segment by one block  and that one black dot and two red lines on the magic egg   will lead to a decrease in the length of the segment by two blocks  and that one black dot and three red lines on a magic egg  will lead to a decrease in the length of the segment by three blocks.,complex,description,one black ball on an egg will lead to the segment being multiplied by 1 2 black ballsdots on a egg will lead to the segment being doubled multiplied by two3 black ballsdots on a egg will lead to the segment being tripled or multiplied by 3,mult,mult
565,sub,the stripes match the amount of sticks that disappear when hit,subtract,subtraction,the eggs make the sticks multiply by the amount of eggs inside circle,mult,mult
568,sub,The amount of red lines determines how many segments of the stick disappear. ,subtract,subtraction,I believe that the number of dots is multiplied by the number of segments. ,mult,mult
599,sub,The amount of stripes on the egg with one dot indicates how much shorter the stick will become. E.g. Egg with 1 stripe and 1 dot decreases the length of the stick by one notch. Egg with 2 stripes and 1 dot decreases the length of the stick by 2 notches. Egg with 3 stripes and 1 dot decreases the stick by 3 notches.,subtract,subtraction,The dots on the eggs indicates the multiplication of the growth.,mult,mult
513,sub,The stick loses one segment for every line within the egg. I cant tell anything about the dots just now as the number of dots remained constant across all three test conditions,subtract,subtraction,The stick loses one segment for every line in the egg but gains2 segments if the number of dots is greater than 1,add_2,relative
530,sub,At this point I think it relates to the number of red stripes on the egg. Each stripe removed one segment of stick.,subtract,subtraction,Stripes remove pieces of stick depending on how many stripes are present. Dots add segments of stick as long as there is more than 1 dot.,complex,mix
543,sub,The number of sticks is the same as the number of segments removed,subtract,subtraction,The dots add segments based on a rounded down even number. i.e. the 1 dot rounds down to 0 while the 3 rounds down to 2 and 2 stays at 2,complex,parity
549,sub,the number of sticks determines the segments,uncertain,uncertain,dots x segments,mult,mult
567,sub,The number of lines inside the egg determine how many segments are removed.,subtract,subtraction,one spot changes nothing 2 or more spots adds two segments.,add_2,add_2
586,sub,The number of stripes on the magic eggs determines how much the stick will be reduced. The stick lengths do not increase at all and the spots on the eggs do not have any effect on the stick lengths.,subtract,subtraction,When there is only one spot on the magic egg the length of the stick doesnt change but when the egg has two or three spots the stick length changes (it increases by 2). ,add_2,add_2
590,sub,For each stripe that is on the egg the length of the block decreases by one.,subtract,subtraction,When there is an even number the amount of blocks are added however if there is an odd number you add the amount of block of the even number beforehand.,complex,parity
609,sub,I think each line within the egg removes a segment of the stick,subtract,subtraction,The dot in the egg is multiplied by the number of segments in the stick,mult,mult
614,sub,I think one dot means the number of segments decrease and the number of lines show by how many. i.e. 2 lines means the stick decreases by 2 segments. ,subtract,subtraction,The number of segments of stick that exist are multiplied by the spots on the egg. So in the first example 1 is multiplied by 3therefore the stick will have three segments after being touched. In the second example 2 is multiplied by 2 making 4 segments of the stick after being touched. ,mult,mult
615,sub,The number of bars on the magical egg decrease the stick length each bare decrease the length by 1,subtract,subtraction,Each pair of dots increase the length by 2 but it only works by pair so if we add a dot nothing happen until we add another one,complex,add_2
616,sub,the amount of lines on the egg takes away the same amount of lines on the sticks  for example one line magic egg takes away one square off the line  ,subtract,subtraction,1 spot on the egg does not do anything  two dots on the egg adds two blocks  3 dots on the egg adds two blocks ,add_2,add_2
531,sub,Depending on the number of sticks within the circle this amount will be knocked off from the blocks. For example if there is 3 sticks within the circle and 3 blocks all blocks will be removed. ,subtract,subtraction,I am not sure.,uncertain,uncertain
573,sub,The magic egg remove the number of segments as its number of stripes.,subtract,subtraction,If the magic egg has more than one dot it add two in regardless of the number and if is number is one there is no effect.,add_2,add_2
610,sub,Egg with one stripe reduces the three module stick size by one module egg with two stripes reduces the three module stick size by two modules egg with three sticks reduces the three module stick size by three modules.,subtract,decrease,Eggs with one dot have no effect eggs with two dots double the  modules eggs with three dots triple the modules.,mult,mult
514,sub,Currently my best guess is that the stick decreases in size based on how many stripes the egg has (ie one stripe means it decreases by one). However we cant be sure of what the spots do even as they seem not to matter as they do not change in the three tests.,uncertain,uncertain,The stick decreases by number of stripes and is multiplied by number of spots. I would need to see changing amounts of spots AND stripes to be sure of how these worked together.,comp,uncertain
516,mult,When touching the sides of the circle they dont add anything but if in the centre of the circle they add a block. For every block in the centre a new block will be added.,complex,position,The number of lines gets taken away from the blocks.,subtract,subtraction
533,mult,1 spot has no change in the stick however 2 and 3 spots add 2 segments to the stick more than one spot adds 2 to the stick?,add_2,add_2,one spot no affect more than one adds 2 segments. The sticks take away their corresponding number so 2 sticks removes 2 segments.,subtract,subtraction
566,sub,The number of lines in the egg determines how many segments are reduced in the stick.  There was one line and the stick reduced by 1 segment with two lines the stick reduced by 2 segments and when there were three lines the stick reduced by 3 segments.  ,subtract,subtraction,there are no lines in the eggs so logic suggests that the stick is influenced by the dots.  In the first egg with one dot the stick size remained the same with the second the stick increased by 2 and  there were two dots.  In the final egg the stick increased by 2 and there were three dots.  The position of the dots may be significant and in the second and third eggs each has a dot touching the edge of the egg which suggest that this is what causes the stick to increase by 2 segments.  ,complex,position
629,mult,They increase the length of the sticks by the number of dots in the egg,complex,increase,Each line removes one segment in the stick.,subtract,subtraction
512,mult,The number and placement of dots on the egg matters as they dictate what happens to the sticks. Different eggs can have the same impact on the sticks - eg. two different pattern eggs (examples 2  3)  both caused the stick to grow by two boxes. Some eggs do not change the sticks at all (example 1). ,add_2,add_2,The orange stripes will shorten the length of the sticks in proportion to the number of stripes. eg. 3 Stripes will shorten a stick by 3 boxes. ,subtract,subtraction
515,sub,the number of stripes on the egg represent the number of blocks taken away from the stick. the number of dots do not matter,subtract,subtraction,the number of stripes on the egg represents how many blocks get taken away. 1 dot does not affect the block but more than one dot adds two blocks to the stick,complex,relative
517,mult,1 has no power 2 doubled the stick in length 3 increased the stick ,complex,increase,1 line minus 1 block of the stick 2 lines minuses 2 blocks of the stick 3 lines minuses 3 blocks of the stick,subtract,subtraction
521,mult,The number of dots affect the sticks - in this case more than one dot will make the sticks longer by 2.,add_2,add_2,The number of red lines indicate the number by which the sticks will get shorter.,subtract,subtraction
548,mult,i think one dot in the egg keeps the stick the same length  i think 2 eggs adds two and i think 3 dots increases or decreases the stick to 3,complex,description,that the black dot does nothing and you take away the amount of lines from the stick you have,subtract,subtraction
585,sub,The sticks inside the eggs matters the most. For each stick inside the egg it costs the stripes 1 stripe,subtract,subtraction,The magic egg can only perform magic when the length of stripes is 2 or less than 2,complex,relative
600,mult,I think its the position of the dots and also a mathematical sum,complex,increase,Ok so the dots add and the lines minus,complex,decrease
605,mult,If the number of spots on the egg is smaller than the number of segments the stick stays the same length. If the number of spots is the same as the number of segments it doubles the stick length.  If the number of spots is more than the segments then the stick grows to the same number of segments as there are spots.  This happens when the egg moves next to the stick,complex,relative,The number of stripes on the egg reduces the number of segments in the stick by how many stripes there are on the egg if the number of spots is less than the segment length.,complex,subtraction
606,sub,number of stripes etermines shortening of length,uncertain,subtraction, spot adds 1 23 spots add 2,add_2,add_2
622,mult,2 dots + on the magic eggs increase stick length by 2,add_2,add_2,for each stripe in the magic egg the stick loses a segment,subtract,subtraction
536,mult,the eggs dots add on the same amount of stripes,complex,increase,more stripes on an egg take away that amount from the other stripes,complex,subtraction
560,sub,The stripes on the eggs correspond to how many segments disappear on the stick,subtract,subtraction,I would of guessed that the dots equate to how many segments are added onto the stick but not all of them follow this theory,uncertain,uncertain
572,mult,black dots not touching the sides of the egg determine how many rectangles will be added.,complex,position,plus the number of black balls in the square not touching sides minus red sticks,complex,subtraction
576,mult,I am sorry but I really dont have a guess for these. I cant see any pattern whatsoever at the moment. Ive looked over them a number of times.,uncertain,NA,These are all minus blocks depending on the number of stripes! The dots seem to be irrelevant ,uncertain,subtraction
577,sub,each ball is (*-1) and each stick describes number (1 stick 1 block),subtract,subtraction,Id need to think about this a while longer.  One ball could be a negative while higher numbers of balls add more balls but in tiers (e.g. 2 balls or three balls is +2) Or perhaps the positions of the balls (touching the sticks or not touching sticks) affects the cumulative effect.,complex,mix
583,sub,The number of stripes on the egg relate to how many segments are removed. However its only activated if there is a dot,complex,subtraction,1 dot does nothing but every subsequent dot adds a segment,complex,increase
518,mult,The sticks increase in segments when the magic egg touches it. The more dots the magic eggs have the more the segments increase.,complex,increase,The segments decrease down to the number of sticks are inside the egg,subtract,subtraction
520,sub,0 three lines,uncertain,NA,the dots alone dont matter its the lines,uncertain,NA
524,mult,I think if the amount of eggs is less than the number of sticks then nothing happens. If the number of eggs is equal to or greater than it adds two to the stick. ,complex,relative,One stick inside the circle = one bar gone from the stick. ,subtract,subtraction
594,sub,The lines on the egg correspond to how many segments will be removed from the sticks. E.g one line through the egg means 1 segment will be taken away,subtract,subtraction,One dot no change Two dots the segments double  3 dots is one more segment,complex,description
630,mult,An odd number of dots causes the length of the sticks to be odd and an even number of dots causes the length of the sticks to be even. ,complex,parity,An equal increase in the number of stripes leads to an equal decrease of the stickss length.,subtract,subtraction
527,mult,even number of spots increase the stick length,complex,parity,deduct blocks by number of stripes,subtract,subtraction
528,sub,The amount of lines reduces the length of the stick as long as one of the lines has a spot on it.,complex,relative,If there are magic eggs with a line on and one spot then it will reduce the sticks by the amount of lines. If there are magic eggs with no lines and more than one spot then it will increase the sticks by two. ,complex,relative
550,mult,Any number after 1 add 2 squares ,add_2,add_2,Boxes are removed for the amount of strips there are ,subtract,subtraction
554,mult,The number of spots on the egg increases the length of the stick (e.g. example 1 there was only 1 spot so it did not change egg 2 had 2 spots which added 2 segments and egg 3 had 3 spots and added 3 segments) ,complex,add_2,The number of stripes on the egg remove the corresponding number of segments from the stick.,subtract,subtraction
555,sub,the strips  on the egg determine how many segments of the stick is redued when the egg touches the stick,complex,subtraction,the dots in the egg are like an addition they add to the segments of the stick when they touch ,complex,increase
579,sub,The more orange stripes there are the shorter the length of the stick (inverse relationship between stripes and segments of stick). The number of spots dont seem to matter in this case as there are only one spot in the three instances.,complex,decrease,With a spot there is a minimum of 3 segments in the stick. As such the spots add segments to the stick while the orange stripe decreases the segments in the stick. Eg. 1 spot would have 3 segments in the stick and 1 spot with 2 stripe would have 1 segment (3 - 2) in the stick.,complex,mix
618,sub,The more stripes it has it makes the length of the stick shorter.,complex,decrease,Some dots increase the length of the stick while others stay the same length. ,complex,mix
619,mult,the first with one spot does not change anything the other 2 add 2 lengths extra to each stick,add_2,add_2,the amount of lines on the egg are how many lengths the stick reduces by,subtract,subtraction
571,mult,The additional segments do not seem to be correlated with the number of spots on the eggs,uncertain,NA,One stripe equals minus one. Dots are not relevant.,subtract,subtraction
578,sub,One segment is knocked off for each stick that the egg contains.,subtract,subtraction,Now Im not at all confident. One dot did not add or subtract any segments two or three dots added two. So I would guess that two segments get added if there are more than one dot.,uncertain,relative
620,mult,if the eggs have an even number of spots they can make the sticks longer by 2 units; if they contain an odd number they lengthen by 0 0r 1 unit only,complex,parity,The lines on the eggs corresponds to the number of units the sticks decrease in length by,subtract,subtraction
523,sub,The magic eggs decrease the length of the stick,complex,decrease,When theres one magic egg the blocks dont increase nor decrease when theres 2 magic eggs the the blocks increase by 2 and when theres 3 the blocks decrease by 2,complex,add_2
591,sub,the more stripes in the egg the more the stick decreases,complex,decrease,the stick increases with more than one ball inside,complex,increase
592,sub,There is always four objects so the top one has one strip one dot on the egg and the two stick segments making four objects. Same with the other two cases. ,uncertain,description,The amount of strips on an egg determines how many stick segments get removed. One dot on an egg has not effect on the number of stick segments but 2 dots on an egg will add another 2 stick segments.,add_2,add_2
625,mult,I think the egg had to have more than one dot to grow but dont know why one with 2 dots grew to 4 and the one with 3 dots grew to 3,uncertain,uncertain,The stripes take away the number of sticks that there are stripes,subtract,subtraction
570,mult,My best guess is that the more spots are in the magic eggs the more chances there are of them changing the length of the sticks. The first one only had one and the stick remained the same length. The second and third ones had more in them resulting in an extension to the length of the stick.,complex,increase,With these sets of magic eggs from what I picked up is that when they have the orange sticks in them they kind of deduct from the length of the outside blocks. So if there are no blocks and no spots in the eggs the blocks remain the same. The more orange sticks there are the less the blocks become according to the number of the orange sticks.,complex,decrease
582,mult,An even number will increase the length of the stripes.,complex,parity,The dots predict the length of the sticks but the stripes reduce that number.,complex,decrease
601,sub,when the egg has one stripe and dot it only removes one stick and if it has 2 stripes and a  dot it removes 2 sticks and if it has 3 and a dot it removes all 3 sticks,subtract,description,it matters according to how the dots are placed when placed in the middle is doesnt affect the sticks when placed on the side that hits the  sticks it increases the sticks like number 5,complex,position
608,mult,The magic eggs that have more than one spot on them add two segments of sticks to the already existing ones. However their lenth remains the same. When the magic egg has only 1 spot it has no effect on the sticks but as soon as there is more than 1 spot on the egg then two sticks are added to the segment increasing their length.,add_2,relative,When the magic egg has a single spot no sticks are added to the segment. And once there is more than one two sticks are added. When the egg has both spot and a stripes the number of stripes that are shown on the egg are then subtracted from the segment of sticks. So anytime there was a single spot it has no effect on the segment at all. However stripes on the egg indicate the number of sticks that must be subtracted from the segment.,complex,relative
611,mult,the length of the sticks will increase,complex,increase,More eggs are closer to the lines. The lines will be longer.,complex,position
623,mult,When there is an even number of spots the eggs double when they touch the sticks.,complex,parity,i still think it depends how many eggs there are but my last theory is wrong.  i still think it might have something to do with odd or even numbers of eggs.,complex,parit
535,sub,The number of stripes indicates how much they will change the stick by. The position of the dot determines whether the egg will shorten or lengthen the stick,complex,position,Dots make the sticks longer Stripes make the sticks shorter,complex,mix
539,mult,a group of two dots adds two segments to the stick odd dots left out do nothing.,add_2,add_2,Each stripe removes a segment from the stick while groups of two dots add two segments to the stick.,add_2,add_2
551,mult,2,uncertain,NA,less sticks more blocks,complex,decrease
589,mult,Two dots create two extra sticks. Three dots create one extra stick,complex,description,The similarities are when theyre is lines in the magic eggs they remove a stick. When there is just the magic egg they add sticks.,complex,relative
595,mult,The more amount of eggs the length of stick increases. For example 3 eggs equals three blocks of stick.,complex,increase,Stripes in the eggs decreases the size of the stick.,complex,decrease
607,mult,the more dots on the egg the higher the probability the stick will increase in length,complex,increase,stripes take away length spots add them. stipes have more wieght on the result than sticks ,complex,decrease
519,sub,If the spot is touching the side of a line it decreases the number of segments by one. If the dot is in the middle of a line it will decrease the amount of segments by the number of lines in the egg.,complex,position,dots increase segments whereas stripes decrease segments,complex,mix
545,sub,my best guess who be the amount of sticks that are in place,uncertain,uncertain,i think the amount of eggs in the ball determines the amount of blocks ,uncertain,uncertain
546,mult,Higher up the spots are the more they increase the size of the stick,complex,increase,Under the line takes one away. above the line takes two away. Middle line takes away three.,complex,position
558,sub,more lines less green boxes,complex,decrease,the number of black dots effects the green blocks,uncertain,uncertain
563,mult,The stick may grow dependant upon how many dots are in the circle. Also depends if one of the circles in the dot makes contact with the stick if it does it seems to grow if it doesnt then no growth.,complex,relative,The amount of lines in the egg once it makes contact with the stick is how many blocks the stick decreases by.,complex,position
574,sub,I think it is just random whether sticks elongate or not therefore it doesnt matter how many spots or stripes there are. These are magic eggs after all,uncertain,uncertain,it has nothing to do with the spots or stripes there is no logical pattern to the magic,uncertain,uncertain
624,mult,the egg doubles depending on the number and how many eggs,complex,double,the more lines the more the boxes get removed,complex,decrease
575,sub,Almost all these sticks decrease when tested,complex,decrease,The properties that matter the most is the changing of sticks. Most sticks increased in the study.,uncertain,increase
588,sub,I feel the sticks and eggs are both important. As long as the eggs are within the inside of the red sticks it will decrease the green blocks by however many red sticks are present within the circle. For example 1 egg and 1 red stick decreases the green blocks by 1. 2 sticks and 1 circle within the sticks decreases it by two etc. ,complex,relative,If there is 1 egg touching the right side there is no movement or change in blocks. So If there is 1 egg that is touching the right side but 2 not touching and floating anywhere else then the blocks will increase by 2 eggs + the original amount of blocks that were there in the beginning.,complex,position
613,sub,Stick numbers seem to match the segment number.  At the moment it doesnt seem that the spots in the eggs affect the number of segments or the stick length.,complex,uncertain,Now I am entirely unsure about the casual relationship between the two. There doesnt seem to be any logic that is immediately jumping out at me with regards to the numbers spots and the number of segments after the egg has moved. I am currently struggling to figure out the relationship.  My previous observation was based on the number of sticks and then the number of segments. So without any sticks whatsoever and different numbers of dots I am officially confused.,uncertain,uncertain
632,mult,I think the magic eggs would change the length of the stick when it touch the stick. ,uncertain,uncertain,When the magic eggs touch the stick it changes the number of the stick.,uncertain,uncertain
537,mult,The length of the stick is determined by the number of spots on the egg.,complex,nominal,The more lines there are on the egg the shorter the stick gets ,complex,decrease
529,mult,the more the eggs the more the stripes,complex,increase,the number of stripes does not affect the stripes,uncertain,NA
631,mult,even number of circles in the eggs doubles the planks,complex,parity,if the dot is higher up in the egg then more planks,complex,relative
