ix,condition,a_input,a_code,a_rule,b_input,b_code,b_rule
205,comp_mult,The number of stick segments are multiplied by the number of dots on the egg. eg in the first 1 dot x 3 = 3 segments 2 dots x 2 = 4 segments and finally 3 dots x 1 = 3 segments,mult,mult,First the segments are multiplied by the number of dots then the number of stripes are subtracted. Eg 3 segments x 1 = 3 the subtract 3 stripes = 0.,gt,ground_truth
288,comp_mult,The relationship is x*y where X is the number of eggs and y is the number of segments initially there. Test 1= 1x3=3 Test 2= 2x2=4 Test 3 3x1=3,mult,mult,(x*y)-z where z must not be less than 1. x= dots y = segments z= lines. ,gt,ground_truth
221,comp_const,final length of the stick is the number of dots on the egg multiplied by the number of sections in the original stick,mult,mult,The number of blocks in the stick is multiplied by the number of dots on the egg then the total number of stripes is taken away from that to give the final length.,gt,ground_truth
226,comp_const,The number of stick segments is multiplied by the number of spots on the egg.,mult,mult,The number of stick segments is multiplied by the number of spots on the egg. Then a segment is deducted for each stripe on the egg.,gt,ground_truth
329,comp_mult,The number of dots on the egg multiply the number of sticks,mult,mult,The dots multiply the sticks and then the number of lines are subtract the sticks,gt,ground_truth
283,comp_const,The number of spots on the egg is multiplied by the number of segments in the stick. The result is the new length of the stick,mult,mult,The number of spots on the egg is multiplied by the number of segments in the stick. The new length of the stick is this minus the number of lines on the egg.,gt,ground_truth
295,comp_const,The number of spots present in the eggs determines the number length of the sticks which in this case is determined by multiplying number of spots in magic egg by number of sticks present before,mult,mult,As before the number of dots present in a magic egg is multiplied by the number of sticks however now if theres a stripe present the number of sticks is subtracted by each stripe present,gt,ground_truth
325,comp_const,the spots in the eggs are the number of times the stick lengthens by 2 spots doubles the length of the stick 3 spots triples the length of the stick ,mult,mult,the spots are the number of times the stick increases by 2 spots = times stick length by 2 3 spots = times stick length by 3 the lines mean you have to subtract one from the answer 1 line = minus 1 from length of stick after multiplication and so on,gt,ground_truth
317,comp_mult,the stick length growing is dependent on the number of spots.  if there is one spot the stick length stays the same.  if there are 2 spots the stick doubles if there are 3 spots the stick triples etc.,mult,mult,spots increase the length of the stick and stripes decrease the length of the block.    The spots multipy the length of stick by the number of spots and the stripes decrease the number of blocks by the number of stripes,gt,ground_truth
250,comp_const,The number of dots on the egg is the multiplier and will multiply the number of segements by itself for example one egg dot hitting three sticks is 1x3=3 ,mult,mult,The spots perform a multiplication as previously described then the stripes subtract their value from that total. For example 3 dots and 2 stripes hitting 3 sitcks would be 3x3=9-2=7. I cannot be 100 certain that the multiplication effect still happens or if it is overridden by the stripes as all the test examples only had a multiplication factor of 1 which makes the value stay the same and then the stripe effect happens.,comp,ground_truth
253,comp_const,Two dots equal double. Three dots equal triple. Both lengthen the sticks,mult,mult,Each dot equals multiply each stripe equals minus,comp,ground_truth
322,comp_const,DOTs X by sticks= sticks,mult,mult,Dots multiply by sticks stripes subtract,comp,ground_truth
238,comp_mult,The number of spots correlates with how many times the segments increase in size. So 1 spot is the same (x1) 2 spots double the segments (or x2) and 3 spots triple the segments (or x3),mult,mult,So the number of spots is the number you multiply the before segment by and the stripes are minus so the amount of segments you take off So 3 (before segments) x 2 (number of spots) - 1 (number of stripes) = 5,gt,ground_truth
294,comp_mult,The number of sticks is multiplied by the number of dots when attached,mult,mult,The length of the green is multipled by the number of dots and then minus the number of red sticks,gt,ground_truth
234,comp_const,The amount of dots increases the length to the number of dots multiplied by the original length,mult,mult,The egg changes the length by multiplying the original length by the number of dots and then subtracting the number of lines.,gt,ground_truth
340,comp_mult,The Dots decide the stick length in multiple of the original. so 1 dot stays the same 2 dots double the length 3 dots triple the length etc ,mult,mult,The dots still work in multiples but the sticks seem to take away in singles,gt,ground_truth
328,comp_const,the segments are multiplied by the number of dots,mult,mult,multiplied by the number of dots and minus the number of stripes,gt,ground_truth
334,comp_const,Number of eggs x number of sticks will give you the increase in length. ,mult,mult,The number of eggs x the number of stick segments then minus the number of stripes,gt,ground_truth
321,comp_const,I would guess that the stick length is multiplied by the amount of dots on the egg.,mult,mult,dots arent relavent the lines indicate how many stick lengths are removed.,subtract,subtraction
237,comp_const,odd and even matter,complex,parity,dots multiplied by number of sticks then take away number of red bars,gt,ground_truth
319,comp_const,the 2 spots double the length of the stick and the 3 spots triple the length of the stick one spot makes no difference to the length,mult,mult,each stripe takes away a segment,subtract,subtraction
348,comp_mult,the number of dots on the magic eggs affects how the length of the sticks will increase. a property in the sticks that matters is the number of segments before the stick touches the magic egg.,complex,increase,(dot x sticks) - line = n,gt,ground_truth
212,comp_const,The amount of dots the egg has multiples the number of segments the stick has. So 2 dots multiples the segments by 2,mult,mult,The dots on the egg do nothing. however each line removes one segment from the stick. So 2 lines will remove 2 segments 4 lines would remove 4.,subtract,subtraction
245,comp_mult,if there are less spots than the number of segments in the tick nothing happens if there are equal it doubles if there are more spots than stick segments it increases the stick length to have the same number of segments as the number of spots.,complex,relative,the number of spots is multiplied by the number of stick segments e.g. 1 spot x 3 segments = 3 segments 2 spots x 2 segments = 4 segments but each stripe removes a segment from the stick so 3 stripes = lose 3 segments from stick,gt,ground_truth
213,comp_mult_reverse,If there are more lines than dots the line segments all go away. If the number of lines is the same as the number of dots the number of line segments stays the same. If there are more dots than lines the number of line segments is reduced by one. But its obviously underspecified. There could be several explanations.,complex,relative,Multiply by number of dots; subtract number of lines. But its still underspecified. There could be multiple explanations; this is just a more obvious one.,gt,ground_truth
236,comp_const,The number of dots multplies the number of blocks in the stick. Eg 2 dots caused the number of the blocks in the stick to be multiplied by 2.,mult,mult,The effect of the stripe overrides the effect of the dot. Therefore if there is a stripe and a dot only the stripe will affect the length of the stick. Each stripe reduces the number of blocks in a stick by 1.,subtract,subtraction
320,comp_const,The spot in the middle affects the stick by increasing its length.,complex,position,The length of the stick decreases by how many lines there are.,subtract,subtraction
324,comp_const,1 dot no change 2 dots  adds 2 square or doubles the original number 3 dots adds 2 square ,add_2,nominal,The dots mean nothing the number of lines is the number of blocks to remove,subtract,subtraction
326,comp_const,The amount of dots on the eggs change how many new lines appear. 1 dot doesnt change anything.  2 dots doubles the lines  3 dots adds 2 line ,complex,mult,The lines on the magic eggs subtract from the blocks. 1 line on the magic egg takes away 1 block 2 lines takes away two blocks 3 lines takes away 3 blocks,subtract,subtraction
218,comp_mult,The number of spots on the egg determines how much the stick will multiply by. 1 spot = x1 2 spots= x2 3 spots= x3,mult,mult,I have absolutely no idea baffled,uncertain,not_sure
209,comp_mult,Number of dots matter. 1 dot.....x1 ie length stays the same 2 dots...x2 ie length doubles 3 dots...x3 ie length triples,mult,mult,Depends where dots are in relation to stripes,complex,position
243,comp_mult_reverse,More stripes and less dots equal decrease in stick segments. Less stripes and more dots equal increase in segments. Equal dots and stripes equal no change in segments.,complex,relative,The number of dots is multiplied by number of segments and gives the change in segments (ie. 1x3=3 2x2=4 etc.),mult,mult
246,comp_mult_reverse,Lines remove sticks balls add sticks and they cancel each other out if they are both the same value.,complex,relative,The amount of balls is the multiplication of the original stick,mult,mult
272,comp_mult,the magic eggs multiply,mult,mult,sticks arent important,uncertain,not_sure
260,comp_mult,Its a multiplier e.g. 3 x 1 = 3 and 2 x 2 = 4,mult,mult,Not sure.,uncertain,not_sure
198,comp_mult_reverse,If there are more stripes than dots the stick is reduced in length. If there are equal stripes and dots then the stick stays the same. If there are more dots than stripes the stick increases in length. ,complex,relative,The magic egg multiplies the number of segments by the number of dots on the egg. ,mult,mult
247,comp_mult_reverse,the number of lines equates to the number of segments removed from the stick and a dot that is only touching one line will equate to the number of segments added but if a dot is touching two lines or fully on one then it will do nothing ,complex,position,The number of lines equates to the number of stick segments removed the dots add segments to the stick unless there is only one dot then it does nothing. if there are two or more dots it adds two segments to the stick  ,add_2,add_2
206,comp_const,If it has one dot it has no effect.  If it had two dots the number of sticks doubled.  If it had 3 dots the number of sticks increased by 2.  At no point did he stick length increase with 1-3 dots in the eggs.,complex,description,The number of stripes tells you how many sticks will be removed.  one stripe removed one stick 2 stripes removed 2 sticks and 3 stripes removed 3 sticks.,subtract,subtraction
274,comp_mult_reverse,Stumped. Doesnt matter if the dot is touching the line.,uncertain,not_sure,Multiply the green blocks by the number of dots to get the new number of blocks,mult,mult
342,comp_mult_reverse,The lines take away length and the spots counteract this in some way,complex,mix,The length increases by multiplying the number of dots by the blocks already there,mult,mult
344,comp_mult_reverse,One circle means to subtract sticks two circles mean that the value of six remains the same and three circles means that sticks are added. The lines indicate the quantity affected.,complex,nominal,When there are no lines multiply the number of dots by the amount stick segments to get the quantity,mult,mult
201,comp_mult_reverse,I dont see a correlation,uncertain,not_sure,the number of dots is multiplied by the number of segments in the stick,mult,mult
263,comp_mult_reverse,1 dot removes all lines  2 dots keeps the lines theh same 3 dots doubles the lines,complex,nominal,1 dot the lines stay the same 2 dots doubles 3 dots triples,mult,mult
323,comp_mult_reverse,In the first test the segments of the stick disappeared completely after touching the egg. The egg has 3 stripes and one dot. In the second test the egg touching the stick had no effect on the number of segments on the stick. The egg has an equal number of stripes and spots. In the third test the egg caused the stick to grow by one segment. The egg in this test has three dots and one stripe. My guess is that stripes on an egg equate to the number of segments it will take away from the stick or that the stripes reduce the number of segments on the stick while dots on the egg cause the stick to grow more segments (although there doesnt seem to be a correlation between the number of dots and number of segments added to the stick).,complex,mix,In the first set of tests the stripes seemed to indicate that the number of stripes equated to the number of segments the stick would reduce by if it touched the egg however in the second test there were only dots on the egg which increased the number of segments on the stick. I think stripes decrease segments and dots increase segments.,complex,mix
248,comp_const,if the dot is on the top right corner (as in the first example and the third) it doesnt affect the stick length. if the dot is elsewhere the number of dots in the egg is added to the stick in length. ,complex,position,the number of lines = how many blocks of the stick are removed. the dots do not matter when there are lines. ,complex,subtraction
306,comp_const,1 dot wont change length but after 1 dot 2 parts will be added to every stick no matter what the amount of dots are,add_2,add_2,The stick will decrease in length equal to the amount of stripes on the egg as long as there is 1 dot also on the egg,complex,subtraction
265,comp_mult_reverse,I think that the more stripes make the stick decrease in size and more spots make it increase,complex,relative,You multiply the dots by the sticks and the stick grows to that length,mult,mult
220,comp_mult_reverse,The number of lines and placement of the spot within the eggs determine what happens to the sticks,complex,position,the spots in the egg determine the number of times you should multiply the stick so one dot means one stick because 1x1=1,mult,mult
269,comp_mult_reverse,How many sticks,uncertain,not_sure,Multiplication of dots,mult,mult
203,comp_const,Im not sure but perhaps odd numbers result in 3 segments whereas even numbers either double or result in 4 segments,complex,parity,the number of lines decreases the length of the stick by one segment per line,subtract,subtraction
290,comp_const,The first egg neither decrease nor increase the size of the stick. The second egg adds 2 segments to the sticks if the segments are even and the third egg adds 2 segments if the segments are odd. ,complex,add_2,If there is a red line it means that the magic egg decreases the lenght of the stick by the amount of how many red lines are in the magic egg.,complex,subtraction
302,comp_const,1 spot adds no length. 2 spots at the top of the egg adds 2 lengths to the sticks. a spot at the bottom of the egg has no effect.,complex,position,Each red stick in the egg takes away a segment,subtract,subtraction
299,comp_mult_reverse,The ratio of spots to stripes on the egg determines whether the stick length will change and the number of stripes determines how many sections the length of the stick will change by. If there are more spots than stripes the stick length with increase by the number of stripes. If there are less spots than stripes the stick length will decrease by the number of stripes on the egg. If the number of spots and stripes are equal the stick length will no change.,complex,relative,Each stripe decreases the length of the stick by 1. For every 2 spots the stick length increases by 2; so an odd number of spots will only increase the stick length by how many complete pairs of spots there are. For example 3 spots = 2 increase in length 5 spots = 4 increase in length but 4 spots would also increase by 4.,complex,mix
257,comp_mult_reverse,If there is one dot all pieces are removed. If there are two dots they stay the same. If there are three dots there is one extra piece.,complex,nominal,Multiplies the existing pieces by the number of dots.,mult,mult
271,comp_mult_reverse,No idea,uncertain,not_sure,Number of segments multiplies by number of dots.,mult,mult
232,comp_const,One dot has no effect but 2+ dots increases the length of the stick by 2 segments,add_2,add_2,The stripes act as a subtractor. The number of segments decreases by the number of stripes (1 stripe = 1 segment lost 2 stripes = 2 segments lost etc.).,subtract,subtraction
256,comp_const,I think it is only capable of adding an additional 2 spaces onto the stick given there are 2 or more dots present on the egg. ,add_2,add_2,The number of lines on the egg will subtract that amount of spaces from the stick.,subtract,subtraction
264,comp_const,An egg with more than 1 dot increases the stick by 2,add_2,add_2,The 1 dot doesnt make a difference but the red line decreases the stick by 1 2 red lines decreses the stick by 2 and 3 red lines decreases the stick by 3.,subtract,subtraction
280,comp_const,I have no idea.,uncertain,not_sure,The number of sticks reduces the length by the corresponding amount.,subtract,subtraction
318,comp_const,The number of spots on the egg determines how the length of the stick changes,uncertain,not_sure,The stripes take away the length of the sticks,subtract,subtraction
339,comp_const,A dot to the south west adds 2 lengths to the stick. Spots in the centre or to the north east do not have any effect.,complex,position,A block is removed for each stick.,subtract,subtraction
356,comp_const,1=3 2=4 3=3,complex,description,the number of stripes equals the number of sticks that are reduced.  I am still very unsure about the spots ,uncertain,subtraction
285,comp_const,If there are more than one dot the stick gains 2 segments,add_2,add_2,The lines reduce the twig segments by 1 so I was completely wrong in my guesses earlier,subtract,subtraction
358,comp_const,For every 1.5 eggs the stick grows.,uncertain,not_sure,If the egg touches the sticks then the number of sticks shown takes the bars away.,subtract,subtraction
282,comp_mult_reverse,minimum two dots needed to have to sticks.,complex,add_2,if more than one dot- then increases number of blocks,complex,increase
223,comp_mult_reverse,When there are more dots the length of the lines increase. When dots are equal to lines the boxes do not change,complex,relative,The amount of dots in the egg determine how the boxes change. It doesnt matter how many dots but as long as they are more than 1 the length changes,complex,mix
315,comp_mult_reverse,the spots laying on the lines determines the number of blocks,complex,position,the direction of the dots matters and the number does not. the closer the dots the length increases,complex,position
307,comp_mult_reverse,When there are more dots than lines the length will increase. If they have the same there is no effect. If there are more lines than dots it will decrease,complex,relative,every two dots makes the length increase by 1,complex,increase
233,comp_mult_reverse,If a egg is not touching a stick it gains a bar,complex,position,each extra egg get a now block but not counting the first one ,complex,increase
304,comp_mult_reverse,if the egg is touching the circle there will be two sticks,complex,position,for every egg that is close to the circle one stick is added,complex,position
312,comp_mult_reverse,one stick on the egg adds one segment ,complex,increase,dots add or take away the segment ,uncertain,mix
327,comp_mult_reverse,the stripes are add 1 and the dots are take away,complex,mix,im not sure,uncertain,not_sure
200,comp_const,at least two dots in the egg to increase stick length by two segments maximum increase in stick length is two segments with dots in the egg only. one dot in the egg has no impact on the stick. ,add_2,add_2,at least two dots in the egg increase stick length by two. for each line in the egg the stick length is reduced by one. this is combined with the number of dots in the egg e.g. if the stick length is 3 the egg has two dots and two lines in it afterwards the stick length will be 3. ,add_2,add_2
258,comp_mult,The more eggs the greater the impact on the length.,complex,increase,The eggs increase the length the sticks reduce the length,complex,mix
289,comp_mult,With a  single dot the sticks stay the same.  With 2 dots the sticks double With 3 dots the sticks treble,mult,mult,If a dot is on a line then it takes away one stick from the previous equation,complex,subtraction
305,comp_mult,An egg with 1 dot doesnt change anything about the stick. An egg with 2 dots either adds 2 segments or doubles the number of segments. An egg with 3 dots adds 2 segments. ,add_2,nominal,An egg with 1 dot does nothing unless there are stripes too in which case you would subtract the number of stripes.  An egg with 2 dots would double the length but subtract the number of stripes so with 2 stripes it would minus 2 segments. An egg with 3 dots and a number of stripes you would add the number of stripes?,complex,nominal
231,comp_mult_reverse,I think the number of spots determine whether or not to increase the length of not. if there are more spots than bars then it increases if its the same than it stays the same if there are less spots than bars it all the bars disappear.,complex,relative,I think the number of eggs still determine whether or not the bars increase but I think the bars only decrease somehow if there are bars on the screen,complex,relative
331,comp_mult_reverse,if more stripes than circles - lose all sticks if same number - sticks stay same if more circles than stripes - sticks increase,complex,relative,number of spots minus number of stripes then multiply by sticks,complex,mix
199,comp_mult_reverse,1 dot vanish by amount of stripes 3 dots grow by amount of stripes. 2 dots stay the same?(not sure),complex,nominal,if stripes present:  1 dot- vanish by amount of stripes 2 dots stay same 3 dots- add number of stripes 4 dots not sure  if only dots- multiple number of dots equals stick length.,complex,nominal
219,comp_mult_reverse,the amount of egg and sticks show that another block will be added ,complex,increase,it seems it only doubles even amounts off eggs while an odd number of eggs is multiplied by one ,complex,parity
261,comp_mult_reverse,If the egg has a line on the outside this removes the stick  If it has a spot on the line nothing will happen  If its a spot on the outline this increases the stick,complex,position,The location of the spots changes how many segments are added or not,complex,position
279,comp_mult_reverse,they increase the velocity,uncertain,increase,there doesnt seem to be a connecting factor,uncertain,not_sure
268,comp_const,Having a spot which touches the edge of the circleegg seems to matter for adding segments to the stick. The total number of spots does not necessarily correspond to the number of segments added. It might be that the number of spots touching the edge plus the number of spots in the centre of the egg is the number of added segments (it appears in the 3rd test that only one spot is touching the edge).,complex,position,Having a spot touching the edge seems to matter for adding segments. The number of stripes on the egg seems to subtract that same number of segments regardless of whether a spot is touching a stripe.,complex,position
228,comp_mult,If the number of dots is even or more than the number of sticks +2 are added ,add_2,parity,If the dots in the egg are even or more than the sticks then +2 is added. The number of stripes in the egg you subtract from the number of sticks (after adding for the dots),complex,parity
293,comp_mult_reverse,Stripes are responsible for addingremoving segments of sticks depending on where the dot is on the stripe. If the dot is at the centre of a stripe it has no effect. If the dot is at the positive end of a stripe it adds a segment to a stick. If a dot is at the negative end of a stripe it removes a segment. Stripes with no spots at all on them also remove a segment of the stick.  In example 1 there are three stripes which remove segments of the stick. One dot is in the centre of a stripe so it has no effect on the stripe.  In example 2 there are two stripes with dots on different ends. The dots on either end of the stripes cancel each other out and there are no segments added or removed.  In example 3 two of the dots dont touch the stripe so they have no effect. One dot touches the stripe at the positive end so the stick gains a segment.,complex,position,Dots at the bottom of an egg have no effect on a stick as in example 1.  Dots near the top of an egg add segments as in example 2 so the stick gains two segments.  Dots in the middle have no effect as in example 3 sot the stick gains two segments.,complex,position
313,comp_const,if one dot on egg  then no effect. If 2 dots on egg then add 2 segments to stick. If 3 dots on egg then make stick 3 segments long,complex,description,Stripes take away the same number of segments as stripes whilst dots add add 2 segments if the number of dots is greater than 2 and have no effect  if 1 dot,complex,mix
346,comp_mult_reverse,The positioning of the spots matters and the combination of the sripes and spots in each test,complex,position,If the spots are below no amount of sticks are added and if the spots are above the exact number of spots above the circle are added to the sticks,complex,position
343,comp_mult,I think the more spots in the egg make the sticks bigger,complex,increase,it doesnt matter how many stripes or spots there is it doesnt effect on whether it grows or stays the same,uncertain,not_sure
347,comp_mult,So far it seems: if the number of dots on the magic egg is equal or greater than the length of the stick it will add 2 to the length.,add_2,add_2,If the number of dots on the magic egg is equal or greater than the length of the stick 2 blocks are added to the stick. Each red line on the magic egg always removes one block from the stick.,add_2,add_2
202,comp_const,more eggs more chance of exteding stipes. no effect on first one,complex,increase,the lines appear to decrease the blocks where the eggs seemed to increase,complex,mix
259,comp_const,Dots more than one add a length of two to the stick.,add_2,add_2,Dots more than one add two length. Lines take away 1 length per line.,add_2,add_2
262,comp_const,If ther is more than one spot the length of the stick increases by 2,add_2,add_2,If there is more than one spot the sticks increase by 2 segments if there are stripes on an egg the sticks decrease by the number of stripes,add)2,add_2
225,comp_mult,More dots mean longer sticks,complex,increase,Lines shorten sticks,complex,decrease
311,comp_const,Having more than one ball in the egg will make the sticks increase by 2,add_2,add_2,Having the ball in the middle of the magic egg will remove two from the sticks,complex,position
240,comp_mult,Greater than 2 dots has an effect on the length of the sticks.,complex,relative,stripes and dots matching result in the same amount being taken away. Stripes overrule dots so if more stripes are present then that amount if taken away. More dots on the egg and the number is added. ,complex,relative
244,comp_mult,The magic eggs increase or decrease the number of sticks.,complex,mix,Eggs that touch the stick dont have an effect on the outcome.,complex,not_sure
351,comp_const,spots on left side add right side takeaway,complex,position,if lines are present takeaway that amount. if dot touches side also take away. if dot in middle add on,complex,position
251,comp_mult,The number of spots in the upper half of the egg (the egg is split from left to right) are added,complex,position,Still the same theory that upper half of the egg (split left to right) spots in the upper half that are not touching a line will increase the stick length,complex,position
267,comp_mult,the number of dots equals to number of sticks added ,complex,increase,one line takes away one stick ,subtract,subtraction
287,comp_mult,the number of dots on the eggs is how much the number of blocks change by,complex,nominal,The number of blocks must be the same as the number of stripes in the magic egg,complex,relative
291,comp_mult,2 dots equals two lengths added on.,complex,add_2,I have no idea.,uncertain,not_sure
296,comp_mult,At least two dots will increase the stick length by 2 and less than 2 dots will do nothing.,add_2,add_2,The number of stripes indicates the number of lengths the stick will change by and the number of dots indicates whether it will increase or decrease during the change. 1 = minus 2 = no change 3 = addition,complex,nominal
310,comp_mult,I am unsure so far. however maybe it has to do with the amount of spots inside the circles vs how many lines it adds,uncertain,not_sure,I am really not sure. maybe the lines half the amount and the dots add an amount,uncertain,not_sure
314,comp_mult,If it has one spot then the stick does not change. If it has two spots the stick doubles in length. If it has 3 spots it adds 2 in length.,add_2,add_2,One spot 3 stripes - this subtracts three from the stick. Two spots would double it but the two stripes subtracts 2. Three spots would add 2 but the one stripes subtracts one.,gt,subtraction
332,comp_const,Eggs with more than one dot make the sticks two segments longer,add_2,add_2,Stripes on the eggs remove segments from the stick - for every stripe on the egg one segment is removed,subtract,subtraction
214,comp_mult_reverse,The number of lines affects how many of the blocks either added subtracted or remain as is. The number of dots affects whether any blocks are added or subtracted or whether they remain as is.,complex,mix,Whether any blocks are added or not depends upon whether the dots in the magic egg are touching the edge or not. Dots touching the edge add extra blocks.,complex,position
215,comp_mult_reverse,I have 2 hypotheses - one focused on lines on the egg and the other on dots on the egg. 3 lines or one dot = the stick shortensdisappears 2 lines or 2 dots = no change to the stick 1 line or 3 dots = the stick lengthens,complex,nominal,Okay so now Im guessing that its the dots on the egg which are important not the lines but I really dont know what the causal relationship is. I cant see a pattern at all.,uncertain,not_sure
207,comp_mult_reverse,If there are an unequal amount of spots and striped in the egg the stick decreases in length.,complex,relative,Im unsure I cant see a pattern.,uncertain,not_sure
242,comp_mult_reverse,Three lines and one dot removes stick Two lines and two dots keeps the same One line and three balls increases by one,complex,description,One keeps the sticks the same and each ball added from that point increases the stick,complex,increase
208,comp_mult_reverse,I think that the balance of stripes to dots indicates the state change with equal being no change stripes > dots decrease and dots > stripes increase. I think the magnitude is indicated by the stripes. I also wish I was paying attention to the instruction page test as I can remember the initial stick length....,complex,relative,Well that changes things. I am now at a loss for what the relationship is. my best guess would be that dots increase and strips decrease. with dots being a increase of dots2 rounded. and stripes. wait. possibly different rules for odd and even?,complex,mix
216,comp_mult_reverse,If the number of dots is higher than the sticks it increases the amount of sticks. If equal nothing happens if less all sticks are lost.,complex,relative,No sticks means nothing is taken away more dots add.,complex,mix
297,comp_mult_reverse,The lines and spots differ on each egg the number of spots indicates the number of squares disappear.,complex,decrease,More than one dot adds 2 squares,add_2,add_2
300,comp_mult_reverse,They stay the same regardless of how many sticks there are,uncertain,not_sure,One egg is added each time,uncertain,not_sure
333,comp_mult_reverse,total 4 at end,uncertain,not_sure,if dots in middle keep stripes,complex,position
338,comp_mult_reverse,Two stripes two dots no change. Three stripes one dot clears all. One stripe three dots adds one.,complex,description,two and three dots add 2 one dot no change,add_2,add_2
230,comp_mult_reverse,If there are more stripes than dots the stick disappears.  If the dots  stripes are equal there is no change. If there are more dots than stripes the stick grows by 1,complex,relative,If the dots are more than the segments of the stick the stick increases by the difference,complex,relative
354,comp_mult_reverse,The number of stripes on the eggs seem to indicate the length of the stick. I do not think the dots or the position of the dots makes a difference,complex,not_sure,I think this is random and no specific properties,uncertain,random
359,comp_mult_reverse,Either three dots create an extra stick or having more dots than stripes creates an extra stick ,complex,mix,This is tough! I think the dot touching the circle AND a dot in the middle adds two sticks ,uncertain,position
241,comp_mult_reverse,when dots outnumber the lines the sticks grow and vice-versa,complex,relative,if the number of dots is less than size of the stick nothing happens. if its equal or greater it grows by 2,add_2,add_2
249,comp_mult_reverse,MORE SPOTS ON THE EGG MAKES THE STICK LONGER,complex,relative,IT TAKES 2 OR MORE SPOTS FOR THE STICK TO GROW,complex,increase
266,comp_mult_reverse,the more dots the bigger the lines,complex,relative,dots show how big the lone is,complex,increase
345,comp_mult_reverse,If there are more dots than lines in the egg an extra length is added to the stick. ,complex,relative,If the there is more dots to a certain area of the egg then more lengths are added to the stick,complex,relative
195,comp_mult,If the magic egg has more than 1 spot it always adds 2 segments to the line,add_2,add_2,The stripes take away the corresponding amount of segments but if there is more than one 1 they still add 2,add_2,add_2
197,comp_const,The number of dots determines how many blocks there are on the stick. For example 1 dot on the egg adds 1 block to the stick. Therefore I think the number of dots determines how much the stick grows by.,uncertain,not_sure,The stripes take away the number of blocks in the stick. I thought of this initially but didnt stick with that prediction but it looks like my initial prediction of the stripes reducing the number of blocks was correct. And the dots add blocks to the stick,complex,mix
