exp_id,ix,condition,task_duration,age,sex,report_a,coded_a,report_b,coded_b
1,71,construct,324124,26,female,more lines in the eggs add to the length of the stick,complex,if there are more dots than lines then the stick decreases in length if there are more lines than dots then the stick increases in length and if the dots and lines are equal then theres no change,complex
1,72,combine,815110,47,female,One stripe makes no change.  Two stripes doubles the sticks. Three stripes triples.,mult,One spot takes one stick away.  Two spots take two sticks away. Three spots take three sticks away.,subtraction
1,73,combine,666011,23,female,I think it’s a multiplication system - 1 stripe means it is multiplying the 3 blocks by 1 therefore leaving it with three. 2 stripes is multiplying the blocks by 2 = 4. 3 stripe multiplying 1 block = 3. ,mult,The magic eggs with one stick - the black dots are subtractor the amount eggs is subtracted from the blocks,subtraction
1,74,combine,337567,29,female,1 line means it will stay the same 2 line multiplies the stick by 2 and 3 lines multiplies it by 3.,mult,The dots take away from the sticks. 1 dot takes away 1 2 dots take away 2 etc.,subtraction
1,75,combine,627192,33,female,There was no change with the first egg. The second and third eggs have an increase of two bars after the tests.The difference between the second and the third egg is the increase in the number of bars for the third egg and the length of the bars.,add_2,The number of dots on the magic eggs reduces the number of bars available.,complex
1,76,construct,438158,47,female,Each egg with more than 1 stripe adds 2 blocks.,add_2,I think the odd number of dots either reduce or add blocks,uncertain
1,77,combine,840154,55,female,The length of the sticks is multiplied by the number of stripes in the egg.,mult,Multiply number of sticks by number of stripes then subtract number of dots,ground_truth
1,78,decon,644675,30,female,if the number of spots and stripes on an egg match then there is no change. if there is more spots than stripes then the stick gets shorter. if there are more stripes than dots the stick gets longer,complex,if there is more than one stripe the stick gets longer by two,add_2
1,79,construct,556009,24,female,The stick length multiplies by the number of stripes on the magic egg when the magic egg and stick come into contact,mult,The stick multiplies by the number of stripes minus the number of spots.,ground_truth
1,80,construct,303277,27,female,end length = original length x number of lines on egg,mult,balls touching the lines cancel them out,complex
1,81,combine,408663,41,female,one stick does nothing two sticks adds length and three sticks adds length,add_2,the spots remove the same number of stick segments,subtraction
1,82,combine,411335,23,female,However many lines on the egg is how much the stick gets multiplied by.  1. 1 line so 3x1 =3 2. 2 lines so 2x2 =4 3. 3 lines so 1x3 = 3,mult,Line is still times Dots take away one of each stick length each time.,ground_truth
1,83,decon,810894,41,male,The number of stripes and dots ratio of one to the other or maybe the position of the dots has some relation to long the stick grows. ,complex,I honestly dont know at this point in the test. The combinations of dots and stripes seem to have random effect on the stick lengths,uncertain
1,84,combine,265999,29,female,Only one stick adds nothing anything above that adds 2 on,add_2,The number of dots on the sticks take away the number of eggs,subtraction
1,85,combine,636295,30,male,If the number of stripes on the egg is less than the existing number of segments on the stick it touches it adds the difference,complex,I believe now that the dots are subtract and that the stripes are multipliers.  So I believe it multiplies by number of stripes and then subtracts the dots,ground_truth
1,86,combine,789578,37,other,The number of stripes on the egg is multiplied with the number of segments on the stick to make the answer which is expressed with the final number of segments on the stick.,mult,The stripes are multiplied by the number of segments on the stick then the number of dots are subtracted from the total to give the final answer which is expressed by the number of segments on the stick.,ground_truth
1,87,construct,429093,29,male,The egg multiplies the amount of segments of the stick by the number of stripes on the egg,mult,The stripes multiply the number of segments and the dots subtract one segment,ground_truth
1,88,decon,623262,23,female,I think the stripes indicate what happens to the stick segments (addedremoved) and the dots indicate how many segments are addedremoved. For the stripes I think that 1 stripe will remove segments 2 stripes will not removeadd any segments and 3 stripes will add segments. I think the number of dots indicate how many segments are removed so in trial 1: 3 segments are removed because 1 line = remove segments 3 dots = remove 3 segments. Trial 2 = nothing changes because 2 lines = no segments removedadded regardless of dot number. Trial 3 = 1 segment added because 3 lines = add segments 1 dot = add 1 segment. ,complex,I think one stripe means nothing changes two stripes mean that segments are added (number of segments added = number of stripes) and three stripes mean that the number of segments will equal the number of lines regardless of whether that means adding or removing segments.,complex
1,89,construct,389086,54,female,One stripe does nothing. Two or three stripes on the egg both increase the sticks by two segments. ,add_2,One dot on the egg cancels out one stripe but not sure.,uncertain
1,90,combine,472111,28,female,the number of stipes multiplys the length of the stick,mult,if there is balls on the eggs depending how many there is it reduces the length of the stick that amount.,subtraction
1,91,combine,473500,48,female,Eggs with one stripe have no effect on a stick with 3 segments. Eggs with 2 stripes add 2 segments to a stick of 2 segments. Eggs with 3 stripes add 2 segments to a stick of 1 segment,complex,one dot removes one segment therefore 2 dots remove 2 segments and so on,subtraction
1,92,combine,933721,34,female,The eggs with multiple stripes (i.e. more than 1) increase the length of the stick by the multiple of the stripes so for 2 stripes...the original length is doubled for 3 stripes the original length is tripled.,mult,How ever many dots there are...dictates the amount of length taken from the stick. So 1 dot steals 1 length of stick 2 dots 2 lengths,subtraction
1,93,decon,1043869,49,male,1 stripe = remove the number of segments that match the number of dots. 2 stripes = do not change the length of the stick 3 stripes = add the number of segments based on number of dots,complex,Im really confused!  I think if there are no dots it is simple multiplication - so the number of stripe * the number of existing segments. I am unsure what the dots do though now.,mult
1,94,construct,599524,26,female,If the egg has more or an equal number of stripes than the stick does segments then the number of segments of the stick increases by 2. If the egg has fewer stripes than the stick has segments it will have no affect.,add_2,If no. of stripes are more than or equal to number of segments the number of segments increases by two. If there are fewer stripes than segments then there is no change. If any dots are present the number of segments is reduced by the number of the dots.,complex
1,95,decon,674120,33,male,Three dots and one stripe does not increase the pieces what matters is the dots more than the sticks,complex,The number of sticks increase the boxes,complex
1,96,construct,523416,38,female,The number of stripes on the egg is the multiplier against the number of sticks. so 1 x 3=3 (no change) 2x2=4 3 x 1=3,mult,I think the same causal relationship as before stripes on the egg are a multiplier for the sticks. I think you then subtract the number of dots on the egg from the stick total.,ground_truth
1,97,decon,769386,45,female,less stripes shorten the stick same stripes keep stick the same length and more stripes make stick longer,complex,If stripes are less than the stick then nothing happens but if stripes are same or more than the stick then increase length of stick by 2,add_2
1,98,decon,431049,37,female,The dots tell you how many blocks in the stick there will be ,uncertain,no idea my previous guess was incorrect,uncertain
1,99,decon,816678,45,male,Stripes make the sticks grow. Dots make them shrink. An equal number of both cancels the effect. Not sure of the effect of unbalanced ratios yet. ,complex,If there are more dots than stripes this destroys the stick. Otherwise the ratio of stripes to dots controls how much the stick grows by. Stripes are positive dots are negative. My limited maths cant work out the numerical details.,complex
1,100,combine,427160,32,female,the number of stripes on the egg multiplies the sticks. 1 stripe = x1 2 stripe = x2 3 stripe = x3,mult,each spot on the egg takes away one stick,subtraction
1,101,decon,565069,35,male,All spots on the eggs need to be touching the sticks to have any effect on the outcome.,complex,The number of blocks are multiplied by the amount of sticks on the eggs,mult
1,102,decon,411656,29,female,The magic egg with one stripe and three dots caused the stick to disappear. The magic egg with two stripes and two dots didnt affect the stick at all and the magic egg with three stripes and one dot caused the stick to become shorter.,complex,The egg with one stripe didnt affect the length of the stick. The egg with two stripes made the stick longer by two segments and the egg with three stripes made the stick longer by three segments.,uncertain
1,103,combine,1049431,21,female,the stick segments are multiplied by the number of lines in each egg. e.g. 3 (egg) x 1 (stick) = 3 stick segments,mult,for every dot in the magic egg it takes away one stick segment e.g. 3 dots in the magic egg would take away 3 stick segments,subtraction
1,104,decon,660273,35,female,I cannot see a pattern currently.,uncertain,That you multiple the sticks versus the lines in the eggs,mult
1,105,combine,320185,28,female,Stick length is multiplied by the number of lines on the egg.,mult,The stick length is multiplied by the number of stripes but reduced by the number of spots.,ground_truth
1,106,decon,874509,39,female,I really cannot get my head around it.  Something to do with the sticks without dots makes and increase but the dot touching a stick cancels it out.,uncertain,The sticks have a positive affect and the dots have a negative affect.  I think the sticks multiply by how many sticks.  The dots perhaps divid or minus?,mult
1,107,construct,375510,20,female,Two lines in the magic egg means that the stick grows two more sections.,add_2,when there are 3 lines patterns on the egg one extra block is added to the stick.,uncertain
1,108,combine,316538,27,male,Having more than one diagonal line adds two length units to the stick.,add_2,Having 2 or more lines adds two length units to the stick. Remove one length unit of the stick for each dot that is on the egg.,add_2
1,109,construct,1146440,57,female,The number of lines are a multiplier for the number of sticks.  1 line will not change number of sticks 2 lines will double number of sticks and 3 lines will triple number of sticks.,mult,(Number of lines x number of sticks) - number of dots,ground_truth
1,110,combine,558676,27,female,The stripes effect the length of the sticks. 1 stripe is no change 2 stripes is +2 and 3 stripes is +1. ,complex,The stripes make the sticks longer and the dots make them shorter again. It does not matter where the dots sit on the egg they always make the stick shorter.,complex
1,111,combine,343800,32,female,two boxes are added if there are more than one stripe,add_2,The more dots in the circle the more sticks disappear so if there is one dot only one stick disappears but if there are three then three disappear,subtraction
1,112,construct,350441,40,female,its the number of stripes in the eggs x the number of segments = equals the new length of stick,mult,The segments increase by the number of dots in the egg,uncertain
1,113,construct,354488,20,female,single-line does nothing two lines double the length of the stick and three lines triples the length of the stick,mult,same rule for the lines apply except now you take away the number of dots,ground_truth
1,114,combine,334060,27,female,The stick length after the magic egg has touched them becomes multiplied by the number of stripes on the egg. Eg: 3 stripes on egg touches stick 1 square long it will become 3 squares long (1x3),mult,Length of stick is multiplied by number of lines on egg then number of spots is subtracted,ground_truth
1,115,construct,384463,26,male,The number of stripes is a scalar value that is multiplied with the number of segments,mult,The stripes are a scalar that multiples against the number of segments The number of dots are then subtracted from the multiplication of the stripes and segments,ground_truth
1,116,construct,726949,32,female,The number of stripes on the egg determines the number the stick will multiply by. For example 3 stripes mean the stick will multiply thrice its size ,mult,Stripes multiple the stick by the amount of stripes in the egg. Dots deduct the length of the stick by the amount of dots in the egg,ground_truth
1,117,construct,639244,44,female,The number of segments in the stick is multiplied by the number of stripes on the egg.  For example if the stick starts off with 2 segments and the egg has 2 stripes once the egg touches the stick the stick will increase to 4 segments (2 x 2 = 4),mult,The effect on the number of segments in the stick is determined by first multiplying the number of segments by the number of stripes on the egg then secondly subtracting the number of spots.,ground_truth
1,118,decon,436964,22,male,The number of stripes denotes the type of action - 1 stripe reduces segments 2 stripes changes nothing and 3 stripes adds segments. Then the number of dots denotes how much this is done by - e.g. 1 stripe and 3 dots removes 3 segments,complex,As said before stripes denote action - assumed below 2 removes above 2 adds on and 2 does nothing - dots denote value of action - e.g. how many to add. If not dots present them number of stripes multiplies number of segments,mult
1,119,construct,350071,39,female,The stick segments are multiplied by the number of stripes.,mult,The segments are multiplied by the number of stripes before subtracting the number of dots.,ground_truth
1,120,construct,1000179,21,female,the number of segments in the stick is multiplied by the number of lines in the egg,mult,the number of segments in the stick is multiplied by the number of lines in the egg and then the number of dots in the egg is subtracted,ground_truth
1,121,decon,759760,21,other,eggs with more dots than stripes make the stick shorter eggs with the same amount of each do nothing and eggs with more stripes than dots make the stick bigger.,complex,having 1 stripe will keep it the same unless theres a dot on that stripe then itll shorten the stick the stick will get bigger by 1 for every stripe above 1 on the egg but not if theres a dot on that stripe,complex
1,122,combine,528248,24,female,Eggs with 2 stripes make sticks 2 times bigger but the ones with 3 stripes make them only bigger by 1 whereas 1 stripe egg doesnt change anything. This means eggs with 3 stripes always change lenght of the stick the most,complex,The more there are dots in the egg the smaller is the stick,complex
1,123,decon,1510995,28,female,the dots seem to match the number of blocks in the original stick length. the lines seem to match with a unique action. 1 line = remove 2 lines = keep 3 lines = add. The number of blocks to do this action on could be indicated by the number of dots.  e.g. 1line+3dots = remove 3 blocks.  2lines+2dots= keep 2 blocks.  3lines+1 dot = add 1 block.,complex,the lines seem to indicate the multiplication factor of the blocks. i.e. 3 lines = 3x the original blocks. The number of dots seems to indicate the number of blocks to remove after multiplying. e.g. 3lines+1dot applied to a 1-length block = (3x1) -1 = 3-1 = 2,mult
1,124,combine,925185,51,female,The number of stick segments multiply by the number of stripes on the egg,mult,the number of stick sections are multiplied by the number of stripes on the egg; then the same number of sections are removed as there are dots on the egg.,ground_truth
1,125,construct,381859,49,male,additional sticks make the blocks 2 longer,add_2,3 dots takes 3 away 2 did nothing and 1 added so the less dots the more added,complex
1,126,construct,718242,53,female,two stripes on the egg doubled the number of segments in the line three stripes trebled the number of segments.,mult,The dots reduce the number of sections on the lines and the lines seem to increase the number of sections.,complex
1,127,construct,351212,22,female,1 stripe = x 1  2 stripe = x2  3 stripe = x3 ,mult,I dont think the dots make a difference 1 stripe = no blocks  2 stripe = stay the same 3 stripe = + 1,complex
1,128,decon,679971,54,female,more spots there are the smaller the sticks,complex,one stripe stayed the same. 2 strips doubled. 3 stripes added 1more,complex
1,129,combine,1147107,58,female,Multiplying the number of stripes in the egg with the number of segments that the stick has to begin with equals the final number of segments in the stick after the egg affects it.,mult,The number of stripes in the egg is multiplied by the original number of segments in the stick and then the number of dots is subtracted from that answer to give the total number of segments in the stick at the end. So  of stripes x original number of segments - number of dots = Final number of segments.,ground_truth
1,130,decon,710856,25,male,If there are more dots on the line you decrease the section of stick by the overall number of dots. If they are the same (on and off the line) it stays the same. If there are more dots off the line you add by that many dots,complex,You multiply the lines in the eggs by how many sections there are in the stick,mult
1,131,construct,401563,19,female,The more lines the less boxes are added . ,complex,The more eggs in the circle the less boxes appear,complex
1,132,decon,736907,22,female,I believe that the difference in the three is caused by the amount of lines the first was 3 dots to one line so it was over powered and they were gone. the second was equal so they stayed the same and the third had two more lines than the one dot so they gained a green block,complex,i believe the value of the first line is makes no difference to the starting length of the green blocks. its when more are added in that it increases  up to the value of two extra blocks. there could be twenty stripes and it would only increase the value by two,add_2
1,133,combine,730705,21,male,When the eggs have one strip it stays the same when it has two strips it will be two more when it has 3 strips it goes up two .,add_2,When thy have dots they loss bars .If it has two dots two bars a lost .,complex
1,134,decon,241024,31,female,if there are more lines than dots it will increase in size. if there are more dots than lines it will decrease in size. an equal number of dots and lines will results in no change,complex,the lines are multiplicative,mult
1,135,construct,315909,30,female,middle line means no change and the two on the outside add 2 extra bars,complex,middle dot adds one the left dot minus one and the right down minus 3,complex
1,136,combine,470487,21,male,1 strip on an egg will not produce any result more than 1 stripe always adds two segments to the stick length,add_2,The balls decrease the length of the stick as per the number of balls present on the eggs. For stripes>1 the length of the stick is increased by two segments,subtraction
1,137,decon,594508,44,female,spots reduce length by one and stripes adds by one,uncertain,spots make the length shorter by 1-1 and each srtipe over 1 adds one eg 2 stripes adds 1 3 adds 2,complex
1,138,construct,435160,33,female,At least 2 stripes seen on a magic egg will lengthen the sticks by 2.,add_2,Each dot on the magic eggs gets rid of a section of the stick but 2 or more stripes still adds two sections as before.,add_2
1,139,combine,419265,32,noresponse,Magic eggs with more than one stripe can have an effect on the length of the sticks.,uncertain,The number of spots on a magic egg determines by how many components a stick will shrink. The number of stripes determines by how many components of a length the stick will elongate. If there are spots and stripes on a given egg the effect of the spots takes precedence over the stripes.,subtraction
1,140,construct,394111,33,female,the number of lines is the number of time the segment number is multiplied e.g 1 line=x1 2 linesx2 3 lines=x3,mult,same as before. except the number of dots reduces the multiplication factor.,ground_truth
1,141,construct,488013,47,female,The number of lines in the egg is the factor by which the number of stick segments multiplies. for example 2 egg lines the stick segments multiplies by 2.,mult,The egg lines are the multiplying factor and the egg dots are a subtraction factor. So if you start with an egg with 3 lines and 1 dot you multiply the sticks by 3 and subtract 1.,ground_truth
1,142,construct,976876,23,female,The number of segments (i.e. total length) correlates with the number of sticks. If you have an odd numer your segments will be added such that there are odd segments. This is why when an egg with three sticks only increased the length by two sticks to keep the length odd,complex,I think the number of spots and stripes matter for the overall length. If the are more spots than stripes the length of the stick diminishess if there is an equal number no change detected.,complex
1,143,decon,852840,42,female,I think if the dots are contained in a line then it means you dont lose segments. if a dot appears outside a line then you lose the amount value of the dots in segments. if dots and segments match and dots are on lines and theres no difference in value then no change ,complex,the red line multiplies it?  and the dots either add or subtract them?,mult
1,144,construct,413933,37,female,It multiplies the stick length by the number of lines in the egg,mult,Multiply by the number of lines and then subtract the number of dots,ground_truth
1,145,combine,598398,39,female,It multiplies by the number of lines on the egg and the original stick,mult,The number of dots indicate how many sticks will be taken away.,subtraction
1,146,decon,266859,23,female,The stripes may matter more than the dots .,uncertain,more than 1 stripe causes the length to increase.,complex
1,147,decon,426240,31,female,some of these magic eggs are magnetic,uncertain,the stripes mean how many boxes will remain.,complex
1,148,combine,868719,52,female,one line in egg has nil effect on length of stick  two lines in an egg doubles the length of  a stick ( which has 2 blocks originally associated with it)  three lines in an egg triples the length of a stick ( which has one block currently associated with it)  ( unsure as of yet as to whether the length of the sticks were different to above would the eggs still have the same properties of eg doubling and tripling length of stick ,complex,one dot and one line in egg reduces length of stick by one block 2 dots and one line reduces length of stick by 2 blocks 3 dots and one line reduces length of stick by 3 blocks.,complex
1,149,combine,585055,28,female,You multiply the length of the stick by the number of stripes on each magic egg.,mult,You subtract the number of dots on each magic egg from the sticks. Its possible you still multiply by the stripes by cant be confirmed as all examples only had one stripe.,ground_truth
1,150,combine,886724,24,male,the eggs can only add 2 blocks of length which is why the first egg did not add anything and the third egg only added 2 blocks of length was because the single stripe does not add any length. This would mean only 2 stripes add length so if there were an egg with 4 stripes it would add 4 blocks of length.,complex,I believe that every 2 stripes bars of length are added. When there are dots on the egg the bars length are subtracted depending on the number of dot.,subtraction
1,151,decon,709093,51,female,the dots in the circle a related to the number of blocks in the strip. If one bar in the circle you reduce the strip by the number of dots. If three bars in the circle you add to the strip by the number of dots. If there are two bars in the circle the number in the strip should be the same as number of dots,complex,I feel like my first guess was completely incorrect and I have no idea what the bars or circles in the magic eggs do to the strips,uncertain
1,152,combine,575554,27,female,The length is multiplied by the amount of stripes on the magic egg. 1 stripe remains the same 2 stripes doubles the length and 3 stripes triples the length,mult,The number of dots is how many lengths is removed. 1 dot removes 1 segment 2 dots removes 2 segments and 3 dots removes 3,subtraction
1,153,combine,435047,40,female,The first egg did nothing.  The second egg with 2 stripes made the stick grow by 2.  The third egg made the stick grow by 2.,add_2,The dots make the stick shorter.,complex
1,154,combine,626358,33,female,Number of stripes multiplied by number of blocks = new number of blocks. E.g. 1 stripe x 3 blocks = 3.  then 2 stripes x 2 blocks = 4.,mult,Stripes x blocks then the balls takeaway. E.g. 1 stripe x 3 = 3 minus 3 balls = 0,ground_truth
1,155,construct,431590,22,female,The magic eggs above two and three - add two lines. ,add_2,This now is more difficult - I am uncertain for this one.,uncertain
1,156,combine,291550,57,female,stripes do not increase the length of the sticks,uncertain,spots take away sections of sticks 1 spot takes away 1 section 2 spots takes away 2 sections etc,subtraction
1,157,construct,773940,24,male,Eggs with stripes that equal or exceed the lenght of the stick increase the lenght of the stick by 2 when they come into contact,add_2,Eggs with a number of stripes that are equel to or higher than the length of the stick increase the length by 2. While each dot decreases the length by 1.,add_2
